amount,Democratic (Normalized),Libertarian (Normalized),Republican (Normalized),sort_key
"$1,001 -",1.03,,0.03,1001
"$1,001 - $15,000",29.52,2.0,11.26,15000
"$1,000 - $15,000",,,0.02,15000
"$15,001 - $50,000",3.5,1.0,5.67,50000
"$15,000 - $50,000",,,0.01,50000
"$50,001 - $100,000",0.86,,2.15,100000
"$100,001 - $250,000",0.53,,1.78,250000
"$250,001 - $500,000",0.4,,0.49,500000
"$500,001 - $1,000,000",0.39,,0.17,1000000
"$1,000,000 +",0.12,,0.0,1000000
"$1,000,001 - $5,000,000",0.11,,0.02,5000000
"$5,000,001 - $25,000,000",0.03,,0.0,25000000
"$50,000,000 +",,,0.01,100000000
