amount,Democratic (Normalized),Independent (Normalized),Libertarian (Normalized),Republican (Normalized),sort_key
Unknown,3.86,4.0,,5.25,-1
"$1,001 -",4.82,,,0.12,1001
"$1,001 - $15,000",179.22,25.5,2.0,122.24,15000
"$1,000 - $15,000",,,,0.08,15000
"$15,001 - $50,000",26.53,12.5,1.0,45.29,50000
"$15,000 - $50,000",,,,0.06,50000
"$50,001 - $100,000",5.88,0.5,,17.92,100000
"$100,001 - $250,000",3.2,,,13.22,250000
"$250,001 - $500,000",2.43,,,4.14,500000
"$500,001 - $1,000,000",2.04,,,2.57,1000000
"$1,000,000 +",0.55,,,0.02,1000000
"$1,000,001 - $5,000,000",0.69,,,0.47,5000000
"$5,000,001 - $25,000,000",0.14,,,0.25,25000000
"$25,000,001 - $50,000,000",,,,0.04,50000000
"Over $50,000,000",,,,0.02,100000000
"$50,000,000 +",,,,0.04,100000000
