amount,Democratic (Normalized),Independent (Normalized),Republican (Normalized),sort_key
Unknown,3.86,4.0,5.25,-1
"$1,001 - $15,000",40.67,25.5,74.33,15000
"$15,001 - $50,000",10.12,12.5,21.16,50000
"$50,001 - $100,000",1.84,0.5,8.78,100000
"$100,001 - $250,000",0.69,,5.65,250000
"$250,001 - $500,000",0.57,,2.06,500000
"$500,001 - $1,000,000",0.22,,1.84,1000000
"$1,000,001 - $5,000,000",0.16,,0.37,5000000
"$5,000,001 - $25,000,000",,,0.24,25000000
"$25,000,001 - $50,000,000",,,0.04,50000000
"Over $50,000,000",,,0.02,100000000
