amount,female (Normalized),male (Normalized),sort_key
"$1,001 -",0.04,0.37,1001
"$1,001 - $15,000",14.02,10.21,15000
"$1,000 - $15,000",,0.01,15000
"$15,001 - $50,000",1.71,2.68,50000
"$15,000 - $50,000",,0.0,50000
"$50,001 - $100,000",0.38,0.93,100000
"$100,001 - $250,000",0.28,0.72,250000
"$250,001 - $500,000",0.27,0.23,500000
"$500,001 - $1,000,000",0.25,0.12,1000000
"$1,000,000 +",0.06,0.03,1000000
"$1,000,001 - $5,000,000",0.08,0.03,5000000
"$5,000,001 - $25,000,000",0.03,0.0,25000000
"$50,000,000 +",,0.0,100000000
