amount,female (Normalized),male (Normalized),sort_key
Unknown,0.39,0.51,-1
"$1,001 -",0.03,0.32,1001
"$1,001 - $15,000",16.27,15.38,15000
"$1,000 - $15,000",,0.01,15000
"$15,001 - $50,000",2.34,4.19,50000
"$15,000 - $50,000",,0.0,50000
"$50,001 - $100,000",0.6,1.44,100000
"$100,001 - $250,000",0.67,0.92,250000
"$250,001 - $500,000",0.34,0.34,500000
"$500,001 - $1,000,000",0.22,0.24,1000000
"$1,000,000 +",0.05,0.02,1000000
"$1,000,001 - $5,000,000",0.08,0.05,5000000
"$5,000,001 - $25,000,000",0.04,0.01,25000000
"$25,000,001 - $50,000,000",0.01,,50000000
"Over $50,000,000",,0.0,100000000
"$50,000,000 +",,0.0,100000000
