amount,"Democratic, female (Normalized)","Democratic, male (Normalized)","Libertarian, male (Normalized)","Republican, female (Normalized)","Republican, male (Normalized)",sort_key
"$1,001 -",0.05,0.92,,,0.02,1001
"$1,001 - $15,000",18.99,16.98,2.0,3.39,5.83,15000
"$1,000 - $15,000",,,,,0.01,15000
"$15,001 - $50,000",2.0,2.14,1.0,1.08,3.04,50000
"$15,000 - $50,000",,,,,0.01,50000
"$50,001 - $100,000",0.48,0.54,,0.16,1.19,100000
"$100,001 - $250,000",0.29,0.34,,0.25,0.97,250000
"$250,001 - $500,000",0.36,0.17,,0.08,0.26,500000
"$500,001 - $1,000,000",0.37,0.16,,0.02,0.09,1000000
"$1,000,000 +",0.07,0.07,,0.02,,1000000
"$1,000,001 - $5,000,000",0.11,0.04,,,0.01,5000000
"$5,000,001 - $25,000,000",0.04,0.01,,,0.0,25000000
"$50,000,000 +",,,,,0.01,100000000
