amount,"Democratic, female (Normalized)","Democratic, male (Normalized)","Independent, male (Normalized)","Libertarian, male (Normalized)","Republican, female (Normalized)","Republican, male (Normalized)",sort_key
Unknown,1.52,2.66,8.0,,3.93,3.18,-1
"$1,001 -",0.33,3.88,,,,0.09,1001
"$1,001 - $15,000",130.48,102.41,51.0,2.0,65.71,79.31,15000
"$1,000 - $15,000",,,,,,0.06,15000
"$15,001 - $50,000",13.24,17.32,25.0,1.0,17.79,30.76,50000
"$15,000 - $50,000",,,,,,0.04,50000
"$50,001 - $100,000",3.19,3.75,1.0,,4.86,12.63,100000
"$100,001 - $250,000",2.24,1.86,,,7.36,8.52,250000
"$250,001 - $500,000",2.52,1.12,,,1.64,2.81,500000
"$500,001 - $1,000,000",2.33,0.86,,,0.07,1.94,1000000
"$1,000,000 +",0.48,0.29,,,0.07,,1000000
"$1,000,001 - $5,000,000",0.71,0.32,,,0.29,0.3,5000000
"$5,000,001 - $25,000,000",0.24,0.03,,,0.36,0.12,25000000
"$25,000,001 - $50,000,000",,,,,0.14,,50000000
"Over $50,000,000",,,,,,0.01,100000000
"$50,000,000 +",,,,,,0.03,100000000
