amount,"Democratic, female (Normalized)","Democratic, male (Normalized)","Independent, male (Normalized)","Republican, female (Normalized)","Republican, male (Normalized)",sort_key
Unknown,1.52,2.66,8.0,3.93,3.18,-1
"$1,001 - $15,000",9.29,30.47,51.0,50.21,46.09,15000
"$15,001 - $50,000",0.48,8.24,25.0,12.86,13.42,50000
"$50,001 - $100,000",0.14,1.47,1.0,4.14,5.82,100000
"$100,001 - $250,000",0.38,0.44,,6.21,3.0,250000
"$250,001 - $500,000",0.24,0.39,,1.29,1.3,500000
"$500,001 - $1,000,000",,0.19,,,1.4,1000000
"$1,000,001 - $5,000,000",,0.14,,0.29,0.22,5000000
"$5,000,001 - $25,000,000",,,,0.36,0.1,25000000
"$25,000,001 - $50,000,000",,,,0.14,,50000000
"Over $50,000,000",,,,,0.01,100000000
