official,Advertising & Marketing Services,Advertising Agencies,Aerospace & Defense,Agricultural Inputs,Agriculture,Airlines,Apparel Manufacturing,Apparel Retail,Application Software,Asset Management,Auto & Truck Dealerships,Auto Manufacturers,Auto Parts,Autos,Banks,Banks--Diversified,Banks—Diversified,Banks—Regional,Beverages,Beverages - Alcoholic,Beverages - Non-Alcoholic,Beverages—Non-Alcoholic,Biotechnology,Brokers & Exchanges,Building Materials,Building Products & Equipment,Business Services,Capital Markets,Chemicals,Communication Equipment,Communication Services,Computer Hardware,Confectioners,Conglomerates,Congolmerates,Consulting & Outsourcing,Consulting Services,Consumer Electronics,Consumer Packaged Goods,Credit Services,Cryptocurrency,Diagnostics & Research,Discount Stores,Diversified Financial Services,Diversified Services,Drug Manufacturers,Drug Manufacturers - Specialty & Generic,Drug Manufacturers—General,Drug Manufacturers—Speciality and Generic,Drug Manufacturers—Specialty & Generic,Education,Electrical Equipment & Parts,Electronic Gaming & Multimedia,Employment Services,Energy,Engineering & Construction,Entertainment,Farm & Construction Machinery,Farm & Heavy Construction Machinery,Farm Products,Financial Conglomerates,Financial Data & Stock Exchanges,Financial Services,Food stores,Footwear & Accessories,Forest Products,Fund,"Furnishings, Fixtures & Appliances",Gambling,Gold,Grocery Stores,Hardware,Health Care Plans,Health Care Providers,Health Information Services,Healthcare Plans,Home Improvement Retail,Homebuilding & Construction,Household & Personal Products,IT Services,Industrial Distribution,Industrial Products,Information Technology Services,Infrastructure Operations,Insurance,Insurance - Life,Insurance - Property & Casualty,Insurance - Specialty,Insurance Brokers,Insurance—Diversified,Insurance—Life,Insurance—Property & Casualty,Insurance—Reinsurance,Insurance—Specialty,Integrated Freight & Logistics,Internet Content & Information,Internet Retail,Leisure,Lodging,Luxury Goods,Major Pharmaceutical Preparations,Manufacturing - Apparel & Furniture,Marine Shipping,Medical Devices,Medical Diagnostics & Research,Medical Distribution,Medical Instruments & Equipment,Medical Instruments & Supplies,Metals & Mining,Mortgage Finance,Oil & Gas - Drilling,Oil & Gas - E&P,Oil & Gas - Integrated,Oil & Gas - Midstream,Oil & Gas - Refining & Marketing,Oil & Gas - Services,Oil & Gas E&P,Oil & Gas Equipment & Services,Oil & Gas Integrated,Oil & Gas Midstream,Oil & Gas Refining & Marketing,Online Media,Other Industrial Metals & Mining,Packaged Foods,Packaging & Containers,Paper & Paper Products,Personal Services,Publishing,REITs,REIT—Diversified,REIT—Healthcare Facilities,REIT—Hotel & Motel,REIT—Retail,Railroads,Real Estate,Real Estate Services,Real Estate—Development,Real Estate—Diversified,Residential Construction,Resorts & Casinos,Restaurants,Retail - Apparel & Specialty,Retail - Defensive,Scientific & Technical Instruments,Security & Protection Services,Semiconductor Equipment & Materials,Semiconductors,Shell Companies,Software,Software - Application,Software—Application,Software—Infrastructure,Solar,Specialty Business Services,Specialty Chemicals,Specialty Industrial Machinery,Specialty Retail,Staffing & Employment Services,Steel,Telecom Services,Telecommunication Services,Telecommunications,Textile Manufacturing,Tobacco,Tobacco Products,Tools & Accessories,Transportation & Logistics,Travel & Leisure,Travel Services,Truck Manufacturing,Trust,Utilities - Independent Power Producers,Utilities - Regulated,Utilities - Regulated Water,Utilities—Diversified,Utilities—Regulated Electric,Utilities—Regulated Gas,Utilities—Regulated Water,Utilities—Renewable,Waste Management
"Allen, Richard W.",,,1,,,,,,1,,,,,,4,,,1,,,,,,,,,,,2,,1,,,,,,,,1,3,,,,,,3,,,,,,,,,,,1,2,,,,,,,,,1,,,,,,,,,,,,,,,3,,,,,1,,,,,,,,,,,,,,,,,,2,,,,3,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
"Amash, Justin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arenholz, Ashley H.",,,,,,,,,,,,,,2,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Axne, Cynthia",,,1,,,,,,10,,,,,3,13,,,,,,,,,,,,3,,10,,6,1,,,,,,,15,19,,,,,,7,,,,,,,,,,,,,,,1,,,,,,3,,,,,,,,3,1,,,,,,6,,,10,,16,,,,,2,,,,,,,,,,,,4,,,6,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,7,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Banks, James E.",,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beyer, Donald S.",,,,,,4,,,59,,,,,1,13,,,,,,8,,23,36,,,,,10,,10,29,,,,,,,13,8,,8,,,,11,,4,,,,,,,,,8,,,,,7,,,,,135,,,,,,8,,,,,,,,,13,,,8,,,,,,4,,,,,4,,,,9,,9,,,11,,7,,3,,,,,,,2,,,,,,8,,9,8,,,,11,,,,,,,1,,,,,,17,19,,,,16,,,,,,,,,25,,,,,,,,,,,,,,,,,15,,,,,,,
"Bice, Stephanie",,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bilirakis, Gus M.",,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Blumenauer, Earl",,,7,,,,,,5,3,,,,2,4,,,,,1,,,1,3,,,,,1,,1,7,,,,,,,4,1,,,,,,2,,,,,,,,,,,5,4,,,,,,,,,5,,,,,,3,,,2,,,,,,,,,1,,1,,,,,,,,,,,,,,,1,,1,1,,,,1,,1,,,,,,,,,,,1,,1,,,,,1,,,,,,,3,,,,,6,2,1,,,,4,,,,,,,,,,,,,,,,,,,,,1,,,,,13,,,,,,,
"Brooks, Mo",,,,,,,,,1,1,,,,,2,,,2,,,,,,,,,,,,3,2,2,,,,,,,,,,,,,,4,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,7,,,,,,,
