industry,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Advertising & Marketing Services,,,,1,,,,,,
Aerospace & Defense,,,15,12,8,19,33,37,28,4
Aerospace/Defense,,,3,,,,,,,
Agricultural Inputs,,,,,,,,2,2,
Agriculture,,,,1,3,8,21,6,,
Airlines,,,6,,1,1,3,1,18,
Apparel Manufacturing,,,,,1,,,3,,
Application Software,,,40,20,74,32,42,37,67,48
Asset Management,,1,6,15,17,15,17,11,42,6
Auto & Truck Dealerships,,,,,,,,,,2
Auto Manufacturers,,,,,,,,,2,
Auto Parts,,,,,,,,1,,
Automotive,,,,1,,,,,,
Autos,,,11,5,7,28,41,4,17,8
Banking,,,1,,,,,,,
Banks,,,27,35,43,70,72,22,48,21
Banks - Regional,,,,,,2,,,,
Banks—Regional,,,,,,1,1,3,3,1
Beverages - Alcoholic,,,3,8,4,4,9,1,3,2
Beverages - Non-Alcoholic,,,6,3,3,8,10,14,8,1
Beverages – Alcoholic,,,,,,1,,1,,
Beverages—Brewers,,,,,,1,,1,,
Beverages—Non-Alcoholic,,,,,,,,2,,1
Biotechnology,,,14,22,33,37,29,11,20,4
Broadcasting,,,,,,,4,,,
Brokers & Exchanges,,,8,2,3,9,12,6,18,1
Building Materials,,,,3,5,1,11,1,4,1
Building Products & Equipment,,,,,,,,,1,
Business Services,,,2,5,2,22,33,20,11,3
Chemicals,2,4,13,8,36,61,26,27,44,6
Coal,,,1,,,,,,,
Communication Equipment,,,2,15,7,10,21,9,17,14
Communication Services,,,23,9,11,34,16,26,35,8
Computer Hardware,,,23,24,28,31,42,28,69,27
Computer Software & Services,,,3,7,,,,,,
Conglomerates,,,,,1,,,,,
Consulting & Outsourcing,,,2,18,12,,4,2,4,1
Consumer NonDurables,,,,1,,,,,,
Consumer Packaged Goods,,,18,17,22,36,30,18,37,11
Credit Services,,,8,9,9,13,7,9,30,9
Cryptocurrency,,,,,,,,,,1
Defense,,,,6,,,,,,
Diversified Services,,,,4,,7,,,,
Drug Manufacturers,,,13,22,35,71,41,13,46,7
Drug Manufacturers—General,,,2,,,3,2,,,1
Drug Manufacturers—Specialty & Generic,,,,,,,,,1,
Education,,,1,,,,,,,
Electric Utilities,,,,,,,,,1,
Electrical Equipment & Parts,,,,,,,,5,2,
Electronic Components,,,,,,1,,1,,
Electronic Gaming & Multimedia,,,,,,1,,,,
Electronics,,,2,3,1,1,,,,
Employment Services,,,,,,1,,,,
Energy,,,3,3,2,,,,,
Energy & Utilities,,,,1,,,,,,
Engineering & Construction,,,,2,2,5,,1,1,3
Entertainment,,,17,48,40,56,117,57,84,5
Farm & Construction Machinery,,,3,6,4,2,3,1,10,
Food Distribution,,,,,1,,,,,
Forest Products,,,2,,,,4,,,1
Fund,,1,42,43,28,20,25,21,90,45
