industry	house	senate	input
Insurance—Specialty	1	5	6
Utilities—Regulated Electric	3		3
Farm & Construction Machinery	49	29	78
Specialty Retail	14	8	22
Medical Diagnostics & Research	194	70	264
Oil & Gas E&P	5	1	6
Utilities—Regulated Water	2		2
Media		13	13
Diversified Services	12	11	23
Insurance—Reinsurance	2		2
Medical Distribution	12	15	27
Hardware	3		3
Communication Equipment	76	95	171
Software - Application	4		4
Leisure	33	5	38
Food stores	2		2
Banks - Regional		2	2
Solar	2		2
Telecom Services	35	6	41
Financial Data & Stock Exchanges	8		8
Agricultural Inputs	4	4	8
Major Pharmaceutical Preparations	5		5
Oil & Gas Refining & Marketing	2	1	3
Financial Conglomerates	3		3
Diversified Financial Services	1		1
Utilities - Independent Power Producers	18	1	19
Publishing	10	1	11
Insurance Brokers	4		4
Retail - Defensive	224	154	378
Drug Manufacturers - Specialty & Generic	2		2
Chemicals	190	227	417
Oil & Gas - E&P	89	148	237
Retail - Apparel & Specialty	424	251	675
Farm & Heavy Construction Machinery	22		22
Defense		6	6
Utilities—Diversified	5		5
Household & Personal Products	14	6	20
Consumer NonDurables		1	1
Auto Manufacturers	18	2	20
Banks—Regional	57	9	66
Biotechnology	215	170	385
Medical Devices	189	60	249
Beverages - Alcoholic	52	34	86
Energy & Utilities		1	1
Utilities--Regulated Electric		1	1
Beverages—Non-Alcoholic	11	3	14
Textile Manufacturing	1		1
Electronic Components		2	2
Packaging & Containers	78	56	134
Energy	4	8	12
Internet		4	4
Fund	741	315	1056
Brokers & Exchanges	228	59	287
Marine Shipping	3		3
Automotive		1	1
Business Services	182	98	280
Other Industrial Metals & Mining	2	2	4
Computer Software & Services		10	10
Mortgage Finance	2		2
Specialty Chemicals	47	3	50
Drug Manufacturers—Specialty & Generic	47	1	48
Real Estate—Diversified	2		2
Employment Services	11	1	12
Specialty Industrial Machinery	78	10	88
Insurance—Property & Casualty	10	1	11
Oil & Gas Integrated	19	12	31
Consulting Services	8		8
Engineering & Construction	54	14	68
Software—Infrastructure	68	7	75
Electronic Gaming & Multimedia	24	1	25
Cryptocurrency	22	1	23
Oil & Gas - Services	80	42	122
Financial Services	1		1
Drug Manufacturers—General	41	8	49
Information Technology Services	10	3	13
Homebuilding & Construction	34	5	39
REITs	277	78	355
Resorts & Casinos	2		2
Insurance—Diversified	8	23	31
Oil and Gas		3	3
Capital Markets	2		2
Aerospace/Defense		3	3
Utilities - Regulated Water	1		1
Internet Content & Information	47	10	57
Medical Instruments & Equipment	113	78	191
Insurance—Life	23	1	24
Discount Stores	1		1
Utilities - Regulated	266	69	335
Gold	1		1
Healthcare Plans	5		5
Oil & Gas - Drilling	4	4	8
Software—Application	89	9	98
Banks—Diversified	19		19
Security & Protection Services	4	7	11
Waste Management	27	14	41
Telecommunication Services	2		2
Banks--Diversified	1		1
Insurance	143	31	174
Coal		1	1
Footwear & Accessories	7		7
Beverages – Alcoholic		2	2
Entertainment	199	424	623
Farm Products	1		1
Oil & Gas - Midstream	457	274	731
Building Products & Equipment	21	1	22
Beverages—Brewers		2	2
Insurance - Property & Casualty	98	28	126
Internet Retail	18	2	20
Asset Management	197	130	327
Home Improvement Retail	6		6
Oil & Gas - Integrated	131	99	230
Beverages - Non-Alcoholic	71	53	124
Auto Parts	5	1	6
Advertising Agencies	10		10
Drug Manufacturers	275	248	523
REIT—Healthcare Facilities	6		6
Apparel Manufacturing	8	4	12
Software	14		14
Residential Construction	3		3
Electronics		7	7
Building Materials	22	26	48
Auto & Truck Dealerships	7	2	9
Agriculture	18	39	57
Autos	183	121	304
Diagnostics & Research	21		21
Trust	8	15	23
Education	11	1	12
Broadcasting		4	4
Credit Services	213	94	307
Computer Hardware	429	272	701
Travel Services	44	7	51
Industrial Distribution	33	13	46
Personal Services	28	16	44
Scientific & Technical Instruments	8	2	10
Telecommunications	2	2	4
Staffing & Employment Services	1		1
REIT—Retail	2		2
Real Estate Services	70	4	74
Oil & Gas Midstream	46	11	57
Utilities—Regulated Gas	8		8
Food Distribution		1	1
Grocery Stores	13		13
Banking		1	1
Drug Manufacturers—Speciality and Generic	1		1
Health Care Equipment & Supplies		2	2
Steel	6	11	17
Airlines	98	30	128
Advertising & Marketing Services	10	1	11
Beverages	1		1
Packaged Foods	48	20	68
Conglomerates	12	1	13
Tobacco	6	2	8
Gambling	30	1	31
Health Care Providers	54	6	60
Communication Services	260	162	422
Apparel Retail	1		1
Utilities—Renewable	11	1	12
Furnishings, Fixtures & Appliances	4		4
Paper & Paper Products	5		5
Travel & Leisure	134	98	232
Railroads	4		4
Confectioners	1		1
Oil, Gas, & Consumable Fuels		1	1
Metals & Mining	67	54	121
Luxury Goods	16	2	18
Semiconductors	474	287	761
Retail		23	23
Insurance - Life	43	43	86
Consumer Electronics	8		8
Shell Companies	37	2	39
Forest Products	8	7	15
REIT—Diversified	2		2
Lodging	14		14
Infrastructure Operations	5	8	13
Congolmerates	2		2
REIT—Hotel & Motel	2		2
Semiconductor Equipment & Materials	5		5
Manufacturing - Apparel & Furniture	76	104	180
IT Services	2		2
Medical Instruments & Supplies	15	1	16
Consumer Packaged Goods	230	189	419
Electrical Equipment & Parts	19	7	26
Restaurants	126	69	195
Online Media	288	124	412
Other Precious Metals & Mining		1	1
Consulting & Outsourcing	61	43	104
Health Information Services	34	1	35
Aerospace & Defense	182	156	338
Health Care Plans	109	69	178
Application Software	843	360	1203
Truck Manufacturing	6	6	12
Specialty Telecommunications		2	2
Utilities		3	3
Oil & Gas Equipment & Services	12		12
Tools & Accessories	4		4
Insurance - Specialty	22	4	26
Tobacco Products	49	11	60
Integrated Freight & Logistics	3		3
Real Estate—Development	2		2
Transportation & Logistics	139	108	247
Oil & Gas - Refining & Marketing	101	26	127
Real Estate	1	5	6
Banks	450	338	788
Specialty Business Services	3		3
Industrial Products	340	146	486
Electric Utilities		1	1
Health Services		6	6
