owner,Dependent,Joint,Self
"Foxx, Virginia",,139,
"Lowenthal, Alan S.",,35,546
"McEachin, Aston D.",,6,
"Lee, Susie",1,614,2
"Brooks, Mo",,33,4
"McCaul, Michael T.",128,71,199
"DelBene, Suzan K.",,107,15
"Gianforte, Greg",,497,
"Blumenauer, Earl",,,135
"Curtis, John",,30,1
"Grijalva, Raúl M.",,,4
"Gottheimer, Josh",,873,1
"Clark, Katherine M.",,,234
"McKinley, David B.",,74,
"Pelosi, Nancy",,,56
"Connolly, Gerald E.",,13,1
"Price, David E.",,1,
"Manning, Kathy",,,22
"Steube, William G.",,,6
"Beyer, Donald S.",,670,
"Kelly, Mike",,1,10
"Newman, Marie",1,34,249
"Green, Mark",,23,
"Khanna, Rohit",154,1,140
"Meng, Grace",,,1
"Allen, Richard W.",,,16
"Dingell, Debbie",,,4
"Peters, Scott H.",,,94
"Dunn, Neal P.",,,1
"Lamborn, Doug",,5,83
"Greene, Marjorie T.",1,75,12
"Matsui, Doris O.",,,14
"Jeffries, Hakeem S.",,2,2
"Lofgren, Zoe",,2,182
"Fleischmann, Charles J.",7,57,
"Pfluger, August L.",,,6
"Hern, Kevin",19,336,
"Wagner, Ann",,12,
"Franklin, Scott",,4,
"Schneider, Bradley S.",,3,3
"Schrier, Kim",,32,2
"Axne, Cynthia",1,1,114
"Banks, James E.",,15,
"Upton, Fred",,3,2
"Davis, Susan A.",,2,12
"Conaway, K. M.",,,47
"Taylor, Nicholas V.",,,1
"Perlmutter, Ed",,,42
"Courtney, Joe",,,162
"Welch, Peter",,,1
"Schultz, Debbie W.",9,,
"Burgess, Michael C.",,,2
"Marshall, Roger W.",37,,
"Guest, Michael P.",,,4
"Sessions, Pete",,,16
"Bilirakis, Gus M.",4,,
"Gallagher, Michael J.",,,37
"Pallone, Frank",,,10
"Ross, Deborah K.",,1,19
"Jacobs, Christopher L.",,,32
"Moulton, Seth",,1,1
"Castor, Kathy",,36,2
"Arenholz, Ashley H.",,,13
"Latta, Robert E.",,,1
"Trahan, Lori",,,1
"O'Halleran, Tom",,,2
"Timmons, William R.",,,18
"Marchant, Kenny",,52,
"Scott, Austin",,,24
"Meuser, Daniel",10,,
"Trone, David",,10,3
"Sherrill, Mikie",,,3
"Hill, James F.",3,,4
"Kennedy, Joseph P.",,2,
"Kustoff, David",,2,
"Spanberger, Abigail",,,2
"Sanchez, Linda T.",,,5
"Wittman, Robert J.",,1,1
"Raskin, Jamie",,1,
"Miller, Carol D.",,,40
"Morelle, Joseph D.",,17,
"Schiff, Adam B.",,,1
"Rouda, Harley E.",,,3
"Pascrell, Bill",,2,
"Luria, Elaine",,2,2
"Diaz-Balart, Mario",,,1
"Bice, Stephanie",,1,
"Amash, Justin",3,,
