owner,Child,Dependent,Joint,Self,Spouse
"Capito, Shelley M.",,,,30,350
"Moran, Jerry",,,2,100,72
"Thune, John R.",,,,1,
"Tuberville, Thomas H.",,,250,29,
"Hagerty IV, William F.",4,,,24,
"Scott, Rick",,,,27,142
"Carper, Thomas R.",,,,3,957
"Collins, Susan M.",,,,,395
"McConnell Jr., A. M.",,,,,22
"Hickenlooper, John W.",,,,10,11
"Rosen, Jacklyn S.",,,5,,1
"Peters, Gary C.",,,,141,2
"Coons, Christopher A.",19,,,5,5
"Blunt, Roy D.",,,,,8
"Warner, Mark R.",,,,42,7
"Toomey, Patrick J.",13,,94,85,6
"Lummis, Cynthia M.",,,,2,
"Whitehouse, Sheldon",107,,243,257,68
"Marshall, Roger W.",,37,,,1
"Hoeven, John",,,,210,4
"Paul, Rand",,,,,1
"King Jr., Angus S.",,,,10,67
"Bennet, Michael F.",,,,8,
"Wyden, Ronald L.",30,,,1,230
"Rounds, Mike",,,7,2,1
"Smith, Tina",,,4,,20
"Boozman, John",,,,2,
"Duckworth, Ladda T.",,,21,1,
"Sullivan, Daniel S.",,,24,2,1
"Inhofe, James M.",,,,229,
"Roberts, Pat",,,6,1,451
"Cassidy, William",,,3,,163
"Perdue Jr., David A.",,,2596,,1
"Loeffler, Kelly",,,93,17,169
"Kaine, Timothy M.",2,,,,1
"Shaheen, Jeanne",,,,,3
"Johnson, Ron",,,,2,
"Wicker, Roger F.",,,,,8
"Alexander, Lamar",,,,2,57
"Kennedy, John N.",,,,2,
"Cruz, Rafael E.",,,10,,
"Udall, Thomas S.",,,1,1,
"Reed, John F.",,,139,101,
"Tillis, Thomas R.",,,98,,1
"Barrasso, John A.",,,,1,
"Casey Jr., Robert P.",1,,,,
"Portman, Robert J.",,,,9,
"Cardin, Benjamin L.",,,3,6,6
"Manchin III, Joseph",,,,,12
"Crapo, Michael D.",,,1,,
"Murray, Patty",,,,,161
"Daines, Steve",,,,1,
"Hollen, Chris V.",,,,7,
"Cornyn, John",,,,2,
"Cantwell, Maria E.",,,,5,
"Enzi, Michael B.",,,4,1,
"Booker, Cory A.",,,,13,
"Foxx, Virginia",,,139,,
"Lowenthal, Alan S.",,,35,546,
"McEachin, Aston D.",,,6,,
"Lee, Susie",,1,614,2,
"Brooks, Mo",,,33,4,
"McCaul, Michael T.",,128,71,199,
"DelBene, Suzan K.",,,107,15,
"Gianforte, Greg",,,497,,
"Blumenauer, Earl",,,,135,
"Curtis, John",,,30,1,
"Grijalva, Raúl M.",,,,4,
"Gottheimer, Josh",,,873,1,
"Clark, Katherine M.",,,,234,
"McKinley, David B.",,,74,,
"Pelosi, Nancy",,,,56,
"Connolly, Gerald E.",,,13,1,
"Price, David E.",,,1,,
"Manning, Kathy",,,,22,
"Steube, William G.",,,,6,
"Beyer, Donald S.",,,670,,
"Kelly, Mike",,,1,10,
"Newman, Marie",,1,34,249,
"Green, Mark",,,23,,
"Khanna, Rohit",,154,1,140,
"Meng, Grace",,,,1,
"Allen, Richard W.",,,,16,
"Dingell, Debbie",,,,4,
"Peters, Scott H.",,,,94,
"Dunn, Neal P.",,,,1,
"Lamborn, Doug",,,5,83,
"Greene, Marjorie T.",,1,75,12,
"Matsui, Doris O.",,,,14,
"Jeffries, Hakeem S.",,,2,2,
"Lofgren, Zoe",,,2,182,
"Fleischmann, Charles J.",,7,57,,
"Pfluger, August L.",,,,6,
"Hern, Kevin",,19,336,,
"Wagner, Ann",,,12,,
"Franklin, Scott",,,4,,
"Schneider, Bradley S.",,,3,3,
"Schrier, Kim",,,32,2,
"Axne, Cynthia",,1,1,114,
"Banks, James E.",,,15,,
"Upton, Fred",,,3,2,
"Davis, Susan A.",,,2,12,
"Conaway, K. M.",,,,47,
"Taylor, Nicholas V.",,,,1,
"Perlmutter, Ed",,,,42,
"Courtney, Joe",,,,162,
"Welch, Peter",,,,1,
"Schultz, Debbie W.",,9,,,
"Burgess, Michael C.",,,,2,
"Guest, Michael P.",,,,4,
"Sessions, Pete",,,,16,
"Bilirakis, Gus M.",,4,,,
"Gallagher, Michael J.",,,,37,
"Pallone, Frank",,,,10,
"Ross, Deborah K.",,,1,19,
"Jacobs, Christopher L.",,,,32,
"Moulton, Seth",,,1,1,
"Castor, Kathy",,,36,2,
"Arenholz, Ashley H.",,,,13,
"Latta, Robert E.",,,,1,
"Trahan, Lori",,,,1,
"O'Halleran, Tom",,,,2,
"Timmons, William R.",,,,18,
"Marchant, Kenny",,,52,,
"Scott, Austin",,,,24,
"Meuser, Daniel",,10,,,
"Trone, David",,,10,3,
"Sherrill, Mikie",,,,3,
"Hill, James F.",,3,,4,
"Kennedy, Joseph P.",,,2,,
"Kustoff, David",,,2,,
"Spanberger, Abigail",,,,2,
"Sanchez, Linda T.",,,,5,
"Wittman, Robert J.",,,1,1,
"Raskin, Jamie",,,1,,
"Miller, Carol D.",,,,40,
"Morelle, Joseph D.",,,17,,
"Schiff, Adam B.",,,,1,
"Rouda, Harley E.",,,,3,
"Pascrell, Bill",,,2,,
"Luria, Elaine",,,2,2,
"Diaz-Balart, Mario",,,,1,
"Bice, Stephanie",,,1,,
"Amash, Justin",,3,,,
