owner,Child,Joint,Self,Spouse
"Capito, Shelley M.",,,30,350
"Moran, Jerry",,2,100,72
"Thune, John R.",,,1,
"Tuberville, Thomas H.",,250,29,
"Hagerty IV, William F.",4,,24,
"Scott, Rick",,,27,142
"Carper, Thomas R.",,,3,957
"Collins, Susan M.",,,,395
"McConnell Jr., A. M.",,,,22
"Hickenlooper, John W.",,,10,11
"Rosen, Jacklyn S.",,5,,1
"Peters, Gary C.",,,141,2
"Coons, Christopher A.",19,,5,5
"Blunt, Roy D.",,,,8
"Warner, Mark R.",,,42,7
"Toomey, Patrick J.",13,94,85,6
"Lummis, Cynthia M.",,,2,
"Whitehouse, Sheldon",107,243,257,68
"Marshall, Roger W.",,,,1
"Hoeven, John",,,210,4
"Paul, Rand",,,,1
"King Jr., Angus S.",,,10,67
"Bennet, Michael F.",,,8,
"Wyden, Ronald L.",30,,1,230
"Rounds, Mike",,7,2,1
"Smith, Tina",,4,,20
"Boozman, John",,,2,
"Duckworth, Ladda T.",,21,1,
"Sullivan, Daniel S.",,24,2,1
"Inhofe, James M.",,,229,
"Roberts, Pat",,6,1,451
"Cassidy, William",,3,,163
"Perdue Jr., David A.",,2596,,1
"Loeffler, Kelly",,93,17,169
"Kaine, Timothy M.",2,,,1
"Shaheen, Jeanne",,,,3
"Johnson, Ron",,,2,
"Wicker, Roger F.",,,,8
"Alexander, Lamar",,,2,57
"Kennedy, John N.",,,2,
"Cruz, Rafael E.",,10,,
"Udall, Thomas S.",,1,1,
"Reed, John F.",,139,101,
"Tillis, Thomas R.",,98,,1
"Barrasso, John A.",,,1,
"Casey Jr., Robert P.",1,,,
"Portman, Robert J.",,,9,
"Cardin, Benjamin L.",,3,6,6
"Manchin III, Joseph",,,,12
"Crapo, Michael D.",,1,,
"Murray, Patty",,,,161
"Daines, Steve",,,1,
"Hollen, Chris V.",,,7,
"Cornyn, John",,,2,
"Cantwell, Maria E.",,,5,
"Enzi, Michael B.",,4,1,
"Booker, Cory A.",,,13,
