Owner	house	senate	input
Warner, Mark R.		{'Self': 42, 'Spouse': 7}	{'Self': 42, 'Spouse': 7}
Moulton, Seth	{'Joint': 1, 'Self': 1}		{'Joint': 1, 'Self': 1}
Pelosi, Nancy	{'Self': 56}		{'Self': 56}
McKinley, David B.	{'Joint': 74}		{'Joint': 74}
Duckworth, Ladda T.		{'Joint': 21, 'Self': 1}	{'Joint': 21, 'Self': 1}
Rounds, Mike		{'Joint': 7, 'Self': 2, 'Spouse': 1}	{'Joint': 7, 'Self': 2, 'Spouse': 1}
Wittman, Robert J.	{'Joint': 1, 'Self': 1}		{'Joint': 1, 'Self': 1}
Inhofe, James M.		{'Self': 229}	{'Self': 229}
Cassidy, William		{'Spouse': 163, 'Joint': 3}	{'Spouse': 163, 'Joint': 3}
Greene, Marjorie T.	{'Joint': 75, 'Dependent': 1, 'Self': 12}		{'Joint': 75, 'Dependent': 1, 'Self': 12}
Lofgren, Zoe	{'Self': 182, 'Joint': 2}		{'Self': 182, 'Joint': 2}
Coons, Christopher A.		{'Child': 19, 'Self': 5, 'Spouse': 5}	{'Child': 19, 'Self': 5, 'Spouse': 5}
Kaine, Timothy M.		{'Spouse': 1, 'Child': 2}	{'Spouse': 1, 'Child': 2}
Bilirakis, Gus M.	{'Dependent': 4}		{'Dependent': 4}
Burgess, Michael C.	{'Self': 2}		{'Self': 2}
O'Halleran, Tom	{'Self': 2}		{'Self': 2}
Portman, Robert J.		{'Self': 9}	{'Self': 9}
Hickenlooper, John W.		{'Self': 10, 'Spouse': 11}	{'Self': 10, 'Spouse': 11}
Welch, Peter	{'Self': 1}		{'Self': 1}
Banks, James E.	{'Joint': 15}		{'Joint': 15}
Rouda, Harley E.	{'Self': 3}		{'Self': 3}
Conaway, K. M.	{'Self': 47}		{'Self': 47}
Udall, Thomas S.		{'Self': 1, 'Joint': 1}	{'Self': 1, 'Joint': 1}
Peters, Scott H.	{'Self': 94}		{'Self': 94}
McCaul, Michael T.	{'Self': 199, 'Dependent': 128, 'Joint': 71}		{'Self': 199, 'Dependent': 128, 'Joint': 71}
Castor, Kathy	{'Joint': 36, 'Self': 2}		{'Joint': 36, 'Self': 2}
Schrier, Kim	{'Joint': 32, 'Self': 2}		{'Joint': 32, 'Self': 2}
Trahan, Lori	{'Self': 1}		{'Self': 1}
Scott, Rick		{'Self': 27, 'Spouse': 142}	{'Self': 27, 'Spouse': 142}
Blunt, Roy D.		{'Spouse': 8}	{'Spouse': 8}
Newman, Marie	{'Self': 249, 'Joint': 34, 'Dependent': 1}		{'Self': 249, 'Joint': 34, 'Dependent': 1}
Casey Jr., Robert P.		{'Child': 1}	{'Child': 1}
Amash, Justin	{'Dependent': 3}		{'Dependent': 3}
Blumenauer, Earl	{'Self': 135}		{'Self': 135}
Hollen, Chris V.		{'Self': 7}	{'Self': 7}
Price, David E.	{'Joint': 1}		{'Joint': 1}
Latta, Robert E.	{'Self': 1}		{'Self': 1}
Diaz-Balart, Mario	{'Self': 1}		{'Self': 1}
Wyden, Ronald L.		{'Spouse': 230, 'Child': 30, 'Self': 1}	{'Spouse': 230, 'Child': 30, 'Self': 1}
Davis, Susan A.	{'Self': 12, 'Joint': 2}		{'Self': 12, 'Joint': 2}
Booker, Cory A.		{'Self': 13}	{'Self': 13}
Crapo, Michael D.		{'Joint': 1}	{'Joint': 1}
Barrasso, John A.		{'Self': 1}	{'Self': 1}
Perlmutter, Ed	{'Self': 42}		{'Self': 42}
Paul, Rand		{'Spouse': 1}	{'Spouse': 1}
Perdue Jr., David A.		{'Joint': 2596, 'Spouse': 1}	{'Joint': 2596, 'Spouse': 1}
Wicker, Roger F.		{'Spouse': 8}	{'Spouse': 8}
Steube, William G.	{'Self': 6}		{'Self': 6}
Hagerty IV, William F.		{'Self': 24, 'Child': 4}	{'Self': 24, 'Child': 4}
Miller, Carol D.	{'Self': 40}		{'Self': 40}
Pallone, Frank	{'Self': 10}		{'Self': 10}
Hoeven, John		{'Self': 210, 'Spouse': 4}	{'Self': 210, 'Spouse': 4}
Enzi, Michael B.		{'Self': 1, 'Joint': 4}	{'Self': 1, 'Joint': 4}
Jeffries, Hakeem S.	{'Joint': 2, 'Self': 2}		{'Joint': 2, 'Self': 2}
Gianforte, Greg	{'Joint': 497}		{'Joint': 497}
Luria, Elaine	{'Joint': 2, 'Self': 2}		{'Joint': 2, 'Self': 2}
Wagner, Ann	{'Joint': 12}		{'Joint': 12}
Alexander, Lamar		{'Spouse': 57, 'Self': 2}	{'Spouse': 57, 'Self': 2}
Green, Mark	{'Joint': 23}		{'Joint': 23}
Trone, David	{'Self': 3, 'Joint': 10}		{'Self': 3, 'Joint': 10}
Connolly, Gerald E.	{'Joint': 13, 'Self': 1}		{'Joint': 13, 'Self': 1}
Gottheimer, Josh	{'Joint': 873, 'Self': 1}		{'Joint': 873, 'Self': 1}
Cantwell, Maria E.		{'Self': 5}	{'Self': 5}
Ross, Deborah K.	{'Self': 19, 'Joint': 1}		{'Self': 19, 'Joint': 1}
Johnson, Ron		{'Self': 2}	{'Self': 2}
Franklin, Scott	{'Joint': 4}		{'Joint': 4}
Manchin III, Joseph		{'Spouse': 12}	{'Spouse': 12}
Beyer, Donald S.	{'Joint': 670}		{'Joint': 670}
Marshall, Roger W.	{'Dependent': 37}	{'Spouse': 1}	{'Spouse': 1, 'Dependent': 37}
Marchant, Kenny	{'Joint': 52}		{'Joint': 52}
Kustoff, David	{'Joint': 2}		{'Joint': 2}
Cruz, Rafael E.		{'Joint': 10}	{'Joint': 10}
Collins, Susan M.		{'Spouse': 395}	{'Spouse': 395}
Schneider, Bradley S.	{'Self': 3, 'Joint': 3}		{'Self': 3, 'Joint': 3}
