owner,Child,Joint,Self,Spouse
"Capito, Shelley M.",,,0.6976744186046512,8.13953488372093
"Moran, Jerry",,0.046511627906976744,2.3255813953488373,1.6744186046511629
"Thune, John R.",,,0.023255813953488372,
"Tuberville, Thomas H.",,5.813953488372093,0.6744186046511628,
"Hagerty IV, William F.",0.09302325581395349,,0.5581395348837209,
"Scott, Rick",,,0.627906976744186,3.302325581395349
"Carper, Thomas R.",,,0.06976744186046512,22.25581395348837
"Collins, Susan M.",,,,9.186046511627907
"McConnell Jr., A. M.",,,,0.5116279069767442
"Hickenlooper, John W.",,,0.23255813953488372,0.2558139534883721
"Rosen, Jacklyn S.",,0.11627906976744186,,0.023255813953488372
"Peters, Gary C.",,,3.2790697674418605,0.046511627906976744
"Coons, Christopher A.",0.4418604651162791,,0.11627906976744186,0.11627906976744186
"Blunt, Roy D.",,,,0.18604651162790697
"Warner, Mark R.",,,0.9767441860465116,0.16279069767441862
"Toomey, Patrick J.",0.3023255813953488,2.186046511627907,1.9767441860465116,0.13953488372093023
"Lummis, Cynthia M.",,,0.046511627906976744,
"Whitehouse, Sheldon",2.488372093023256,5.651162790697675,5.976744186046512,1.5813953488372092
"Marshall, Roger W.",,,,0.023255813953488372
"Hoeven, John",,,4.883720930232558,0.09302325581395349
"Paul, Rand",,,,0.023255813953488372
"King Jr., Angus S.",,,0.23255813953488372,1.558139534883721
"Bennet, Michael F.",,,0.18604651162790697,
"Wyden, Ronald L.",0.6976744186046512,,0.023255813953488372,5.348837209302325
"Rounds, Mike",,0.16279069767441862,0.046511627906976744,0.023255813953488372
"Smith, Tina",,0.09302325581395349,,0.46511627906976744
"Boozman, John",,,0.046511627906976744,
"Duckworth, Ladda T.",,0.4883720930232558,0.023255813953488372,
"Sullivan, Daniel S.",,0.5581395348837209,0.046511627906976744,0.023255813953488372
"Inhofe, James M.",,,5.325581395348837,
"Roberts, Pat",,0.13953488372093023,0.023255813953488372,10.488372093023257
"Cassidy, William",,0.06976744186046512,,3.7906976744186047
"Perdue Jr., David A.",,60.372093023255815,,0.023255813953488372
"Loeffler, Kelly",,2.1627906976744184,0.3953488372093023,3.9302325581395348
"Kaine, Timothy M.",0.046511627906976744,,,0.023255813953488372
"Shaheen, Jeanne",,,,0.06976744186046512
"Johnson, Ron",,,0.046511627906976744,
"Wicker, Roger F.",,,,0.18604651162790697
"Alexander, Lamar",,,0.046511627906976744,1.3255813953488371
"Kennedy, John N.",,,0.046511627906976744,
"Cruz, Rafael E.",,0.23255813953488372,,
"Udall, Thomas S.",,0.023255813953488372,0.023255813953488372,
"Reed, John F.",,3.2325581395348837,2.3488372093023258,
"Tillis, Thomas R.",,2.2790697674418605,,0.023255813953488372
"Barrasso, John A.",,,0.023255813953488372,
"Casey Jr., Robert P.",0.023255813953488372,,,
"Portman, Robert J.",,,0.20930232558139536,
"Cardin, Benjamin L.",,0.06976744186046512,0.13953488372093023,0.13953488372093023
"Manchin III, Joseph",,,,0.27906976744186046
"Crapo, Michael D.",,0.023255813953488372,,
"Murray, Patty",,,,3.744186046511628
"Daines, Steve",,,0.023255813953488372,
"Hollen, Chris V.",,,0.16279069767441862,
"Cornyn, John",,,0.046511627906976744,
"Cantwell, Maria E.",,,0.11627906976744186,
"Enzi, Michael B.",,0.09302325581395349,0.023255813953488372,
"Booker, Cory A.",,,0.3023255813953488,
