official	house	senate	input
Gonzalez, Anthony E.	6		6
Warner, Mark R.		98	98
Moulton, Seth	2		2
Mast, Brian	37		37
Pelosi, Nancy	57		57
Blumenthal, Richard		50	50
Pingree, Chellie	5		5
McKinley, David B.	148		148
Duckworth, Ladda T.		22	22
Rounds, Mike		10	10
Comer, James	11		11
Wittman, Robert J.	54		54
Inhofe, James M.		230	230
Higgins, Brian	3		3
Cassidy, William		166	166
Lofgren, Zoe	184		184
Greene, Marjorie T.	88		88
Coons, Christopher A.		30	30
Kaine, Timothy M.		3	3
Bilirakis, Gus M.	4		4
Evans, Dwight	57		57
Burgess, Michael C.	9		9
Spartz, Victoria	8		8
O'Halleran, Tom	2		2
Cox, TJ J.	1		1
Feinstein, Dianne		29	29
Visclosky, Peter J.	2		2
Hickenlooper, John W.		21	21
Welch, Peter	49		49
Banks, James E.	52		52
Rouda, Harley E.	7		7
Conaway, K. M.	240		240
Keating, William R.	64		64
Udall, Thomas S.		3	3
Chu, Judy	1		1
Peters, Scott H.	101		101
McCaul, Michael T.	398		398
Castor, Kathy	38		38
Gibbs, Bob	37		37
Schrier, Kim	34		34
Rouzer, David C.	11		11
Trahan, Lori	2		2
Scott, Rick		169	169
Bucshon, Larry	1		1
Blunt, Roy D.		10	10
Newman, Marie	295		295
Casey Jr., Robert P.		1	1
Hagedorn, James	1		1
Massie, Thomas	1		1
Amash, Justin	3		3
Simpson, Michael K.	27		27
Blumenauer, Earl	138		138
Hollen, Chris V.		7	7
Price, David E.	15		15
Latta, Robert E.	1		1
Diaz-Balart, Mario	1		1
Buchanan, Vern	33		33
Wyden, Ronald L.		262	262
Davis, Susan A.	18		18
Booker, Cory A.		13	13
Langevin, James R.	170		170
Rogers, Harold D.	20		20
Crapo, Michael D.		1	1
Barrasso, John A.		1	1
Perlmutter, Ed	47		47
Paul, Rand		1	1
Perdue Jr., David A.		2597	2597
Portman, Robert J.		11	11
Wicker, Roger F.		8	8
Steube, William G.	6		6
Hagerty IV, William F.		28	28
Miller, Carol D.	42		42
Crenshaw, Daniel	20		20
Pallone, Frank	10		10
Hoeven, John		226	226
Enzi, Michael B.		7	7
Brooks, Susan W.	14		14
Jeffries, Hakeem S.	7		7
Gianforte, Greg	497		497
Luria, Elaine	4		4
Garcia, Mike	43		43
Suozzi, Thomas	39		39
Wagner, Ann	12		12
Alexander, Lamar		59	59
Green, Mark	551		551
Trone, David	13		13
Connolly, Gerald E.	18		18
Gottheimer, Josh	891		891
Cantwell, Maria E.		7	7
Fallon, Patrick	89		89
Ross, Deborah K.	20		20
Johnson, Ron		2	2
Reed, Jack		1	1
Franklin, Scott	16		16
Manchin III, Joseph		12	12
Beyer, Donald S.	670		670
Marshall, Roger W.	37	1	38
Marchant, Kenny	109		109
Kustoff, David	9		9
Cruz, Rafael E.		13	13
Maloney, Sean P.	8		8
Collins, Susan M.		450	450
Schneider, Bradley S.	7		7
Roberts, Pat		477	477
Bustos, Cheri	10		10
Buck, Kenneth R.	1		1
Arenholz, Ashley H.	14		14
Timmons, William R.	18		18
Rosen, Jacklyn S.		6	6
