state	house	senate	input
Oregon (Normalized)	56.57	130.5	73.0
Arkansas (Normalized)	1.29	0.67	1.22
Idaho (Normalized)	9.0	0.5	5.6
North Dakota (Normalized)		53.5	35.67
Rhode Island (Normalized)	56.67	457.5	217.0
Florida (Normalized)	20.14	56.33	21.95
Kansas (Normalized)	3.7	211.0	55.83
Louisiana (Normalized)	0.64	42.0	10.41
New Mexico (Normalized)		0.5	0.18
Minnesota (Normalized)	30.29	8.0	26.95
Georgia (Normalized)	8.0	479.33	93.45
Utah (Normalized)	31.33		21.69
Wisconsin (Normalized)	2.71	0.67	2.5
Vermont (Normalized)	49.0		16.33
Alaska (Normalized)		9.0	6.75
Missouri (Normalized)	3.5	2.67	3.33
Hawaii (Normalized)	1.5		1.0
Delaware (Normalized)		494.5	247.25
Kentucky (Normalized)	14.89	11.5	14.27
Pennsylvania (Normalized)	2.56	99.5	7.66
Oklahoma (Normalized)	32.82	76.33	45.38
Ohio (Normalized)	3.54	4.5	3.61
Indiana (Normalized)	6.72		5.76
South Dakota (Normalized)		3.67	1.83
California (Normalized)	23.51		22.53
Montana (Normalized)	99.4	0.25	62.25
New Jersey (Normalized)	54.14	3.25	46.31
Virginia (Normalized)	33.52	17.33	31.65
Alabama (Normalized)	4.0	55.8	19.24
Tennessee (Normalized)	50.29	21.75	46.53
Connecticut (Normalized)	28.0		21.78
Texas (Normalized)	15.62	4.0	15.32
Mississippi (Normalized)	0.67	2.67	1.33
South Carolina (Normalized)	2.42		2.07
Iowa (Normalized)	15.67		12.53
North Carolina (Normalized)	10.35	33.0	12.69
Massachusetts (Normalized)	19.56		15.65
Michigan (Normalized)	10.19	47.67	13.91
Nevada (Normalized)	62.0	1.2	48.15
Wyoming (Normalized)		2.67	2.0
New York (Normalized)	3.35		3.29
Maine (Normalized)	1.25	157.33	68.14
District of Columbia (Normalized)	4.0		4.0
West Virginia (Normalized)	31.67	130.67	72.75
Colorado (Normalized)	14.18	7.25	13.21
Maryland (Normalized)	1.08	7.33	2.4
New Hampshire (Normalized)		1.0	0.38
Illinois (Normalized)	10.21	7.33	10.26
Arizona (Normalized)	0.33		0.29
Washington (Normalized)	9.94	83.0	18.06
