sector,2018,2019,2020,2021
Banks - Regional,,,1,
Basic Materials,,52,177,143
Communication Services,,33,187,204
Communications,,,2,
Consumer Cyclical,,130,725,630
Consumer Defensive,,88,406,238
Consumer Staples,,,1,
Cryptocurrency,,,,22
Energy,,50,490,406
Financial Services,,156,809,607
Fund,,46,441,254
Healthcare,1,133,745,452
Induistrial,,,2,
Industrials,,111,738,522
Information Technology,,2,8,
Medical,,,1,
Real Estate,,58,183,123
Retail/Wholesale,,,2,
Services,,1,12,1
Technology,,155,1230,928
Trust,,2,3,3
Utilities,,19,201,94
