sector,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Banks - Regional,,,,,,,,,1,
Basic Materials,2,4,20,16,48,73,64,88,234,206
Communication Services,,,23,9,11,38,52,83,245,213
Communications,,,,,,,,,2,2
Consumer Cyclical,,,73,101,95,207,222,252,963,673
Consumer Defensive,,,34,35,43,92,80,148,519,257
Consumer Discretionary,,,,,,1,,,,
Consumer Goods,,,,2,1,1,,,,
Consumer Staples,,,,,,,,,1,
Cryptocurrency,,,,,,,,,,23
Energy,,,28,84,74,69,118,162,605,428
Financial,,,5,1,,,,,,1
Financial Services,,1,66,68,86,126,124,214,1004,652
Fund,,1,42,43,28,20,25,67,531,299
Healthcare,,,53,83,136,157,125,190,840,482
Induistrial,,,,,,,,,2,
Industrial Goods,,,3,,,,,,,
Industrials,,,70,71,70,91,127,225,864,551
Information Technology,,,,,,,,2,8,
Medical,,,,,,,,,1,
Oil & Gas Storage & Trpor,,,,1,,,,,,
Real Estate,,,9,5,11,16,3,63,205,134
Retail/Wholesale,,,,,,,,,2,
Services,,,1,19,16,21,,1,12,2
Technology,,,112,89,149,147,157,277,1490,1076
Trust,,,1,1,,,,6,6,9
Utilities,,,12,12,11,22,8,22,205,98
