official,Banks - Regional,Basic Materials,Communication Services,Communications,Consumer Cyclical,Consumer Defensive,Consumer Discretionary,Consumer Goods,Consumer Staples,Cryptocurrency,Energy,Financial,Financial Services,Fund,Healthcare,Induistrial,Industrial Goods,Industrials,Information Technology,Medical,Oil & Gas Storage & Trpor,Real Estate,Retail/Wholesale,Services,Technology,Trust,Utilities
"Allen, Richard W.",,5,1,,4,2,,,,,,,9,1,5,,,6,,,,,,,2,,3
"Amash, Justin",,,,,3,,,,,,,,,,,,,,,,,,,,,,
"Arenholz, Ashley H.",,,,,8,1,,,,,,,1,1,1,,,,,,,,,,,,
"Axne, Cynthia",,10,6,,20,19,,,,,,,61,3,21,,,10,,,,,,,23,,
"Banks, James E.",,,14,,18,12,,,,,,,,,8,,,,,,,,,,,,
"Bennet, Michael F.",,,,,2,,,,,,,,,,,,,,,,,,,,1,,
"Beyer, Donald S.",,13,14,,52,49,,,,,2,,76,135,71,,,42,,1,,12,,,112,,15
"Bice, Stephanie",,,,,,,,,,,,,1,,,,,,,,,,,,,,
"Bilirakis, Gus M.",,,,,1,,,,,,,,1,,1,,,1,,,,,,,,,
"Blumenauer, Earl",,2,4,,14,7,,,,,1,,13,5,10,,,11,,,,4,,,17,,13
"Blunt, Roy D.",,,,,,3,,,,,,,,,,,,,,,,,,,1,,
"Booker, Cory A.",,,3,,5,,,,,,,,,,,,,2,,,,,,,3,,
"Boozman, John",,,,,,,,,,,,,,1,,,,,,,,,,,,,
"Brooks, Mo",,,3,,5,,,,,,,,7,,7,,,1,,,,,,,6,,7
"Brooks, Susan W.",,,1,,2,1,,,,,2,,1,,,,,2,,,,,,,3,,
"Buck, Kenneth R.",,,,,,,,,,,1,,,,,,,,,,,,,,,,
"Bucshon, Larry",,,,,,,,,,,,,1,,,,,,,,,,,,,,
"Burchett, Tim",,,,,1,,,,,,,,,,,,,,,,,,,,,,
"Burgess, Michael C.",,,,,1,,,,,,,,,,7,,,,,,,,,,1,,
"Bustos, Cheri",,,1,,2,2,,,,,,,2,,,,,2,,,,,,,1,,
"Cantwell, Maria E.",,,,,,,,,,,,,,,,,,,,,,,,,5,,
"Capito, Shelley M.",,12,14,,25,47,,,,,30,,69,4,43,,,47,,,,2,,,58,,12
"Cardin, Benjamin L.",,1,,,,,,,,,,,1,,,,,,,,,,,,,,1
"Carper, Thomas R.",,28,6,,18,12,,1,,,11,,43,118,24,,,19,,,,13,,1,55,4,8
"Case, Ed",,,,,,1,,,,,1,,,3,,,,1,,,,,,,2,,
"Casey Jr., Robert P.",,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Cassidy, William",,8,12,,22,13,,,,,16,,13,3,25,,,15,,,,4,,,30,,3
"Castor, Kathy",,,,,,,,,,,,,29,3,,,,6,,,,,,,,,
"Cawthorn, David M.",,,,,1,,,,,,,,,,,,,,,,,,,,,,
"Chabot, Steve",,,,,,,,,,,,,,,2,,,,,,,,,,,,
"Chu, Judy",,,,,,,,,,,,,1,,,,,,,,,,,,,,
"Cisneros, Gilbert",,39,17,,111,42,,,,,,,117,1,144,,,95,,,,42,,,151,,14
"Clark, Katherine M.",,3,4,,22,17,,,,,6,,31,2,45,,,36,,,,9,,,54,,7
"Clay Jr., William L.",,,,,,1,,,,,1,,,,,,,,,,,,,,,,
"Cohen, Steve",,,3,,7,5,,,,,9,,10,2,2,,,3,,,,5,,,4,,
"Collins, Susan M.",,13,10,,33,21,,,,,22,5,50,18,46,,,49,,,,8,,1,53,,9
"Comer, James",,2,,,1,1,,,,,,,4,,,,,,,,,,,,3,,
"Conaway, K. M.",,,1,,11,3,,,,,7,,21,111,8,,,10,,,,,,,10,1,6
"Connolly, Gerald E.",,,,,1,1,,,,,,,1,,1,,,,,,,,,,8,,6
"Coons, Christopher A.",,,,,4,,,,,,,,,,,,,,,,,,,,3,,
"Cornyn, John",,,,,,,,,,,,,,,,,,,,,,,,,2,,
"Courtney, Joe",,2,3,,14,13,,,,,5,,19,48,10,,,8,,,,2,,,11,,3
"Crenshaw, Daniel",,,,,10,,,,,,2,,,3,,,,5,,,,,,,,,
"Cruz, Rafael E.",,,,,,,,,,,5,,3,,,,,,,,,,,,,,
"Curtis, John",,1,4,,23,7,,,,,2,,22,,18,,,15,,,,2,,,37,,
"Davis, Susan A.",,,,,4,,,,,,,,,,,,,3,,,,,,,10,,1
"DelBene, Suzan K.",,,,,,,,,,,,,,,,,,,,,,,,,18,,
"Dingell, Debbie",,2,2,,3,2,,,,,,,2,1,4,,,4,,,,,,,4,,1
"Doggett, Lloyd",,9,,,9,17,,,,,,,,,,,,,,,,,,,9,,
"Duckworth, Ladda T.",,6,1,,3,2,,,,,,,1,,2,,,4,,,,,,,2,,1
"Dunn, Neal P.",,,,,,,,,,,,,30,,,,,,,,,,,,,,
"Enzi, Michael B.",,,,,,,,,,,,,1,,,,,,,,,,,,,,
"Evans, Dwight",,2,4,,3,2,,,,,5,,7,8,4,,,8,,,,2,,,8,,4
"Fallon, Patrick",,,4,,7,,,,,,8,,9,,,,,35,,,,,,,26,,
"Fleischmann, Charles J.",,,,,3,,,,,,,,,68,2,,,1,,,,,,,,,
"Flores, Bill",,,,,,,,,,,1,,,,,,,,,,,,,,,,
