official,Basic Materials,Communication Services,Communications,Consumer Cyclical,Consumer Defensive,Consumer Discretionary,Consumer Goods,Cryptocurrency,Energy,Financial,Financial Services,Fund,Healthcare,Industrial Goods,Industrials,Oil & Gas Storage & Trpor,Real Estate,Services,Technology,Trust,Utilities
"Bennet, Michael F.",,,,2,,,,,,,,,,,,,,,1,,
"Blunt, Roy D.",,,,,3,,,,,,,,,,,,,,1,,
"Booker, Cory A.",,3,,5,,,,,,,,,,,2,,,,3,,
"Boozman, John",,,,,,,,,,,,1,,,,,,,,,
"Cantwell, Maria E.",,,,,,,,,,,,,,,,,,,5,,
"Capito, Shelley M.",12,14,,25,47,,,,30,,69,4,43,,47,,2,,58,,12
"Cardin, Benjamin L.",1,,,,,,,,,,1,,,,,,,,,,1
"Carper, Thomas R.",28,6,,18,12,,1,,11,,43,118,24,,19,,13,1,55,4,8
"Casey Jr., Robert P.",,,,,,,,,,,,,,,,,,,,,1
"Cassidy, William",8,12,,22,13,,,,16,,13,3,25,,15,,4,,30,,3
"Collins, Susan M.",13,10,,33,21,,,,22,5,50,18,46,,49,,8,1,53,,9
"Coons, Christopher A.",,,,4,,,,,,,,,,,,,,,3,,
"Cornyn, John",,,,,,,,,,,,,,,,,,,2,,
"Cruz, Rafael E.",,,,,,,,,5,,3,,,,,,,,,,
"Duckworth, Ladda T.",6,1,,3,2,,,,,,1,,2,,4,,,,2,,1
"Enzi, Michael B.",,,,,,,,,,,1,,,,,,,,,,
"Hagerty IV, William F.",,,2,3,1,,,,2,,5,,1,,2,,3,,2,,
"Hickenlooper, John W.",,1,,4,,,,,1,,2,,2,,,,,,11,,
"Hoeven, John",11,6,,39,22,,,,9,,17,12,16,,19,,7,,20,3,3
"Hollen, Chris V.",,2,,2,1,,,,,,,,1,,1,,,,,,
"Inhofe, James M.",2,,,30,9,,,,23,,32,11,54,,21,,,,33,,2
"Kaine, Timothy M.",,,,,,,,,1,,,,,,1,,,,,,
"Kennedy, John N.",,,,,,,,,,,,1,,,,,,,,,
"King Jr., Angus S.",2,2,,3,3,,,,7,,3,,7,,2,,,,4,,1
"Loeffler, Kelly",15,10,,30,30,,,,18,,67,,26,,44,,1,,33,,
"Lummis, Cynthia M.",,,,,,,,1,,,,,,,1,,,,,,
"Manchin III, Joseph",,,,,,,,,,,1,,,,,,,,,,
"McConnell Jr., A. M.",1,,,,,,,,,,16,,,,1,,,,,,
"Moran, Jerry",4,13,,9,22,,,,21,,45,3,26,,,,,,29,,
"Murray, Patty",4,7,,18,20,,1,,16,,27,,21,,16,,6,,15,,10
"Perdue Jr., David A.",184,99,,520,133,,,,371,,154,32,188,,241,,9,49,287,,12
"Peters, Gary C.",7,3,,2,2,,,,1,,8,3,6,,4,,9,,1,,3
"Reed, John F.",1,1,,,12,1,,,2,,15,41,68,,15,,,2,56,,
"Roberts, Pat",1,8,,117,27,,,,17,,51,1,9,,62,,1,,123,,
"Rosen, Jacklyn S.",,,,1,,,,,1,,,,2,,1,,,,1,,
"Smith, Tina",,,,1,,,,,,,,,18,,,,,,1,,
"Sullivan, Daniel S.",10,,,,,,,,,,,16,,,,,,,,,
"Thune, John R.",,,,,,,,,,,,,,,,,1,,,,
"Tillis, Thomas R.",5,,,10,4,,2,,5,1,13,2,11,,14,,4,4,21,,1
"Toomey, Patrick J.",2,7,,9,4,,,,16,,31,38,18,,6,1,4,,5,3,4
"Tuberville, Thomas H.",59,1,,23,10,,,,15,1,15,6,15,,21,,,,84,4,1
"Udall, Thomas S.",,,,1,,,,,,,,,,,1,,,,,,
"Warner, Mark R.",,1,,,,,,,,,,,3,,1,,,,2,,
"Whitehouse, Sheldon",4,40,,105,63,,,,7,,76,5,103,3,69,,7,1,138,1,4
"Wicker, Roger F.",,,,,,,,,,,4,,,,,,,,,,
"Wyden, Ronald L.",3,3,,62,15,,,,5,,6,,,,19,,3,,105,,
