sector,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Basic Materials,2,4,20,16,48,73,64,36,57,63
Communication Services,,,23,9,11,38,52,50,58,9
Communications,,,,,,,,,,2
Consumer Cyclical,,,73,101,95,207,222,122,238,43
Consumer Defensive,,,34,35,43,92,80,60,113,19
Consumer Discretionary,,,,,,1,,,,
Consumer Goods,,,,2,1,1,,,,
Cryptocurrency,,,,,,,,,,1
Energy,,,28,84,74,69,118,112,115,22
Financial,,,5,1,,,,,,1
Financial Services,,1,66,68,86,126,124,58,195,45
Fund,,1,42,43,28,20,25,21,90,45
Healthcare,,,53,83,136,157,124,57,95,30
Industrial Goods,,,3,,,,,,,
Industrials,,,70,71,70,91,127,114,126,29
Oil & Gas Storage & Trpor,,,,1,,,,,,
Real Estate,,,9,5,11,16,3,5,22,11
Services,,,1,19,16,21,,,,1
Technology,,,112,89,149,147,157,122,260,148
Trust,,,1,1,,,,4,3,6
Utilities,,,12,12,11,22,8,3,4,4
