sector	house	senate	input
Communication Services	424	250	674
Fund	741	315	1056
Medical	1		1
Consumer Discretionary		1	1
Services	14	58	72
Industrials	1371	698	2069
Information Technology	10		10
Cryptocurrency	22	1	23
Consumer Defensive	732	476	1208
Banks - Regional	1		1
Trust	8	15	23
Oil & Gas Storage & Trpor		1	1
Financial Services	1572	769	2341
Retail/Wholesale	2		2
Consumer Cyclical	1485	1101	2586
Consumer Goods		4	4
Consumer Staples	1		1
Utilities	314	76	390
Industrial Goods		3	3
Real Estate	364	82	446
Healthcare	1331	735	2066
Financial		7	7
Induistrial	2		2
Basic Materials	372	383	755
Technology	2313	1184	3497
Communications	2	2	4
Energy	946	622	1568
