ticker,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Total
0QZI.IL,,,,,,,,2,,,2
3V64.TI,,,,,,,,2,,,2
A,,,1,2,1,,,,,,4
AA,,,,,,,,,1,14,15
AAGIY,,,,,,,,1,,,1
AAL,,,,,,,,,6,,6
AAN,,,,17,1,,,,,,18
AAON,,,,1,,,,,,,1
AAPL,,,14,13,22,17,25,16,49,16,172
AAT,,,,1,,,,,,,1
ABB,,,,,,,,1,,,1
ABBV,,,4,4,,1,2,1,10,,22
ABCO,,,,1,,,,,,,1
ABT,,,,3,3,3,2,1,2,,14
ABYIX,,,,,,,,,1,1,2
ACA,,,,,,,3,4,1,,8
ACE,,,3,1,,,,,,,4
ACIW,,,,,,,,,1,,1
ACN,,,,1,1,1,2,,,,5
ACSDX,,,,1,,,,,,,1
ACT,,,3,2,,,,,,,5
ADBE,,,,,,,,,,4,4
ADC,,,1,,,,,,,,1
ADI,,,,,,7,4,2,,,13
ADM,,,,,,,,,5,,5
ADP,,,,1,1,,2,,3,2,9
ADT,,,,,11,,,,,,11
ADT.F,,,,,1,,,,,,1
AEE,,,,1,1,,,,,,2
AEP,,,1,,,,,,1,1,3
AET,,,,,,,1,,,,1
AEX.MU,,,,,1,,,,,,1
AFL,,,1,,1,,3,,4,,9
AFSI,,,,1,,,,,,,1
AFTEX,,,,1,,,,,,,1
AGCO,,,1,,,,,,1,,2
AGN,,,,,3,4,2,,1,,10
AGU,,,,,,1,,,,,1
AHKSY,,,,,,1,,1,,,2
AIG,,,3,1,,,1,1,7,,13
AIT,,,1,,,,,,,,1
AIV,,,,,,,,,2,,2
AIZ,,,,,,,,,7,,7
AJG,,,3,,,,,,,,3
AJRD,,,,,,,,,1,1,2
AKAM,,,,,,1,,1,,,2
AKRX,,,,1,,,,,,,1
AL,,,,,,,1,,,,1
ALB,,,,,,,1,10,3,,14
ALE,,,,1,,,,,,,1
ALGN,,,,,,,,,,1,1
ALL,,,1,,,,1,,2,,4
ALLE,,,,,,,,,,1,1
ALTR,,,2,3,,,,,,,5
ALV,,,1,,,,,,,,1
AM,,,,2,2,,,5,,,9
AMAT,,,,1,,,,,6,3,10
AME,,,,,,1,,,,2,3
AMG,,,,2,4,,,,,,6
AMGN,,,2,3,6,6,4,1,5,,27
AMLP,,,3,,,,,,1,,4
AMSG,,,,1,,,,,,,1
AMT,,,4,,1,3,,2,2,,12
AMWD,,,,,,,,,2,,2
AMZN,,,4,2,2,6,12,6,21,1,54
ANCX,,,,,,1,,1,,,2
ANDX,,,,,,2,1,1,,,4
ANTM,,,,1,,,,2,1,,4
AON,,,,,,,1,,,1,2
APA,,,1,,,2,,,,,3
APAM,,,,,,,,,,1,1
APC,,,,,,,,1,,,1
APD,,,,,,,2,,,1,3
APH,,,1,,,,,,,,1
APO,,,,,,,,,2,,2
APTV,,,,,,,4,,,,4
AQFH,,,,,,2,,,,,2
AQN,,,,,,,,,,1,1
AR,,,,1,,,,,,,1
ARCC,,,1,,,3,,,2,,6
ARE,,,1,,,,,,3,1,5
ARNA,,,,,,,,,6,,6
ARW,,,,1,,1,,,,,2
ASIX,,,,,4,,,,,,4
ASML,,,,,,1,,1,,,2
ATHM,,,,,,,,,,2,2
ATML,,,1,1,,,,,,,2
ATOAX,,,,,,,,,1,,1
ATRO,,,,1,,,,,,,1
ATVI,,,,,,,,1,1,,2
AVGO,,,,,,2,,1,3,1,7
AVP,,,,1,,3,2,2,,,8
AWK,,,,,1,,,,,,1
AX,,,,,,,,1,,,1
AXAHY,,,,,,1,,,,,1
AXLL,,,,2,11,,,,,,13
AXP,,,2,6,2,,,1,,,11
AXS,,,,,,,,,1,,1
AXTA,,,,,,15,8,,4,,27
AY,,,,,,,,,1,,1
AYI,,,,1,,,1,,,,2
AZN,,,,,,1,,1,,,2
AZO,,,,,,,,,5,,5
BA,,,7,5,3,5,5,2,14,1,42
BABA,,,1,3,1,1,2,1,4,12,25
BAC,,,6,2,29,16,17,1,13,2,86
BAH,,,,,,,,1,2,,3
BAM,,,,,,,2,,4,,6
BASFY,,,,,,1,,,,,1
BAX,,,,15,6,7,,,1,,29
BBL,,,,,,1,,,,,1
BBT,,,,,,,2,,,,2
BBU,,,,,1,,,,,,1
BBY,,,,,,,,,2,,2
BCPC,,,,1,,,,,,,1
BCR,,,,2,,3,,,,,5
BDX,,,,,1,,2,,,1,4
BEAV,,,3,,,,,,,,3
BECN,,,,1,,,,,,,1
BERY,,,,1,,,,,1,,2
BFAM,,,,,,1,1,,1,,3
