transaction_date	house	senate	input
2019/06/24	204	4	208
2020/01/28	23	2	25
2014/09/04		3	3
2019/07/30		2	2
2020/02/17	1		1
2018/10/08		3	3
2017/07/27		1	1
2015/02/11		3	3
2018/01/05		17	17
2018/11/16		4	4
2018/12/31		6	6
2016/10/14		1	1
2020/10/13	31	4	35
2017/02/02		2	2
2021/05/18	19	1	20
2014/12/24		1	1
2019/02/15	30	2	32
2021/10/05	12	1	13
2021/06/03	15	2	17
2019/11/06	3	4	7
2021/01/14	31		31
2013/06/10		2	2
2014/04/14		1	1
2021/05/20	39		39
2016/08/11		4	4
2018/09/19		2	2
2021/03/12	30	3	33
2017/02/21		2	2
2014/09/26		2	2
2017/10/19		8	8
2020/10/14	8		8
2019/05/22	1	3	4
2018/11/05		9	9
2016/07/27		3	3
2014/04/11		2	2
2019/01/30	1	6	7
2021/09/20	13	2	15
2018/06/13		10	10
2020/11/08	1		1
2016/10/31		13	13
2018/07/30		9	9
2017/01/06		1	1
2017/11/08		3	3
2016/02/24		1	1
2021/07/14	5	4	9
2018/01/29		4	4
2019/04/09	1	7	8
2015/04/22		3	3
2013/06/11		1	1
2016/10/27		1	1
2013/09/03		2	2
2020/06/16	19	1	20
2017/10/17		5	5
2017/07/07		4	4
2020/01/22	7	1	8
2021/01/04	62	13	75
2020/06/15	15		15
2012/12/10		1	1
2015/08/20		6	6
2016/04/11		5	5
2013/10/31		2	2
2019/05/15	15	4	19
2014/10/01		2	2
2021/06/21	21	1	22
2018/12/28		10	10
2012/11/09		2	2
2017/01/31		4	4
2019/10/15	2	3	5
2021/11/29	4	2	6
2020/07/08	31	1	32
2016/07/12		5	5
2019/02/07		8	8
2013/12/13		1	1
2015/10/15		5	5
2017/07/26		3	3
2021/05/21	8		8
2013/03/11		1	1
2014/06/10		1	1
2019/02/01	3	9	12
2018/08/01		5	5
2019/04/22		1	1
2017/01/10		2	2
2013/02/27		1	1
2021/06/30	11	1	12
2018/02/26		4	4
2018/09/28		2	2
2019/08/02	2	7	9
2017/02/16		2	2
2016/05/04		3	3
2015/06/19		1	1
2013/11/04		2	2
2021/11/16	10		10
2019/06/04	20		20
2019/03/05		1	1
2020/02/19	23	9	32
2016/09/02		1	1
2020/11/27	10		10
2019/11/15		1	1
2019/06/27	1	3	4
2021/11/09	11	4	15
2016/11/18		13	13
2018/05/22		9	9
2021/07/08	8	2	10
2019/05/21	3	1	4
2016/05/05		5	5
2017/04/03		1	1
2017/11/13		9	9
2021/09/08	7	1	8
2018/04/30		3	3
2015/08/06		9	9
2012/10/01		1	1
2020/03/26	68	11	79
2013/05/13		2	2
2012/08/23		1	1
2021/03/11	33	1	34
2020/12/10	25		25
2018/05/21		3	3
2015/01/27		5	5
2014/12/01		1	1
2016/05/24		9	9
2021/02/19	46	1	47
2016/12/07		1	1
2016/01/12		1	1
2015/07/14		2	2
2016/08/09		1	1
2013/09/27		1	1
2013/10/15		3	3
2020/09/03	17	4	21
2020/07/14	52		52
2020/01/06	13	5	18
2015/08/26		3	3
2020/05/21	14	2	16
2015/01/05		2	2
2016/02/16		6	6
2020/09/18	12	1	13
2017/03/10		3	3
2016/06/10		4	4
2015/12/02		1	1
2020/04/16	17	45	62
2019/06/30		1	1
2012/06/14		1	1
2021/08/19	14	1	15
2020/02/03	14		14
2016/03/15		1	1
2017/03/22		9	9
2018/01/26		7	7
2018/08/23		2	2
2013/07/17		2	2
2018/03/22		1	1
2020/12/17	18	1	19
2020/03/30	18	5	23
2020/01/17	19	2	21
2018/04/09		2	2
2016/01/25		9	9
2014/11/26		2	2
2014/06/24		2	2
2015/07/28		4	4
2020/12/11	25	1	26
2018/02/14		2	2
2017/06/19		8	8
2015/03/17		3	3
2021/08/04	13	4	17
2020/11/29	1		1
2017/03/16		81	81
2017/12/26		9	9
2015/10/29		4	4
2012/10/04		1	1
2012/10/25		1	1
2014/02/03		2	2
2014/01/31		4	4
2019/02/27		17	17
2021/07/07	22	2	24
2017/05/16		5	5
2019/07/31	1	5	6
2016/10/05		4	4
2018/10/09		20	20
2019/10/28		6	6
2020/12/07	19	3	22
2020/10/07	16		16
2018/11/12		8	8
2017/01/12		2	2
2015/11/18		8	8
2015/01/06		3	3
2015/09/15		6	6
2016/07/15		8	8
2016/02/29		4	4
2018/01/23		1	1
2020/04/15	25	22	47
2021/05/04	14	1	15
2021/11/01	7	5	12
2015/09/28		10	10
2020/11/06	14		14
2018/06/20		2	2
2017/12/08		1	1
2018/04/13		2	2
2015/12/28		4	4
2021/02/11	123	2	125
2013/07/22		1	1
2018/12/19		32	32
2019/05/28		3	3
2014/03/14		5	5
2021/03/01	53	3	56
2016/12/06		1	1
2016/05/06		3	3
2016/11/14		5	5
2014/02/24		1	1
2020/11/25	25		25
2021/07/17	1		1
2021/09/07	19		19
2015/11/24		4	4
2014/10/15		1	1
2019/12/02	8	1	9
2020/09/30	8	2	10
2017/06/14		9	9
2020/08/04	61	5	66
2013/10/30		1	1
2019/06/01		1	1
2015/02/06		2	2
2019/10/18		4	4
2012/08/17		2	2
2014/05/07		64	64
2019/03/28	2	8	10
2016/04/14		3	3
2014/06/17		1	1
2016/09/16		1	1
2016/01/15		4	4
2018/11/21		3	3
2014/11/17		7	7
2021/05/07	11	2	13
2016/12/15		9	9
2019/10/30	1	1	2
2019/03/06	22	5	27
2021/11/24	12	1	13
2012/12/13		2	2
2017/03/13		2	2
2016/06/07		6	6
2021/11/22		5	5
2021/06/29	11		11
2015/11/13		6	6
2018/10/17		4	4
2017/01/20		13	13
2017/04/24		8	8
2014/04/02		3	3
2017/06/02		5	5
2015/05/08		1	1
2016/09/13		8	8
2017/02/01		10	10
2015/10/30		1	1
2021/06/09	11	1	12
2017/01/23		3	3
2021/12/01	8	2	10
2020/06/20	2		2
2020/11/23	19		19
2017/05/22		2	2
2017/10/23		11	11
2020/01/30	9	3	12
2016/11/30		1	1
2017/02/06		4	4
2018/11/30		1	1
2019/12/18	49	2	51
2019/08/16	1	1	2
2014/07/10		4	4
2020/07/22	19	1	20
2015/02/18		4	4
2019/01/04		7	7
2017/06/13		3	3
2012/12/21		2	2
2018/11/02		5	5
2014/04/28		9	9
2020/12/20	1		1
2014/02/06		6	6
2015/05/04		2	2
2020/11/13	133		133
2019/11/05	1	3	4
2019/06/14		6	6
2014/11/14		1	1
2020/11/02	31		31
2017/12/19		4	4
2014/06/30		1	1
2017/04/13		2	2
2018/09/25		3	3
2021/04/06	2	9	11
2019/09/01		1	1
2021/10/25	11	4	15
2018/09/09	1		1
2015/06/30		4	4
2019/11/11	1	14	15
2018/03/12		1	1
2018/11/29		6	6
2021/12/31	2	1	3
2020/06/23	32	6	38
2014/12/12		3	3
2018/07/03		1	1
2019/07/18	3	4	7
2020/02/14	34	5	39
2015/04/17		1	1
2015/08/19		1	1
2019/02/11	1	1	2
2020/09/23	52	1	53
2020/04/10	2		2
2014/01/16		2	2
2020/02/10	61	10	71
2019/09/19		9	9
2020/05/11	24	4	28
2019/11/13		2	2
2013/01/10		1	1
2013/02/14		2	2
2015/10/27		2	2
2019/05/17	1	7	8
2020/10/15	16		16
2020/05/01	38	4	42
2020/09/17	9	1	10
2012/08/22		2	2
2017/11/02		6	6
2021/02/17	69		69
2016/12/01		10	10
2015/01/22		4	4
2017/07/03		2	2
2021/07/26	1	19	20
2020/06/17	9	5	14
2015/09/25		6	6
2015/05/01		3	3
2020/12/31	26	9	35
2017/10/26		5	5
2016/01/27		10	10
2020/11/03	35		35
2013/04/05		3	3
2019/02/19	5	11	16
2018/02/15		4	4
2013/01/04		2	2
2015/01/02		2	2
2021/12/28	16	3	19
2015/05/22		2	2
2016/11/29		1	1
2016/04/13		2	2
2015/06/25		2	2
2017/02/23		11	11
2012/10/10		2	2
2013/12/12		2	2
2015/06/16		4	4
2015/03/02		4	4
2015/12/20		1	1
2013/12/01		1	1
2019/03/07		4	4
2021/05/01		1	1
2019/09/30	2	23	25
2020/09/24	10	1	11
2019/06/03	3	2	5
2016/03/01		5	5
2013/02/07		1	1
2019/04/03	23	3	26
2017/06/23		3	3
2015/08/14		2	2
2021/10/04	19		19
2015/06/29		2	2
2012/07/25		1	1
2019/08/09		5	5
2016/12/09		1	1
2016/08/23		2	2
2020/04/22	29	1	30
2013/07/29		1	1
2017/07/14		3	3
2016/05/20		1	1
2019/05/14	1	2	3
2020/11/22	1		1
2016/07/05		2	2
2021/12/09	17	4	21
2020/06/19	33	3	36
2019/06/17		2	2
2016/02/04		2	2
2014/04/25		2	2
2018/08/07		7	7
2020/06/24	21	10	31
2021/05/17	15	2	17
2020/07/17	14		14
2021/01/28	75	1	76
2015/06/23		1	1
2020/03/05	19	6	25
2017/02/09		2	2
2019/10/02		1	1
2013/09/04		1	1
2015/03/16		6	6
2013/10/21		1	1
2021/08/03	7		7
2015/01/28		7	7
2021/01/18	2		2
2016/07/08		3	3
2021/04/07	6	5	11
2015/07/24		2	2
2014/01/30		7	7
2017/08/22		2	2
2021/03/04	35		35
2021/07/16	17	11	28
2014/03/13		9	9
2018/06/01		6	6
2018/10/05		2	2
2014/06/25		2	2
2018/10/18		1	1
2017/05/15		6	6
2017/05/10		8	8
2018/10/23		8	8
2013/09/24		1	1
2015/02/04		3	3
2021/05/14	13		13
2019/03/29		6	6
2021/02/22	32		32
2020/11/24	28	4	32
2020/09/21	12		12
2021/01/22	48	1	49
2018/07/18		3	3
2019/11/01		2	2
2014/03/27		4	4
2019/09/06	2	1	3
2019/08/15		6	6
2020/10/30	14	3	17
2020/04/20	19		19
2019/07/24	4	1	5
2014/09/05		1	1
2019/11/29	1	1	2
2021/11/15	26		26
2015/11/02		2	2
2020/02/25	14	13	27
2015/06/03		3	3
2020/08/17	6	3	9
2020/04/07	29	116	145
2016/03/03		2	2
2020/08/25	14	2	16
2020/08/14	21	3	24
2013/06/04		1	1
2021/04/22	18	2	20
2021/01/15	69	3	72
2019/05/16		4	4
2018/05/18		3	3
2016/08/26		4	4
2019/08/05		3	3
2015/03/05		1	1
2015/06/26		1	1
2015/05/19		1	1
2021/10/15	12	3	15
2014/08/29		2	2
2016/03/17		2	2
2014/05/20		1	1
2021/07/15	8		8
2017/03/02		10	10
2021/09/27	18	1	19
2015/12/08		2	2
2014/04/23		2	2
2017/01/30		7	7
2016/08/03		2	2
2016/12/12		3	3
2015/10/14		2	2
2020/05/27	20	3	23
2018/05/02		3	3
2019/10/08		2	2
2017/07/21		2	2
2019/07/25		5	5
2021/01/13	34	6	40
2017/07/12		1	1
2012/11/19		1	1
