date,number_of_transactions
2020/03/18,292
2019/06/24,204
2021/02/16,194
2020/11/13,133
2020/02/20,129
2020/04/02,129
2021/02/11,123
2020/10/22,98
2020/11/05,91
2020/03/23,90
2020/11/19,84
2021/02/05,81
2020/04/29,77
2020/01/13,76
2021/01/28,75
2020/08/07,71
2020/03/27,70
2020/10/16,70
2021/01/15,69
2021/02/17,69
2020/03/26,68
2021/03/17,66
2021/01/04,62
2020/02/10,61
2020/08/04,61
2021/02/12,60
2021/04/09,58
2020/02/28,58
2021/09/02,57
2020/02/24,55
2020/06/10,55
2021/01/21,54
2020/10/09,54
2021/02/25,54
2020/11/12,53
2021/03/01,53
2020/04/30,53
2020/07/14,52
2020/09/23,52
2021/03/15,51
2020/11/17,51
2020/07/27,50
2021/01/11,49
2020/04/03,49
2020/04/27,49
2020/08/10,49
2019/12/18,49
2021/01/22,48
2020/05/19,48
2021/02/19,46
2020/01/09,45
2019/12/31,45
2021/09/30,45
2020/07/02,44
2021/02/23,44
2020/03/02,43
2020/04/17,43
2020/05/13,43
2020/09/16,43
2021/02/08,42
2020/07/28,42
2020/11/16,42
2021/03/05,42
2021/06/22,42
2020/04/09,42
2020/05/07,41
2021/03/31,41
2020/09/15,41
2020/11/18,40
2020/09/08,40
2021/08/09,40
2020/12/22,39
2020/07/13,39
2021/05/20,39
2021/04/30,39
2021/03/10,39
2020/04/28,39
2020/11/09,39
2020/03/16,38
2021/01/19,38
2020/06/29,38
2020/05/01,38
2021/03/16,37
2020/12/18,37
2020/06/05,37
2021/01/12,36
2021/02/02,36
2020/04/06,36
2020/07/01,36
2021/09/16,36
2020/03/17,35
2020/11/03,35
2020/01/10,35
2020/02/07,35
2021/03/04,35
2021/11/26,35
2020/06/11,35
2020/03/31,34
2021/01/13,34
2020/02/14,34
2021/03/11,33
2021/01/20,33
2020/11/20,33
2020/11/04,33
2020/10/29,33
2021/02/01,33
2019/12/23,33
2020/01/29,33
2020/10/05,33
2020/06/19,33
2019/12/30,33
2020/02/21,32
2020/08/28,32
2021/02/09,32
2020/03/10,32
2021/02/22,32
2020/06/23,32
2019/12/06,32
2020/03/13,31
2021/01/14,31
2020/10/13,31
2020/11/02,31
2020/07/08,31
2020/02/13,31
2020/06/01,31
2021/02/26,31
2020/01/27,31
2021/03/12,30
2020/09/01,30
2020/09/02,30
2021/03/24,30
2021/05/03,30
2020/05/26,30
2021/07/01,30
2020/03/19,30
2020/01/07,30
2020/03/12,30
2019/02/15,30
2020/08/27,30
2021/01/05,29
2021/06/10,29
2021/05/26,29
2021/06/04,29
2020/04/07,29
2021/06/14,29
2021/12/16,29
2020/04/22,29
2021/05/12,29
2020/11/24,28
2021/02/10,28
2021/11/08,28
2020/12/16,28
2020/02/27,28
2020/10/19,28
2021/10/28,28
2020/01/14,27
2020/03/11,27
2020/01/08,27
2020/06/03,27
2021/07/27,27
2021/04/14,26
2020/12/31,26
2021/02/24,26
2021/11/15,26
2021/02/18,26
2021/07/19,26
2019/12/10,26
2020/06/09,26
2020/12/23,26
2019/08/28,26
2021/09/17,25
2020/02/18,25
2020/10/28,25
2020/12/11,25
2020/11/25,25
2020/12/10,25
2020/01/15,25
2020/05/08,25
2020/04/15,25
2020/08/11,25
2019/02/05,25
2020/03/09,24
2021/01/08,24
2020/08/12,24
2021/03/18,24
2020/05/11,24
2019/04/16,24
2021/09/01,24
2021/11/18,23
2020/03/06,23
2020/03/24,23
2021/03/26,23
2020/11/30,23
2020/01/02,23
2020/09/11,23
2020/02/19,23
2020/01/21,23
2020/06/22,23
2020/11/11,23
2020/01/28,23
2019/04/03,23
2021/05/27,22
2021/06/15,22
2021/07/07,22
2021/03/08,22
2021/09/24,22
2020/05/18,22
2020/04/13,22
2021/09/15,22
2019/03/06,22
2020/12/01,21
2020/08/14,21
2021/03/25,21
2021/04/13,21
2020/04/01,21
2021/06/21,21
2021/06/18,21
2020/06/24,21
2019/01/09,21
2021/02/04,20
2020/06/26,20
2021/05/11,20
2021/08/02,20
2021/06/24,20
2020/10/26,20
2020/05/15,20
2020/05/27,20
2021/04/16,20
2021/06/25,20
2021/11/19,20
2020/01/24,20
2019/03/19,20
2021/03/22,20
2019/06/04,20
2021/10/04,19
2021/01/25,19
2020/10/01,19
2020/07/22,19
2021/04/23,19
2021/03/09,19
2021/08/20,19
2020/03/04,19
2021/09/07,19
2020/03/05,19
2020/04/20,19
2020/12/07,19
2021/05/18,19
2021/10/29,19
2020/01/17,19
2020/11/23,19
2020/06/16,19
2021/10/01,19
2020/10/02,19
2019/12/24,19
2021/09/27,18
2020/12/08,18
2020/03/03,18
2019/12/12,18
2021/09/14,18
2020/04/08,18
2021/04/22,18
2020/06/02,18
2020/07/07,18
2020/12/17,18
2021/06/17,18
2020/01/03,18
2021/12/22,18
2020/03/30,18
2021/08/16,18
2020/05/04,18
2019/02/06,18
2020/09/25,18
2020/09/04,17
2021/03/19,17
2021/08/11,17
2021/06/08,17
2021/04/01,17
2020/03/25,17
2021/12/09,17
2021/04/19,17
2021/06/16,17
2021/06/23,17
2021/10/22,17
2020/06/18,17
2020/04/16,17
2021/07/16,17
2019/12/03,17
2020/11/10,17
2020/09/03,17
2020/07/30,17
2021/01/27,16
2021/01/06,16
2020/10/15,16
2021/11/02,16
2021/08/13,16
2021/03/02,16
2020/12/28,16
2020/03/20,16
2020/05/20,16
2021/04/05,16
2021/12/14,16
2021/06/28,16
2021/12/28,16
2021/12/21,16
2020/07/09,16
2020/04/14,16
2020/08/26,16
2020/10/07,16
2021/10/18,16
2019/04/30,16
2021/07/21,16
2021/09/13,15
2020/02/05,15
2020/07/23,15
2020/12/21,15
2021/05/17,15
2021/06/03,15
2021/12/15,15
2020/04/23,15
2021/07/02,15
2021/03/23,15
2021/10/06,15
2020/06/15,15
2021/12/20,15
2021/10/20,15
2019/05/15,15
2019/02/20,15
2021/09/10,14
2020/02/25,14
2020/10/30,14
2020/10/23,14
2020/12/15,14
2020/11/06,14
2020/08/25,14
2020/08/20,14
2021/05/04,14
2021/04/12,14
2021/08/06,14
2021/07/30,14
2020/09/10,14
2021/08/19,14
2021/09/23,14
2020/05/21,14
2020/01/16,14
2020/07/17,14
2020/08/31,14
2021/07/09,14
2020/02/03,14
2020/02/11,14
2020/05/28,14
2021/10/13,13
2020/08/06,13
2020/12/03,13
2020/07/15,13
2020/01/06,13
2020/12/30,13
2021/03/30,13
2021/05/14,13
2020/07/21,13
2021/06/02,13
2021/09/20,13
2019/05/20,13
2020/06/04,13
2021/08/04,13
2019/01/23,13
2021/11/24,12
2020/08/13,12
2021/05/06,12
2020/07/29,12
2021/05/13,12
2021/04/15,12
2021/07/06,12
2021/04/27,12
2021/03/29,12
2021/08/25,12
2020/09/18,12
2020/09/21,12
2021/07/22,12
2021/05/19,12
2021/11/04,12
2020/04/24,12
2021/07/23,12
2021/08/10,12
2021/08/05,12
2021/10/19,12
2021/10/15,12
2021/10/05,12
2020/01/31,12
2021/10/25,11
2020/02/04,11
2020/10/08,11
2020/07/16,11
2021/06/29,11
2021/05/07,11
2021/06/09,11
2021/06/11,11
2019/12/16,11
2021/06/30,11
2020/06/30,11
2021/11/09,11
2021/12/06,11
2021/12/30,11
2021/07/13,11
2021/04/20,11
2020/08/24,11
2020/09/29,11
2021/11/16,10
2020/02/26,10
2021/01/29,10
2020/07/24,10
2021/05/05,10
2020/11/27,10
2021/05/28,10
2021/12/17,10
2021/08/27,10
2020/09/09,10
2021/12/03,10
2020/02/06,10
2021/06/01,10
2021/02/03,10
2021/12/02,10
2020/06/25,10
2020/05/05,10
2021/10/14,10
2020/07/10,10
2020/12/29,10
2020/05/12,10
2020/09/24,10
2020/04/18,10
2021/09/28,9
2021/01/26,9
2020/12/09,9
2021/08/18,9
2021/08/23,9
2021/04/26,9
2021/11/23,9
2020/10/21,9
2021/12/10,9
2019/12/19,9
2020/06/17,9
2020/06/08,9
2020/07/06,9
2021/03/03,9
2020/05/14,9
2021/11/10,9
2020/09/17,9
2021/09/09,9
2020/01/30,9
2021/12/29,9
2019/04/11,9
2020/09/28,9
2021/12/01,8
2021/10/07,8
2021/10/26,8
2020/09/30,8
2021/04/21,8
2020/12/24,8
2021/05/25,8
2021/08/30,8
2021/08/17,8
2021/07/08,8
2021/09/22,8
2020/08/03,8
2020/09/14,8
2020/05/29,8
2020/07/31,8
2020/04/21,8
2021/11/12,8
2021/07/15,8
2019/06/19,8
2020/10/14,8
2020/08/05,8
2021/05/21,8
2021/10/21,8
2019/03/18,8
2019/12/02,8
2020/12/02,7
2021/11/01,7
2021/04/28,7
2020/01/22,7
2021/04/29,7
2021/11/11,7
2021/11/17,7
2021/10/27,7
2021/08/03,7
2020/10/06,7
2019/11/22,7
2021/12/27,7
2021/10/12,7
2021/09/08,7
2020/05/22,7
2021/05/10,7
2021/11/30,6
2020/08/17,6
2021/04/07,6
2021/04/08,6
2021/01/07,6
2021/09/21,6
2020/07/20,6
2021/12/23,6
2021/07/28,6
2021/07/20,6
2021/08/31,6
2019/12/11,6
2021/08/12,6
2020/02/12,6
2019/06/06,6
2019/02/22,6
2021/07/14,5
2020/10/20,5
2021/11/03,5
2021/11/05,5
2020/06/12,5
2019/04/23,5
2019/03/04,5
2019/08/08,5
2019/04/02,5
2019/12/27,5
2019/04/05,5
2019/03/20,5
2019/02/19,5
2021/05/24,5
2021/06/07,5
2020/12/14,4
2019/12/17,4
2021/07/29,4
2021/11/29,4
2019/10/29,4
2019/05/31,4
2019/12/04,4
2021/12/07,4
2020/08/18,4
2020/09/22,4
2019/12/26,4
2019/01/29,4
2019/05/30,4
2019/01/15,4
2019/07/24,4
2021/09/29,4
2021/09/03,4
2019/07/01,3
2021/07/12,3
2020/08/19,3
2021/12/13,3
2020/10/27,3
2019/05/10,3
2019/06/03,3
2019/05/21,3
2019/07/18,3
2019/03/13,3
2019/11/06,3
2019/11/20,3
2019/05/23,3
2019/10/31,3
2019/04/08,3
2019/03/22,3
2019/01/10,3
2019/02/01,3
2019/12/05,3
2021/10/08,2
2019/04/29,2
2019/08/02,2
2019/11/21,2
2019/11/12,2
2021/12/08,2
2020/05/06,2
2021/01/18,2
2019/02/28,2
2019/03/21,2
2019/01/18,2
2019/09/06,2
2019/09/09,2
2020/04/10,2
2021/08/24,2
2021/12/31,2
2021/07/31,2
2019/04/10,2
2019/08/01,2
2021/01/31,2
2019/12/13,2
2019/01/25,2
2020/01/23,2
2019/03/15,2
2019/02/21,2
2019/01/16,2
2019/01/11,2
2019/10/15,2
2019/03/28,2
2019/09/30,2
2019/07/08,2
2019/06/21,2
2020/06/20,2
2019/10/14,2
2019/10/16,2
2019/11/14,2
2021/04/06,2
2019/10/17,1
2021/04/24,1
2020/11/08,1
2020/11/29,1
2020/11/22,1
2019/04/26,1
2019/05/14,1
2021/12/05,1
2021/06/26,1
2021/03/14,1
2021/11/06,1
2021/02/06,1
2021/02/07,1
2020/08/21,1
2018/09/09,1
2018/09/08,1
2020/02/17,1
2019/02/08,1
2019/02/04,1
2019/04/09,1
2019/10/04,1
2020/02/02,1
2021/04/02,1
2019/06/20,1
2020/01/20,1
2019/04/20,1
2019/05/06,1
2019/08/30,1
2021/12/25,1
2019/12/09,1
2019/04/01,1
2021/08/26,1
2021/05/22,1
2020/12/04,1
2019/09/10,1
2019/10/30,1
2019/10/03,1
2019/11/04,1
2020/06/21,1
2019/05/22,1
2019/01/17,1
2019/05/08,1
2019/05/09,1
2019/03/08,1
2019/01/30,1
2019/05/17,1
2019/04/18,1
2019/01/14,1
2019/03/27,1
2019/03/25,1
2019/09/20,1
2020/10/12,1
2019/07/31,1
2019/09/03,1
2019/08/16,1
2019/07/29,1
