date,number_of_transactions
2020/04/14,148
2020/04/07,116
2017/06/15,107
2015/02/13,100
2017/03/16,81
2017/08/31,68
2018/04/24,66
2014/05/07,64
2020/04/02,60
2020/11/20,59
2019/03/11,48
2020/08/21,46
2017/09/08,46
2021/03/29,45
2020/04/16,45
2019/09/25,42
2018/10/29,42
2014/07/23,41
2018/04/05,39
2021/12/21,37
2018/12/06,37
2016/03/31,34
2018/01/12,33
2020/07/09,32
2018/12/19,32
2014/06/19,31
2019/02/25,29
2018/02/05,29
2014/11/10,29
2020/03/09,25
2019/02/28,25
2015/11/10,25
2018/03/09,24
2020/04/06,23
2020/03/20,23
2019/09/30,23
2017/09/05,23
2016/04/19,23
2020/02/26,22
2020/04/15,22
2017/08/04,21
2015/02/20,21
2020/03/17,20
2018/10/09,20
2018/04/23,20
2015/12/15,20
2015/12/22,20
2021/07/26,19
2018/12/07,19
2018/12/27,19
2018/05/01,19
2017/09/26,19
2014/03/28,19
2020/11/05,18
2020/07/07,18
2019/02/04,18
2017/05/24,18
2015/09/18,18
2015/07/09,18
2019/02/27,17
2020/03/24,17
2018/01/04,17
2018/01/05,17
2016/11/15,17
2016/11/11,17
2015/09/17,17
2014/12/18,17
2021/09/30,16
2018/05/03,16
2017/12/13,16
2017/10/30,16
2017/03/06,16
2016/12/16,16
2016/11/23,16
2016/01/20,16
2021/10/18,15
2021/01/27,15
2020/03/04,15
2020/02/24,15
2021/01/11,14
2020/02/27,14
2020/03/27,14
2020/03/18,14
2020/03/16,14
2019/11/11,14
2019/11/04,14
2019/10/11,14
2019/03/22,14
2018/08/28,14
2018/01/16,14
2016/10/26,14
2016/01/21,14
2015/02/12,14
2021/01/04,13
2020/08/19,13
2020/02/28,13
2020/03/02,13
2020/02/25,13
2019/04/18,13
2019/01/25,13
2018/12/21,13
2016/10/31,13
2017/09/27,13
2017/01/20,13
2016/11/18,13
2016/06/24,13
2016/01/05,13
2015/11/12,13
2015/08/24,13
2020/03/03,12
2020/06/02,12
2020/03/10,12
2018/12/20,12
2018/06/04,12
2016/09/06,12
2016/06/28,12
2015/12/23,12
2015/11/25,12
2014/04/29,12
2014/09/18,12
2014/08/08,12
2014/02/19,12
2021/07/16,11
2020/03/26,11
2018/06/06,11
2019/02/19,11
2020/04/17,11
2020/01/14,11
2018/12/04,11
2018/06/21,11
2017/08/02,11
2017/11/07,11
2017/10/23,11
2017/09/29,11
2017/07/28,11
2017/04/05,11
2017/02/23,11
2016/11/28,11
2016/12/14,11
2016/02/11,11
2015/10/23,11
2015/08/04,11
2014/09/02,11
2014/04/03,11
2020/09/04,10
2020/06/04,10
2020/06/24,10
2020/02/21,10
2020/02/10,10
2019/12/31,10
2019/12/19,10
2018/10/24,10
2018/12/28,10
2018/11/28,10
2017/09/20,10
2018/06/13,10
2017/02/01,10
2018/02/06,10
2018/01/17,10
2017/11/27,10
2017/10/05,10
2017/08/24,10
2017/08/10,10
2017/08/09,10
2016/03/24,10
2017/03/02,10
2017/01/11,10
2016/12/01,10
2016/07/25,10
2016/01/27,10
2015/08/25,10
2015/09/28,10
2015/08/28,10
2015/04/02,10
2015/01/13,10
2021/09/29,9
