official,Exchange,Purchase,Sale (Full),Sale (Partial),total
"Alexander, Lamar",,36,21,2,59
"Allen, Richard W.",,23,14,1,38
"Amash, Justin",,3,,,3
"Arenholz, Ashley H.",,4,10,,14
"Axne, Cynthia",5,113,43,13,174
"Banks, James E.",,28,16,8,52
"Barrasso, John A.",,,1,,1
"Bennet, Michael F.",1,5,1,1,8
"Beyer, Donald S.",,330,340,,670
"Bice, Stephanie",,,1,,1
"Bilirakis, Gus M.",,,4,,4
"Blumenauer, Earl",4,82,36,16,138
"Blumenthal, Richard",,,,,50
"Blunt, Roy D.",,1,7,,10
"Booker, Cory A.",,,13,,13
"Boozman, John",,1,1,,46
"Brooks, Mo",,16,25,1,42
"Brooks, Susan W.",1,12,,1,14
"Buchanan, Vern",,12,21,,33
"Buck, Kenneth R.",,,1,,1
"Bucshon, Larry",,1,,,1
"Burchett, Tim",,,1,,1
"Burgess, Michael C.",,3,,6,9
"Burr, Richard M.",,,,,97
"Bustos, Cheri",,1,8,1,10
"Cantwell, Maria E.",,,,5,7
"Capito, Shelley M.",11,223,108,38,380
"Cardin, Benjamin L.",,5,10,,21
"Carper, Thomas R.",4,554,294,108,980
"Carter, Earl L.",,6,1,,7
"Case, Ed",,4,5,,9
"Casey Jr., Robert P.",,,,1,1
"Cassidy, William",,66,45,55,166
"Castor, Kathy",,30,7,1,38
"Cawthorn, David M.",,,1,,1
"Chabot, Steve",2,,,,2
"Chu, Judy",,,,1,1
"Cisneros, Gilbert",11,420,140,212,783
"Clark, Katherine M.",,100,136,7,243
"Clay Jr., William L.",,,2,,2
"Cochran, Thad",,,,,22
"Cohen, Steve",,1,49,,50
"Collins, Susan M.",4,171,173,47,450
"Comer, James",,6,5,,11
"Conaway, K. M.",30,128,67,15,240
"Connolly, Gerald E.",,1,1,16,18
"Coons, Christopher A.",,2,4,23,30
"Cornyn, John",,1,1,,2
"Courtney, Joe",,91,68,3,162
"Cox, TJ J.",,,,1,1
"Crapo, Michael D.",,1,,,1
"Crenshaw, Daniel",,13,5,2,20
"Cruz, Rafael E.",,3,2,5,13
"Curtis, John",1,125,20,25,171
"Daines, Steve",,,1,,1
"Davis, Susan A.",,13,3,2,18
"DelBene, Suzan K.",1,85,23,15,124
"Diaz-Balart, Mario",,,1,,1
"Dingell, Debbie",5,5,11,5,26
"Doggett, Lloyd",,44,,,44
"Duckworth, Ladda T.",1,1,19,1,22
"Dunn, Neal P.",,13,12,5,30
"Enzi, Michael B.",,4,1,,7
"Evans, Dwight",,31,14,12,57
"Fallon, Patrick",,33,56,,89
"Feinstein, Dianne",,,,,29
"Fleischmann, Charles J.",,39,35,,74
"Flores, Bill",,2,1,,3
"Foxx, Virginia",,128,11,1,140
"Frankel, Lois",1,145,36,109,291
"Franklin, Scott",1,3,10,2,16
"Gaetz, Matt",1,,2,,3
"Gallagher, Michael J.",,,37,1,38
"Garbarino, Andrew",,5,7,1,13
"Garcia, Mike",1,17,19,6,43
"Gianforte, Greg",,313,55,129,497
"Gibbs, Bob",,23,13,1,37
"Gonzalez, Anthony E.",,3,3,,6
"Gottheimer, Josh",2,391,163,335,891
"Graves, Garret",,5,4,,9
"Green, Mark",,438,112,1,551
"Greene, Marjorie T.",,74,14,,88
"Grijalva, Raúl M.",,2,2,,4
"Guest, Michael P.",,3,1,,4
"Hagedorn, James",,,1,,1
"Hagerty IV, William F.",1,9,10,8,28
"Hern, Kevin",18,320,21,1,360
