official,Exchange,Purchase,Sale (Full),Sale (Partial),total
"Alexander, Lamar",,36,21,2,59
"Barrasso, John A.",,,1,,1
"Bennet, Michael F.",1,5,1,1,8
"Blumenthal, Richard",,,,,50
"Blunt, Roy D.",,1,7,,10
"Booker, Cory A.",,,13,,13
"Boozman, John",,1,1,,46
"Burr, Richard M.",,,,,97
"Cantwell, Maria E.",,,,5,7
"Capito, Shelley M.",11,223,108,38,380
"Cardin, Benjamin L.",,5,10,,21
"Carper, Thomas R.",4,554,294,108,980
"Casey Jr., Robert P.",,,,1,1
"Cassidy, William",,66,45,55,166
"Cochran, Thad",,,,,22
"Collins, Susan M.",4,171,173,47,450
"Coons, Christopher A.",,2,4,23,30
"Cornyn, John",,1,1,,2
"Crapo, Michael D.",,1,,,1
"Cruz, Rafael E.",,3,2,5,13
"Daines, Steve",,,1,,1
"Duckworth, Ladda T.",1,1,19,1,22
"Enzi, Michael B.",,4,1,,7
"Feinstein, Dianne",,,,,29
"Hagerty IV, William F.",1,9,10,8,28
"Hickenlooper, John W.",1,7,10,3,21
"Hoeven, John",6,142,59,7,226
"Hollen, Chris V.",,,7,,7
"Inhofe, James M.",,85,87,57,230
"Johnson, Ron",,,2,,2
"Kaine, Timothy M.",2,,1,,3
"Kennedy, John N.",1,1,,,2
"King Jr., Angus S.",2,25,39,11,85
"Loeffler, Kelly",1,98,125,55,279
"Lummis, Cynthia M.",,2,,,2
"Manchin III, Joseph",,12,,,12
"Marshall, Roger W.",,,1,,1
"McConnell Jr., A. M.",,17,3,2,22
"Moran, Jerry",1,95,33,45,174
"Murray, Patty",,78,83,,161
"Paul, Rand",,1,,,1
"Perdue Jr., David A.",14,1269,259,1055,2597
"Peters, Gary C.",11,121,9,2,143
"Portman, Robert J.",,,9,,11
"Reed, Jack",,,,,1
"Reed, John F.",2,104,86,48,250
"Roberts, Pat",,284,157,17,477
"Rosen, Jacklyn S.",5,,1,,6
"Rounds, Mike",,9,1,,10
"Scott, Rick",4,143,22,,169
"Shaheen, Jeanne",,3,,,3
"Shelby, Richard C.",,,,,1
"Smith, Tina",,6,7,11,24
"Sullivan, Daniel S.",,6,4,17,27
"Thune, John R.",1,,,,1
"Tillis, Thomas R.",,,96,3,99
"Toomey, Patrick J.",12,83,45,58,206
"Tuberville, Thomas H.",,122,154,3,279
"Udall, Thomas S.",,,1,1,3
"Warner, Mark R.",,16,27,6,98
"Warren, Elizabeth",,,,,1
"Whitehouse, Sheldon",13,384,188,90,693
"Wicker, Roger F.",,2,5,1,8
"Wyden, Ronald L.",,221,38,2,262
