ticker,industry
MGA,Auto Parts
QLIK,Fund
BHI,Fund
PRA,Insurance—Property & Casualty
ATOAX,Fund
PII,Recreational Vehicles
BBT,Type
SCG,Fund
KEY,Banks—Regional
IWF,Fund
FL,Footwear & Accessories
DXCM,Diagnostics & Research
FIMKX,Fund
CEA,Airlines
DBP,Fund
SAFRY,Aerospace & Defense
WES,Oil & Gas Midstream
CYS,Fund
OTIS,Specialty Industrial Machinery
TRP,Oil & Gas Midstream
AMGN,Drug Manufacturers—General
GNTX,Auto Parts
PDM,REIT—Office
WDAY,Software—Application
ALL,Insurance—Property & Casualty
STT,Asset Management
AXP,Credit Services
YACKX,Fund
RAVN,Specialty Industrial Machinery
AZN,Drug Manufacturers—General
DRQ,Oil & Gas Equipment & Services
AAGIY,Insurance—Life
KMB,Household & Personal Products
MDT,Medical Devices
HON,Specialty Industrial Machinery
TMO,Diagnostics & Research
APO,Asset Management
CB,Insurance—Property & Casualty
PRAA,Credit Services
MMP,Oil & Gas Midstream
WOOF,Specialty Retail
ZM,Software—Application
IVV,Fund
TDY,Scientific & Technical Instruments
EPR,REIT—Retail
NGLS,Fund
SMECF,Specialty Industrial Machinery
ROP,Specialty Industrial Machinery
ROC,Fund
ET,Oil & Gas Midstream
LDP,Asset Management
EPD,Oil & Gas Midstream
SRE,Utilities—Diversified
SUN,Oil & Gas Refining & Marketing
AZO,Specialty Retail
THRM,Auto Parts
KN,Communication Equipment
CHK,Oil & Gas E&P
SWKS,Semiconductors
CZR,Resorts & Casinos
NWN,Utilities—Regulated Gas
BOIVF,Entertainment
NEE,Utilities—Regulated Electric
AHKSY,Chemicals
KORS,Fund
BABA,Internet Retail
ALGN,Medical Devices
LSCC,Semiconductors
WFC,Banks—Diversified
FLR,Engineering & Construction
MALOX,Fund
FRT,REIT—Retail
CHCO,Banks—Regional
WAB,Railroads
LUBFX,Fund
IBM,Information Technology Services
OSK,Farm & Heavy Construction Machinery
CAIFX,Fund
NPK,Aerospace & Defense
NXPI,Semiconductors
KSU,Railroads
TCAP,Fund
PSX,Oil & Gas Refining & Marketing
AIZ,Insurance—Specialty
TD,Banks—Diversified
BBY,Specialty Retail
DUK,Utilities—Regulated Electric
XEL,Utilities—Regulated Electric
ITC,Fund
CYBX,Fund
ENTG,Semiconductor Equipment & Materials
TRV,Insurance—Property & Casualty
ETP,Fund
SSB,Banks—Regional
GLD,Fund
CONE,REIT—Specialty
NVDA,Semiconductors
VVC,Fund
VMC,Building Materials
BTC,cryptocurrency
TER,Semiconductor Equipment & Materials
MDC,Residential Construction
TUMI,Fund
DECK,Footwear & Accessories
FOX,Broadcasting
SU,Oil & Gas Integrated
MKC,Packaged Foods
WW,Personal Services
GOOGL,Internet Content & Information
TROW,Asset Management
VIXY,Fund
SNAP,Internet Content & Information
FMER,Fund
PBH,Medical Distribution
GWW,Industrial Distribution
VRX,Fund
AEP,Utilities—Regulated Electric
FDS,Financial Data & Stock Exchanges
PX,Asset Management
APTV,Auto Parts
UNFI,Food Distribution
VIAC,Entertainment
KLAC,Semiconductor Equipment & Materials
LGF-B,Entertainment
XRT,Fund
MOS,Agricultural Inputs
EC,Oil & Gas Integrated
IYE,Closed-End Fund - Equity
SEIC,Asset Management
IWM,Fund
MTUM,Fund
CDK,Software—Application
ESS,REIT—Residential
FANG,Oil & Gas E&P
RYAAY,Airlines
WIW,Asset Management
CSX,Railroads
HNI,Business Equipment & Supplies
SIGI,Insurance—Property & Casualty
VTR,REIT—Healthcare Facilities
DTE,Utilities—Regulated Electric
PNM,Utilities—Regulated Electric
LL,Home Improvement Retail
SOJA,Fund
CHTR,Entertainment
IJH,Fund
TWTR,Internet Content & Information
FANUY,Specialty Industrial Machinery
PLUG,Electrical Equipment & Parts
RYT,Fund
HUN,Chemicals
WASCX,Fund
AAL,Airlines
RIO,Other Industrial Metals & Mining
NTI,Fund
AMAT,Semiconductor Equipment & Materials
CRM,Software—Application
PRE,Fund
ROLL,Tools & Accessories
BFAM,Personal Services
SBGI,Broadcasting
TXRH,Restaurants
PINS,Internet Content & Information
MU,Semiconductors
LGI,Asset Management
XSLV,Fund
FTV,Scientific & Technical Instruments
LYB,Specialty Chemicals
COH,Fund
PFE,Drug Manufacturers—General
ACT,Insurance—Specialty
RNWK,Electronic Gaming & Multimedia
XOM,Oil & Gas Integrated
DISCK,Entertainment
FFBC,Banks—Regional
ROKU,Entertainment
FB,Internet Content & Information
AM,Oil & Gas Midstream
LMACU,Shell Companies
WASH,Banks—Regional
VPMAX,Fund
MRAAY,Electronic Components
RYAM,Chemicals
FDN,Fund
JD,Internet Retail
NVO,Biotechnology
PKI,Diagnostics & Research
SNY,Drug Manufacturers—General
PTNQ,Fund
DPZ,Restaurants
SXT,Specialty Chemicals
AMT,REIT—Specialty
BGS,Packaged Foods
BKE,Apparel Retail
SGAPY,Telecom Services
SDOG,Fund
RRTS,Trucking
MDP,Publishing
STX,Computer Hardware
BLK,Asset Management
CVS,Healthcare Plans
TCS,Specialty Retail
ALLE,Security & Protection Services
FAST,Industrial Distribution
SIEGY,Specialty Industrial Machinery
BIDU,Internet Content & Information
CG,Asset Management
MSACX,Fund
GBIL,Fund
CTCT,Fund
ANCX,Fund
AMSG,Fund
TEVA,Drug Manufacturers—Specialty & Generic
PACW,Banks—Regional
MCHP,Semiconductors
DHI,Residential Construction
SO,Utilities—Regulated Electric
CAPL,Oil & Gas Refining & Marketing
HXL,Aerospace & Defense
VMIIX,Fund
CMO,REIT—Mortgage
APH,Electronic Components
NFLX,Entertainment
LYV,Entertainment
ROK,Specialty Industrial Machinery
TECH,Biotechnology
NDSN,Specialty Industrial Machinery
REGN,Biotechnology
GPK,Packaging & Containers
LBTYK,Entertainment
MS,Capital Markets
OAYIX,Fund
RDS-A,Oil & Gas Integrated
OHI,REIT—Healthcare Facilities
SMTC,Semiconductors
RHI,Staffing & Employment Services
VSAT,Communication Equipment
POT,Fund
BHF,Insurance—Life
MTB,Banks—Regional
ADBE,Software—Infrastructure
HSIC,Medical Distribution
SIVB,Banks—Regional
CRWD,Software—Infrastructure
KL,Gold
RF,Banks—Regional
SBUX,Restaurants
FNF,Insurance—Specialty
LVMUY,Luxury Goods
AFTEX,Fund
STZ,Beverages—Wineries & Distilleries
ANTM,Healthcare Plans
