	transaction_date	owner	ticker	asset_description	asset_type	type	amount	comment	senator	ptr_link	disclosure_date	disclosure_year	representative	district	cap_gains_over_200_usd
146	2021/12/21	Spouse	USB	U.S. Bancorp Common Stock	Stock	Sale (Partial)	$1,001 - $15,000	--	Jerry Moran,	https://efdsearch.senate.gov/search/view/ptr/a8e388bc-72c5-4227-b6f3-64b7bb779883/	2022/01/21				
151	2021/12/21	Spouse	BRK.B	Berkshire Hathaway Inc. New Common Stock	Stock	Sale (Partial)	$1,001 - $15,000	--	Jerry Moran,	https://efdsearch.senate.gov/search/view/ptr/a8e388bc-72c5-4227-b6f3-64b7bb779883/	2022/01/21				
152	2021/12/21	Spouse	BAC	Bank of America Corporation Common Stock	Stock	Sale (Partial)	$1,001 - $15,000	--	Jerry Moran,	https://efdsearch.senate.gov/search/view/ptr/a8e388bc-72c5-4227-b6f3-64b7bb779883/	2022/01/21				
160	2021/12/21	Spouse	BK	The Bank of New York Mellon Corporation Common Sto	Stock	Purchase	$1,001 - $15,000	--	Jerry Moran,	https://efdsearch.senate.gov/search/view/ptr/a8e388bc-72c5-4227-b6f3-64b7bb779883/	2022/01/21				
161	2021/12/21	Self	USB	U.S. Bancorp Common Stock	Stock	Sale (Partial)	$1,001 - $15,000	--	Jerry Moran,	https://efdsearch.senate.gov/search/view/ptr/a8e388bc-72c5-4227-b6f3-64b7bb779883/	2022/01/21				
169	2021/12/21	Self	BRK.B	Berkshire Hathaway Inc. New Common Stock	Stock	Sale (Partial)	$1,001 - $15,000	--	Jerry Moran,	https://efdsearch.senate.gov/search/view/ptr/a8e388bc-72c5-4227-b6f3-64b7bb779883/	2022/01/21				
170	2021/12/21	Self	BAC	Bank of America Corporation Common Stock	Stock	Sale (Partial)	$1,001 - $15,000	--	Jerry Moran,	https://efdsearch.senate.gov/search/view/ptr/a8e388bc-72c5-4227-b6f3-64b7bb779883/	2022/01/21				
180	2021/12/21	Self	BK	The Bank of New York Mellon Corporation Common Sto	Stock	Purchase	$1,001 - $15,000	--	Jerry Moran,	https://efdsearch.senate.gov/search/view/ptr/a8e388bc-72c5-4227-b6f3-64b7bb779883/	2022/01/21				
203	2021/12/29	Self	BKEP	Blueknight Energy Partners L.P., L.L.C. - Common U	Stock	Sale (Full)	$15,001 - $50,000	Asset held by Roundstone Ventures, LLC.	William F Hagerty, Iv	https://efdsearch.senate.gov/search/view/ptr/ef87390b-ab6c-433f-a852-838d02a1dd5a/	2022/01/10				
204	2021/12/29	Self	NS	Nustar Energy L.P. Common Units	Stock	Sale (Full)	$50,001 - $100,000	Asset held by Roundstone Ventures, LLC.	William F Hagerty, Iv	https://efdsearch.senate.gov/search/view/ptr/ef87390b-ab6c-433f-a852-838d02a1dd5a/	2022/01/10				
234	2021/11/22	Joint	OXY	"Occidental Petroleum Corporation Common Stock <div class=""text-muted"">Option Type: Short Sale <br><em>Strike price:</em> $29.00 <br> <em>Expires:</em> 06/17/2022 </div>"	Stock Option	Sale (Full)	$1,001 - $15,000	--	Thomas H Tuberville	https://efdsearch.senate.gov/search/view/ptr/149541b8-9421-4598-9709-0dc7caea0595/	2021/12/10				
237	2021/11/22	Joint	OXY	Occidental Petroleum Corporation Common Stock	Stock	Sale (Full)	$50,001 - $100,000	--	Thomas H Tuberville	https://efdsearch.senate.gov/search/view/ptr/149541b8-9421-4598-9709-0dc7caea0595/	2021/12/10				
265	2021/10/28	Self	CVX	Chevron Corporation Common Stock	Stock	Sale (Full)	$100,001 - $250,000	--	John W Hickenlooper	https://efdsearch.senate.gov/search/view/ptr/3b5e5f56-1328-473b-85bb-cf831243c8da/	2021/11/19				
356	2021/08/30	Joint	MCHP	Microchip Technology Incorporated - Common Stock	Stock	Sale (Full)	$15,001 - $50,000	Due to standing separation agreement with financial advisor, Senator first notified of activity 9/13/21 in compliance with Senate disclosure process.	Sheldon Whitehouse	https://efdsearch.senate.gov/search/view/ptr/2d59cb0c-ba0d-4d1d-af20-4aa1d70582d7/	2021/09/13				
366	2021/08/02	Joint	OXY	"Occidental Petroleum Corporation Common Stock <div class=""text-muted"">Option Type: Call <br><em>Strike price:</em> $31.00 <br> <em>Expires:</em> 02/18/2022 </div>"	Stock Option	Sale (Full)	$1,001 - $15,000	--	Thomas H Tuberville	https://efdsearch.senate.gov/search/view/ptr/d9700aee-b8d6-4eb3-bf67-676134edae39/	2021/09/08				
367	2021/08/02	Joint	OXY	"Occidental Petroleum Corporation Common Stock <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $25.00 <br> <em>Expires:</em> 02/18/2022 </div>"	Stock Option	Sale (Full)	$1,001 - $15,000	--	Thomas H Tuberville	https://efdsearch.senate.gov/search/view/ptr/d9700aee-b8d6-4eb3-bf67-676134edae39/	2021/09/08				
472	2021/02/16	Joint	OXY	"Occidental Petroleum Corporation <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $25.00 <br> <em>Expires:</em> 08/20/2021 </div>"	Stock Option	Sale (Full)	$1,001 - $15,000	--	Thomas H Tuberville	https://efdsearch.senate.gov/search/view/ptr/3bdd9340-7c8c-4ed0-898d-dad3835940d2/	2021/07/23				
473	2021/02/16	Joint	OXY	"Occidental Petroleum Corporation <div class=""text-muted"">Option Type: Call <br><em>Strike price:</em> $30.00 <br> <em>Expires:</em> 08/20/2021 </div>"	Stock Option	Sale (Full)	$1,001 - $15,000	--	Thomas H Tuberville	https://efdsearch.senate.gov/search/view/ptr/3bdd9340-7c8c-4ed0-898d-dad3835940d2/	2021/07/23				
474	2021/02/16	Joint	OXY	"Occidental Petroleum Corporation <div class=""text-muted"">Option Type: Call <br><em>Strike price:</em> $30.00 <br> <em>Expires:</em> 08/20/2021 </div>"	Stock Option	Sale (Full)	$1,001 - $15,000	--	Thomas H Tuberville	https://efdsearch.senate.gov/search/view/ptr/3bdd9340-7c8c-4ed0-898d-dad3835940d2/	2021/07/23				
475	2021/02/16	Joint	OXY	"Occidental Petroleum Corporation <div class=""text-muted"">Option Type: Call <br><em>Strike price:</em> $30.00 <br> <em>Expires:</em> 08/20/2021 </div>"	Stock Option	Sale (Full)	$1,001 - $15,000	--	Thomas H Tuberville	https://efdsearch.senate.gov/search/view/ptr/3bdd9340-7c8c-4ed0-898d-dad3835940d2/	2021/07/23				
476	2021/02/16	Joint	OXY	"Occidental Petroleum Corporation <div class=""text-muted"">Option Type: Call <br><em>Strike price:</em> $30.00 <br> <em>Expires:</em> 08/20/2021 </div>"	Stock Option	Sale (Full)	$1,001 - $15,000	--	Thomas H Tuberville	https://efdsearch.senate.gov/search/view/ptr/3bdd9340-7c8c-4ed0-898d-dad3835940d2/	2021/07/23				
477	2021/02/16	Joint	OXY	Occidental Petroleum Corporation	Stock	Purchase	$15,001 - $50,000	--	Thomas H Tuberville	https://efdsearch.senate.gov/search/view/ptr/3bdd9340-7c8c-4ed0-898d-dad3835940d2/	2021/07/23				
565	2021/04/07	Joint	OXY	"Occidental Petroleum Corporation <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $25.00 <br> <em>Expires:</em> 11/19/2021 </div>"	Stock Option	Sale (Full)	$1,001 - $15,000	--	Thomas H Tuberville	https://efdsearch.senate.gov/search/view/ptr/3bdd9340-7c8c-4ed0-898d-dad3835940d2/	2021/07/23				
566	2021/04/07	Joint	OXY	"Occidental Petroleum Corporation <div class=""text-muted"">Option Type: Call <br><em>Strike price:</em> $29.00 <br> <em>Expires:</em> 11/19/2021 </div>"	Stock Option	Sale (Full)	$1,001 - $15,000	--	Thomas H Tuberville	https://efdsearch.senate.gov/search/view/ptr/3bdd9340-7c8c-4ed0-898d-dad3835940d2/	2021/07/23				
