ticker,industry
TDXX,Fund
SEK,Confectioners
0QZI.IL,Internet Content & Information
35G.SG,Information Technology Services
3V64.TI,Credit Services
7XY,Drug Manufacturers—Specialty & Generic
A,Medical Diagnostics & Research
AA,Metals & Mining
AAGIY,Insurance—Life
AAIGF,Insurance—Life
AAL,Airlines
AAN,Consulting & Outsourcing
AAON,Building Materials
AAPL,Computer Hardware
AAPl,Consumer Electronics
AAT,REITs
AAVMY,Banks—Diversified
AAWW,Transportation & Logistics
AAl,Airlines
AB,Asset Management
ABALX,Fund
ABB,Industrial Products
ABBV,Drug Manufacturers
ABC,Medical Distribution
ABCB,Banks
ABCO,Diversified Services
ABEV,Beverages - Alcoholic
ABM,Business Services
ABMD,Medical Devices
ABNB,Travel Services
ABT,Medical Devices
ABYIX,Fund
ACA,Infrastructure Operations
ACAD,Biotechnology
ACB,Drug Manufacturers—Specialty & Generic
ACCYY,Lodging
ACE,Fund
ACGL,Insurance
ACHC,Health Care Providers
ACI,Grocery Stores
ACIW,Application Software
ACM,Engineering & Construction
ACN,Application Software
ACSAY,Engineering & Construction
ACSDX,Fund
ACST,Biotechnology
ACT,Insurance—Specialty
AD,Fund
ADA-USD,Cryptocurrency
ADBE,Application Software
ADC,REITs
ADDDYY,Footwear & Accessories
ADDYY,Footwear & Accessories
ADI,Semiconductors
ADM,Consumer Packaged Goods
ADP,Business Services
ADS,Credit Services
ADSK,Application Software
ADT,Consulting & Outsourcing
ADT.F,Security & Protection Services
ADTN,Communication Equipment
ADUS,Health Care Providers
ADYEY,Software—Infrastructure
AEE,Utilities - Regulated
AEG,Insurance
AEIS,Computer Hardware
AEP,Utilities - Regulated
AER,Transportation & Logistics
AESE,Entertainment
AET,Health Care Plans
AEX.MU,Fund
AFL,Insurance - Life
AFRM,Software—Infrastructure
AFSI,Insurance - Property & Casualty
AFTEX,Fund
AFTPY,Software—Infrastructure
AGCO,Farm & Construction Machinery
AGESY,Insurance—Diversified
AGN,Drug Manufacturers
AGO,Insurance - Specialty
AGR,Utilities - Regulated
AGU,Specialty Retail
AHCO,Medical Devices
AHEXY,Staffing & Employment Services
AHKSY,Chemicals
AHT,REITs
AI,Banks
AIG,Insurance
AIMC,Industrial Products
AIO,Fund
AIQUY,Specialty Chemicals
AIR,Aerospace & Defense
AIT,Industrial Distribution
AIV,REITs
AIVSX,Fund
AIZ,Insurance
AJG,Brokers & Exchanges
AJRD,Aerospace & Defense
AKAM,Application Software
AKRX,Drug Manufacturers
AL,Consulting & Outsourcing
ALB,Chemicals
ALC,Medical Instruments & Supplies
ALE,Utilities - Regulated
ALFVY,Specialty Industrial Machinery
ALFY,Credit Services
ALGM,Semiconductors
ALGN,Medical Devices
ALGT,Airlines
ALIZY,Insurance—Diversified
ALK,Airlines
ALL,Insurance - Property & Casualty
ALLE,Consulting & Outsourcing
ALLY,Banks
ALNY,Biotechnology
ALPMY,Drug Manufacturers—General
ALTR,Application Software
ALV,Autos
ALXN,Biotechnology
ALb,Specialty Chemicals
AM,Oil & Gas - Midstream
AMADY,Information Technology Services
AMAT,Semiconductors
AMBA,Semiconductors
AMCX,Entertainment
AMD,Semiconductors
AME,Industrial Products
AMED,Health Care Providers
AMG,Asset Management
AMGN,Biotechnology
AMH,REITs
AMJ,Fund
AMKBY,Marine Shipping
AMLP,Fund
AMN,Health Care Providers
AMP,Asset Management
AMRC,Engineering & Construction
AMSG,Computer Software & Services
AMT,Communication Services
AMTD,Brokers & Exchanges
AMTX,Chemicals
AMWD,Manufacturing - Apparel & Furniture
AMZA,Fund
AMZN,Retail - Apparel & Specialty
ANCX,Banks
ANDX,Oil & Gas - Midstream
ANET,Computer Hardware
ANIK,Biotechnology
ANSS,Application Software
ANTM,Health Care Plans
ANWPX,Fund
ANY,Application Software
ANZBY,Banks—Diversified
AOBC,Aerospace & Defense
AON,Brokers & Exchanges
AOS,Industrial Products
AOSL,Semiconductors
APA,Oil & Gas - E&P
APAM,Asset Management
APC,Oil & Gas - E&P
APCD,Specialty Chemicals
APD,Chemicals
APEN,Medical Devices
APH,Computer Hardware
APHA,Drug Manufacturers - Specialty & Generic
APLE,REITs
APNHY,Drug Manufacturers—Specialty & Generic
APO,Asset Management
APPAD,Biotechnology
APPL,Fund
APTV,Autos
AQB,Biotechnology
AQFH,Banks - Regional
AQN,Utilities - Independent Power Producers
AQUA,Industrial Products
AR,Oil & Gas - E&P
ARCB,Transportation & Logistics
ARCC,Asset Management
ARE,REITs
ARI,REITs
ARKG,Fund
ARKK,Fund
ARMK,Restaurants
ARNA,Biotechnology
ARNC,Industrial Products
AROC,Oil & Gas - Services
AROW,Banks
ARR,REITs
ARW,Computer Hardware
ASGN,Employment Services
ASIX,Chemicals
ASMB,Biotechnology
ASML,Semiconductors
ASXC,Medical Devices
ATASY,Infrastructure Operations
ATH,Insurance
ATHM,Online Media
ATLKY,Specialty Industrial Machinery
ATML,Electronics
ATO,Utilities - Regulated
ATOAX,Fund
ATRC,Medical Instruments & Equipment
ATRO,Aerospace & Defense
ATVI,Application Software
AUY,Metals & Mining
AVB,REITs
AVGO,Semiconductors
AVLR,Software—Application
AVNS,Medical Devices
AVNT,Specialty Chemicals
AVP,Consumer Packaged Goods
AVT,Computer Hardware
AVTR,Specialty Chemicals
AVVIY,Insurance—Diversified
AVY,Industrial Products
AVYA,Business Services
AWI,Building Materials
AWK,Utilities - Regulated
AX,Banks—Regional
AXAHY,Insurance—Diversified
AXGN,Medical Devices
AXLL,Chemicals
AXP,Credit Services
AXS,Insurance - Property & Casualty
