state	house	senate	input
California	100.09		96.18
District of Columbia	38305.02		38305.02
Kentucky	882.38	6243.36	771.43
South Carolina	653.45		560.1
Connecticut	1109.13		862.66
Virginia	388.52	39855.65	404.9
New Mexico		1674.0	608.73
Arizona	372.0		318.86
Arkansas	1885.21	2232.0	1296.12
South Dakota		30984.16	15492.08
Louisiana	478.29	1704.7	400.74
Nevada	673.07	1727.18	518.99
Vermont	8591.16		2863.72
Kansas	669.6	4229.1	1020.61
Georgia	418.16	2097.82	377.57
Florida	154.28	162647.48	245.39
New York	280.39		275.29
Washington	4983.99	3348.0	1249.96
Utah	816.95		565.58
North Carolina	401.31	2301.9	326.52
North Dakota		21222.33	14148.22
Maine	56150.16	3568.47	1578.92
Alaska		6393.97	4795.48
Massachusetts	475.89		380.71
Texas	429.03	12088.9	417.29
Alabama	870.95	2242.16	652.7
Missouri	4503.98	6636.02	3071.05
Hawaii	3836.69		2557.79
Wisconsin	608.64	508794.35	690.29
Delaware		4474.06	2237.03
Wyoming		5951.97	4463.98
Illinois	414.05	2564.26	376.92
New Jersey	431.05	2862.95	365.48
Michigan	398.07	2945.98	337.01
West Virginia	1782.98	2429.78	1032.74
Montana	5058.15	7703.75	3162.6
Tennessee	2396.08	13282.8	2075.62
Indiana	1087.08		931.79
Ohio	506.76	58469.58	571.62
Rhode Island	4080.25	4446.9	1870.05
Mississippi	2394.07	3956.39	1405.4
New Hampshire		10898.94	4087.1
Colorado	927.17	21398.41	1016.83
Oklahoma	2079.18	14486.39	2257.11
Maryland	9301.72	4834.98	2109.46
Pennsylvania	298.01	6624.38	326.15
Idaho	2798.39	36788.0	1814.38
Minnesota	454.28	26077.58	428.07
Iowa	603.82		478.77
Oregon	1362.69	14835.82	1661.29
