official,average_size_of_transactions
"Raskin, Jamie","36,787,944"
"Matsui, Doris O.","2,208,923"
"Johnson, Ron","1,526,383"
"Pelosi, Nancy","558,256"
"Scott, Rick","487,942"
"Peters, Scott H.","359,739"
"Schneider, Bradley S.","359,331"
"Waltz, Michael","313,084"
"Pingree, Chellie","224,600"
"Bennet, Michael F.","194,779"
"Wagner, Ann","179,838"
"Cox, TJ J.","169,410"
"Moulton, Seth","169,410"
"Warner, Mark R.","134,027"
"Portman, Robert J.","116,939"
"Rounds, Mike","103,803"
"Buchanan, Vern","101,744"
"Spartz, Victoria","97,796"
"DelBene, Suzan K.","92,633"
"Maloney, Carolyn B.","88,604"
"Hoeven, John","84,889"
"Trone, David","84,016"
"Smith, Tina","78,232"
"Barrasso, John A.","73,576"
"Crapo, Michael D.","73,576"
"Krishnamoorthi, S. R.","73,576"
"Diaz-Balart, Mario","73,576"
"Carter, Earl L.","71,638"
"Loeffler, Kelly","64,906"
"Hollingsworth, Trey","63,740"
"Hickenlooper, John W.","62,575"
"Alexander, Lamar","57,349"
"Jacobs, Sara","51,906"
"Green, Mark","49,962"
"Schrier, Kim","49,662"
"Luria, Elaine","49,631"
"Coons, Christopher A.","48,725"
"Franklin, Scott","48,096"
"Hagerty IV, William F.","45,231"
"Flores, Bill","43,701"
"Inhofe, James M.","43,459"
"Kelly, Mike","41,996"
"Gaetz, Matt","41,186"
"Norton, Eleanor H.","38,305"
"Long, Billy","37,480"
"Cruz, Rafael E.","37,467"
"McCaul, Michael T.","37,264"
"Suozzi, Thomas","35,118"
"Rouda, Harley E.","32,981"
"Conaway, K. M.","32,929"
"Gonzalez, Anthony E.","32,895"
"Shaheen, Jeanne","32,696"
"Thune, John R.","30,815"
"Daines, Steve","30,815"
"Cornyn, John","30,815"
"Higgins, Brian","30,815"
"Chu, Judy","30,815"
"McHenry, Patrick T.","30,815"
"Massie, Thomas","30,815"
"Wyden, Ronald L.","29,671"
"Taylor, Nicholas V.","28,071"
"Bustos, Cheri","26,452"
"Marchant, Kenny","26,163"
"Gianforte, Greg","25,290"
"Ross, Deborah K.","23,717"
"Fallon, Patrick","23,471"
"Case, Ed","23,020"
"Hern, Kevin","22,949"
"Mast, Brian","22,811"
"Lummis, Cynthia M.","22,196"
"Garcia, Mike","21,279"
"Dunn, Neal P.","21,010"
"Smucker, Lloyd K.","20,321"
"Dingell, Debbie","20,085"
"Miller, Carol D.","19,922"
"Blunt, Roy D.","19,908"
"Sullivan, Daniel S.","19,181"
"Upton, Fred","18,571"
"Kaine, Timothy M.","18,525"
"Allen, Richard W.","17,659"
"Cardin, Benjamin L.","16,973"
"Joyce, David P.","16,153"
"Roberts, Pat","15,685"
"Davis, Susan A.","15,635"
"Kustoff, David","15,635"
"Arenholz, Ashley H.","15,280"
"Visclosky, Peter J.","14,364"
"Guest, Michael P.","14,364"
"Schiff, Adam B.","14,364"
"Kennedy, Joseph P.","14,364"
"Rooney, Francis","13,491"
"Toomey, Patrick J.","13,294"
"Hill, James F.","13,196"
"Newman, Marie","13,029"
"Blumenauer, Earl","12,983"
"McConnell Jr., A. M.","12,845"
"Jacobs, Christopher L.","12,813"
"Enzi, Michael B.","12,330"
"Lamborn, Doug","12,296"
"Langevin, James R.","12,240"
"Wicker, Roger F.","11,869"
"Foxx, Virginia","11,499"
"Booker, Cory A.","11,451"
"Meijer, Peter","11,449"
"King Jr., Angus S.","11,339"
"Tuberville, Thomas H.","11,210"
"Malinowski, Tom","11,172"
"Brooks, Mo","11,137"
"Pascrell, Bill","11,137"
"Amash, Justin","11,137"
"Holding, George","10,710"
"Collins, Susan M.","10,586"
"Perdue Jr., David A.","10,553"
"Khanna, Rohit","10,397"
"Hollen, Chris V.","10,356"
"Sessions, Pete","10,205"
"Rice, Tom","10,153"
"Keating, William R.","10,044"
"Whitehouse, Sheldon","9,749"
"Gottheimer, Josh","9,576"
"Gibbs, Bob","9,314"
"Manchin III, Joseph","9,285"
"Beyer, Donald S.","9,097"
"Pallone, Frank","9,086"
"McKinley, David B.","8,967"
"Manning, Kathy","8,871"
"Peters, Gary C.","8,837"
"Scott, Austin","8,724"
"Rosen, Jacklyn S.","8,635"
"Connolly, Gerald E.","8,635"
"Steube, William G.","8,635"
"Welch, Peter","8,591"
"Gallagher, Michael J.","8,521"
"Carper, Thomas R.","8,501"
"Simpson, Michael K.","8,395"
"Larson, John B.","8,381"
"Castor, Kathy","8,375"
"Jeffries, Hakeem S.","8,327"
"Cisneros, Gilbert","8,103"
"Schrader, Kurt","8,098"
"Fleischmann, Charles J.","8,085"
"Greene, Marjorie T.","8,051"
"Scott, Robert C.","8,013"
"Morelle, Joseph D.","8,013"
"Burgess, Michael C.","7,933"
"Sherrill, Mikie","7,897"
"Yarmuth, John A.","7,891"
"Rogers, Harold D.","7,800"
"Phillips, Dean","7,724"
"Duckworth, Ladda T.","7,692"
"Comer, James","7,692"
"Rouzer, David C.","7,692"
"Courtney, Joe","7,640"
"Curtis, John","7,596"
"Banks, James E.","7,530"
"Brooks, Susan W.","7,467"
"Cohen, Steve","7,467"
"Marshall, Roger W.","7,440"
"Evans, Dwight","7,367"
"Capito, Shelley M.","7,233"
"Crenshaw, Daniel","7,227"
"Shalala, Donna","7,123"
"Moran, Jerry","7,120"
"Moore, Blake","6,991"
"Rutherford, John","6,912"
"Tillis, Thomas R.","6,905"
"Wittman, Robert J.","6,887"
"Clark, Katherine M.","6,871"
"Reed, John F.","6,868"
"Cassidy, William","6,820"
"Lofgren, Zoe","6,751"
"Lee, Susie","6,730"
"Paul, Rand","6,696"
"Boozman, John","6,696"
"Kennedy, John N.","6,696"
"Udall, Thomas S.","6,696"
"Casey Jr., Robert P.","6,696"
"Murray, Patty","6,696"
"Cantwell, Maria E.","6,696"
"McEachin, Aston D.","6,696"
"Frankel, Lois","6,696"
"Grijalva, Raúl M.","6,696"
"Doggett, Lloyd","6,696"
"Maloney, Sean P.","6,696"
"Meng, Grace","6,696"
"Pfluger, August L.","6,696"
"Axne, Cynthia","6,696"
"Perlmutter, Ed","6,696"
"Schultz, Debbie W.","6,696"
"Garbarino, Andrew","6,696"
"Clay Jr., William L.","6,696"
"Bilirakis, Gus M.","6,696"
"Buck, Kenneth R.","6,696"
"Cawthorn, David M.","6,696"
"Trahan, Lori","6,696"
"Graves, Garret","6,696"
"Latta, Robert E.","6,696"
"O'Halleran, Tom","6,696"
"Roe, David P.","6,696"
"Kinzinger, Adam","6,696"
"Timmons, William R.","6,696"
"Meuser, Daniel","6,696"
"Huizenga, Bill","6,696"
"Spanberger, Abigail","6,696"
"Moore, Felix B.","6,696"
"Bucshon, Larry","6,696"
"Chabot, Steve","6,696"
"Burchett, Tim","6,696"
"Newhouse, Dan","6,696"
"Bice, Stephanie","6,696"
"Hagedorn, James","6,696"
"Price, David E.","6,110"
"Sanchez, Linda T.","3,750"
"Lowenthal, Alan S.","2,609"
