official,average_size_of_transactions
"Matsui, Doris O.","13,303,105"
"Pelosi, Nancy","498,092"
"Peters, Scott H.","460,313"
"Wagner, Ann","179,838"
"Moulton, Seth","169,410"
"Pingree, Chellie","169,410"
"Schrier, Kim","121,922"
"Cohen, Steve","73,576"
"Trone, David","73,576"
"Rouda, Harley E.","70,190"
"Maloney, Carolyn B.","68,117"
"Hollingsworth, Trey","65,706"
"Spartz, Victoria","60,228"
"DelBene, Suzan K.","56,883"
"Fallon, Patrick","56,806"
"Buchanan, Vern","55,048"
"Kelly, Mike","54,999"
"Norton, Eleanor H.","47,615"
"Jacobs, Sara","47,185"
"Suozzi, Thomas","45,598"
"Gonzalez, Anthony E.","43,701"
"Green, Mark","37,999"
"McCaul, Michael T.","34,152"
"Case, Ed","32,509"
"Higgins, Brian","30,815"
"Waltz, Michael","30,815"
"Bustos, Cheri","30,815"
"Upton, Fred","29,490"
"Conaway, K. M.","29,407"
"Jacobs, Christopher L.","27,316"
"Miller, Carol D.","27,134"
"Marchant, Kenny","26,452"
"Luria, Elaine","25,455"
"Ross, Deborah K.","25,350"
"Carter, Earl L.","24,777"
"Flores, Bill","22,196"
"Gianforte, Greg","21,637"
"Hern, Kevin","19,974"
"Mast, Brian","19,920"
"Garcia, Mike","19,668"
"Guest, Michael P.","18,525"
"Arenholz, Ashley H.","18,230"
"Allen, Richard W.","17,610"
"Dingell, Debbie","16,733"
"Joyce, David P.","16,442"
"Davis, Susan A.","15,233"
"Franklin, Scott","14,886"
"Hill, James F.","14,364"
"Rice, Tom","14,364"
"Rooney, Francis","14,175"
"Sherrill, Mikie","13,126"
"Brooks, Mo","13,057"
"Newman, Marie","13,033"
"Blumenauer, Earl","12,095"
"Lamborn, Doug","11,947"
"Kustoff, David","11,137"
"Amash, Justin","11,137"
"Langevin, James R.","11,009"
"Malinowski, Tom","10,810"
"Gottheimer, Josh","10,255"
"Keating, William R.","10,246"
"Khanna, Rohit","9,936"
"Foxx, Virginia","9,923"
"Jeffries, Hakeem S.","9,807"
"Manning, Kathy","9,439"
"Sessions, Pete","9,199"
"Steube, William G.","9,086"
"Meijer, Peter","9,063"
"Comer, James","8,635"
"Beyer, Donald S.","8,589"
"Simpson, Michael K.","8,327"
"Fleischmann, Charles J.","8,327"
"Cisneros, Gilbert","8,178"
"Gibbs, Bob","8,171"
"Scott, Austin","8,103"
"Dunn, Neal P.","8,051"
"Castor, Kathy","8,029"
"Schrader, Kurt","8,017"
"Rogers, Harold D.","7,800"
"Courtney, Joe","7,787"
"McKinley, David B.","7,581"
"Greene, Marjorie T.","7,519"
"Banks, James E.","7,467"
"Phillips, Dean","7,400"
"Rutherford, John","7,227"
"Curtis, John","7,117"
"Moore, Blake","6,876"
"Lofgren, Zoe","6,793"
"Shalala, Donna","6,755"
"McEachin, Aston D.","6,696"
"Lee, Susie","6,696"
"Wittman, Robert J.","6,696"
"Frankel, Lois","6,696"
"Grijalva, Raúl M.","6,696"
"Clark, Katherine M.","6,696"
"Doggett, Lloyd","6,696"
"Price, David E.","6,696"
"Welch, Peter","6,696"
"Pfluger, August L.","6,696"
"Yarmuth, John A.","6,696"
"Axne, Cynthia","6,696"
"Crenshaw, Daniel","6,696"
"Evans, Dwight","6,696"
"Perlmutter, Ed","6,696"
"Schultz, Debbie W.","6,696"
"Garbarino, Andrew","6,696"
"Marshall, Roger W.","6,696"
"Latta, Robert E.","6,696"
"Roe, David P.","6,696"
"Rouzer, David C.","6,696"
"Kinzinger, Adam","6,696"
"Timmons, William R.","6,696"
"Huizenga, Bill","6,696"
"Brooks, Susan W.","6,696"
"Connolly, Gerald E.","6,696"
"Spanberger, Abigail","6,696"
"Graves, Garret","6,696"
"Moore, Felix B.","6,696"
"Bucshon, Larry","6,696"
"Burgess, Michael C.","6,696"
"Lowenthal, Alan S.","3,024"
