official,average_size_of_transactions
"Scott, Rick","488,349"
"Warner, Mark R.","232,220"
"Bennet, Michael F.","139,067"
"Hoeven, John","85,128"
"Crapo, Michael D.","73,576"
"Rounds, Mike","60,313"
"Loeffler, Kelly","55,480"
"Cruz, Rafael E.","55,048"
"Alexander, Lamar","53,221"
"Inhofe, James M.","43,822"
"Cardin, Benjamin L.","36,673"
"Hagerty IV, William F.","35,927"
"Shaheen, Jeanne","32,696"
"Smith, Tina","31,934"
"Cornyn, John","30,815"
"Wyden, Ronald L.","29,703"
"Lummis, Cynthia M.","22,196"
"King Jr., Angus S.","16,733"
"Collins, Susan M.","14,852"
"Hickenlooper, John W.","14,585"
"Enzi, Michael B.","14,364"
"Roberts, Pat","13,501"
"Tuberville, Thomas H.","12,335"
"Toomey, Patrick J.","11,966"
"Sullivan, Daniel S.","9,983"
"Perdue Jr., David A.","9,950"
"Manchin III, Joseph","9,285"
"Peters, Gary C.","8,509"
"Carper, Thomas R.","8,142"
"Whitehouse, Sheldon","7,944"
"Moran, Jerry","7,140"
"Capito, Shelley M.","6,887"
"McConnell Jr., A. M.","6,696"
"Blunt, Roy D.","6,696"
"Paul, Rand","6,696"
"Boozman, John","6,696"
"Cassidy, William","6,696"
"Wicker, Roger F.","6,696"
"Kennedy, John N.","6,696"
"Coons, Christopher A.","6,696"
"Reed, John F.","6,696"
"Duckworth, Ladda T.","6,696"
"Murray, Patty","6,696"
