amount,Democratic,Libertarian,Republican,sort_key
"$1,001 -",236,,6,1001
"$1,001 - $15,000",6789,2,2443,15000
"$1,000 - $15,000",,,4,15000
"$15,001 - $50,000",804,1,1229,50000
"$15,000 - $50,000",,,3,50000
"$50,001 - $100,000",198,,466,100000
"$100,001 - $250,000",123,,386,250000
"$250,001 - $500,000",91,,106,500000
"$500,001 - $1,000,000",89,,37,1000000
"$1,000,000 +",27,,1,1000001
"$1,000,001 - $5,000,000",26,,5,5000000
"$5,000,001 - $25,000,000",7,,1,25000000
"$50,000,000 +",,,2,50000001
