amount,Democratic,Independent,Libertarian,Republican,sort_key
Unknown,189,8,0,267,-1
"$1,001 -",235,0,0,6,1001
"$1,001 - $15,000",8826,51,2,6245,15000
"$15,001 - $50,000",1310,25,1,2313,50000
"$50,001 - $100,000",290,1,0,914,100000
"$100,001 - $250,000",157,0,0,674,250000
"$250,001 - $500,000",119,0,0,213,500000
"$500,001 - $1,000,000",100,0,0,130,1000000
"$1,000,001 - $5,000,000",41,0,0,24,5000000
"$5,000,001 - $25,000,000",15,0,0,12,25000000
"$25,000,001 - $50,000,000",8,0,0,1,50000000
"$50,000,000 - $100,000,000",4,0,0,2,100000000
