amount,female,male,sort_key
"$1,001 -",0.175,2.0,1001
"$1,001 - $15,000",70.15,55.41025641025641,15000
"$15,001 - $50,000",8.65,14.555555555555555,50000
"$50,001 - $100,000",1.9,5.042735042735043,100000
"$100,001 - $250,000",1.375,3.8803418803418803,250000
"$250,001 - $500,000",1.325,1.2478632478632479,500000
"$500,001 - $1,000,000",1.225,0.6495726495726496,1000000
"$1,000,001 - $5,000,000",0.4,0.17094017094017094,5000000
"$5,000,001 - $25,000,000",0.2,0.05128205128205128,25000000
"$25,000,001 - $50,000,000",0.075,0.05128205128205128,50000000
"$50,000,000 - $100,000,000",0.025,0.042735042735042736,100000000
