amount,female,male,sort_key
Unknown,1.6730769230769231,2.25,-1
"$1,001 -",0.1346153846153846,1.3988095238095237,1001
"$1,001 - $15,000",71.15384615384616,68.00595238095238,15000
"$15,001 - $50,000",10.307692307692308,18.535714285714285,50000
"$50,001 - $100,000",2.6346153846153846,6.363095238095238,100000
"$100,001 - $250,000",2.8846153846153846,4.059523809523809,250000
"$250,001 - $500,000",1.4615384615384615,1.5297619047619047,500000
"$500,001 - $1,000,000",0.9615384615384616,1.0773809523809523,1000000
"$1,000,001 - $5,000,000",0.38461538461538464,0.25595238095238093,5000000
"$5,000,001 - $25,000,000",0.21153846153846154,0.08333333333333333,25000000
"$25,000,001 - $50,000,000",0.11538461538461539,0.041666666666666664,50000000
"$50,000,000 - $100,000,000",0.09615384615384616,0.02976190476190476,100000000
