amount,female,male,sort_key
Unknown,7.25,7.392156862745098,-1
"$1,001 - $15,000",74.33333333333333,96.90196078431373,15000
"$15,001 - $50,000",15.75,27.647058823529413,50000
"$50,001 - $100,000",5.083333333333333,9.352941176470589,100000
"$100,001 - $250,000",7.916666666666667,4.431372549019608,250000
"$250,001 - $500,000",1.9166666666666667,2.1372549019607843,500000
"$500,001 - $1,000,000",0,2.0392156862745097,1000000
"$1,000,001 - $5,000,000",0.3333333333333333,0.43137254901960786,5000000
"$5,000,001 - $25,000,000",0.4166666666666667,0.11764705882352941,25000000
"$25,000,001 - $50,000,000",0.08333333333333333,0,50000000
"$50,000,000 - $100,000,000",0,0.0,100000000
