amount,"$1,000 - $15,000","$1,000,000 +","$1,000,001 - $5,000,000","$1,001 -","$1,001 - $15,000","$100,001 - $250,000","$15,000 - $50,000","$15,001 - $50,000","$250,001 - $500,000","$5,000,001 - $25,000,000","$50,000,000 +","$50,001 - $100,000","$500,001 - $1,000,000"
"Allen, Richard W.",,,,,15,,,21,,,,2,
"Amash, Justin",,,,,2,,,1,,,,,
"Arenholz, Ashley H.",,1,,,11,,,1,1,,,,
"Axne, Cynthia",,,,,174,,,,,,,,
"Banks, James E.",,,,,48,,,4,,,,,
"Beyer, Donald S.",,,2,,561,2,,79,1,,,24,1
"Bice, Stephanie",,,,,1,,,,,,,,
"Bilirakis, Gus M.",,,,,4,,,,,,,,
"Blumenauer, Earl",,,,,87,,,41,3,,,7,
"Brooks, Mo",,,,,28,,,14,,,,,
"Brooks, Susan W.",,,,,13,,,1,,,,,
"Buchanan, Vern",,,,,,17,,4,,,,12,
"Buck, Kenneth R.",,,,,1,,,,,,,,
"Bucshon, Larry",,,,,1,,,,,,,,
"Burchett, Tim",,,,,1,,,,,,,,
"Burgess, Michael C.",,,,,8,,,1,,,,,
"Bustos, Cheri",,,,,1,,,9,,,,,
"Carter, Earl L.",,,,,1,,,5,1,,,,
"Case, Ed",,,,,4,,,1,,,,4,
"Castor, Kathy",,,,,33,,,4,,,,1,
"Cawthorn, David M.",,,,,1,,,,,,,,
"Chabot, Steve",,,,,2,,,,,,,,
"Chu, Judy",,,,,,,,1,,,,,
"Cisneros, Gilbert",,,,,703,3,,65,3,,,6,3
"Clark, Katherine M.",,,,,240,1,,2,,,,,
"Clay Jr., William L.",,,,,2,,,,,,,,
"Cohen, Steve",,,,,47,,,2,,,,1,
"Comer, James",,,,,10,,,1,,,,,
"Conaway, K. M.",,,,,40,13,,124,,,,63,
"Connolly, Gerald E.",,,,,15,,,3,,,,,
"Courtney, Joe",,,,,148,,,14,,,,,
"Cox, TJ J.",,,,,,1,,,,,,,
"Crenshaw, Daniel",,,,,19,,,1,,,,,
"Curtis, John",,,,,158,,,11,,,,2,
"Davis, Susan A.",,,,,8,,,10,,,,,
"DelBene, Suzan K.",,,2,,24,5,,36,21,5,,11,20
"Diaz-Balart, Mario",,,,,,,,,,,,1,
"Dingell, Debbie",,,,,9,,,14,,,,3,
"Doggett, Lloyd",,,,,44,,,,,,,,
"Dunn, Neal P.",,,,,17,2,,2,2,,,7,
"Evans, Dwight",,,,,54,,,2,,,,1,
"Fallon, Patrick",,,,,51,26,,3,2,,,5,
"Fleischmann, Charles J.",,,,,66,,,6,,,,2,
"Flores, Bill",,,,,1,1,,,,,,1,
"Foxx, Virginia",,,,,100,4,,27,,,,9,
"Frankel, Lois",,,,,291,,,,,,,,
"Franklin, Scott",4,,2,,4,1,3,,,,1,1,
"Gaetz, Matt",,,,,,,,2,,,,1,
"Gallagher, Michael J.",,,,,32,,,6,,,,,
"Garbarino, Andrew",,,,,13,,,,,,,,
"Garcia, Mike",,,,,11,,,31,,,,1,
"Gianforte, Greg",,,,,174,52,,195,5,,,69,2
"Gibbs, Bob",,,,,29,,,8,,,,,
"Gonzalez, Anthony E.",,,,,2,1,,1,,,,2,
"Gottheimer, Josh",,,9,,788,18,,29,10,2,,25,10
"Graves, Garret",,,,,9,,,,,,,,
"Green, Mark",,,2,,121,112,,162,47,,,89,18
"Greene, Marjorie T.",,,,,79,,,8,1,,,,
"Grijalva, Raúl M.",,,,,4,,,,,,,,
"Guest, Michael P.",,,,,2,,,2,,,,,
"Hagedorn, James",,,,,1,,,,,,,,
"Hern, Kevin",,,1,,203,46,,34,24,,1,47,4
"Higgins, Brian",,,,,,,,3,,,,,
"Hill, James F.",,,,,5,,,4,,,,,
"Holding, George",,,,,9,,,4,,,,,
"Hollingsworth, Trey",,,,,1,12,,16,,,,15,
"Huizenga, Bill",,,,,1,,,,,,,,
"Jacobs, Christopher L.",,,,,54,,,24,,,,8,
"Jacobs, Sara",,,,,1,12,,34,,,,16,
"Jeffries, Hakeem S.",,,,,6,,,1,,,,,
"Joyce, David P.",,,,,24,1,,15,,,,6,
"Keating, William R.",,,,,47,,,17,,,,,
"Kelly, Mike",,,,,5,6,,1,,,,2,
"Kennedy, Joseph P.",,,,,1,,,1,,,,,
"Khanna, Rohit",,2,,,230,3,,53,2,,,7,
"Kinzinger, Adam",,,,,24,,,,,,,,
"Krishnamoorthi, S. R.",,,,,,,,,,,,1,
"Kustoff, David",,,,,4,,,5,,,,,
"Lamborn, Doug",,,,,65,,,43,,,,,
"Langevin, James R.",,,,,127,14,,14,,,,15,
"Larson, John B.",,,,,29,,,5,,,,,
"Latta, Robert E.",,,,,1,,,,,,,,
"Lee, Susie",,,,1,615,,,4,,,,,
"Lofgren, Zoe",,,,,183,,,1,,,,,
"Long, Billy",,,,,2,1,,19,1,,,5,
"Lowenthal, Alan S.",,,,227,287,,,69,,,,1,
