amount,"$1,000,001 - $5,000,000","$1,001 - $15,000","$100,001 - $250,000","$15,001 - $50,000","$25,000,001 - $50,000,000","$250,001 - $500,000","$5,000,001 - $25,000,000","$50,001 - $100,000","$500,001 - $1,000,000","Over $50,000,000"
"Alexander, Lamar",1,,1,31,,2,,22,2,
"Barrasso, John A.",,,,,,,,1,,
"Bennet, Michael F.",,1,2,,,1,,1,3,
"Blumenthal, Richard",,,,,,,,,,
"Blunt, Roy D.",,4,,1,,,,3,,
"Booker, Cory A.",,9,,3,,,,1,,
"Boozman, John",,2,,,,,,,,
"Burr, Richard M.",,,,,,,,,,
"Cantwell, Maria E.",,5,,,,,,,,
"Capito, Shelley M.",,363,2,15,,,,,,
"Cardin, Benjamin L.",,7,,6,,,,2,,
"Carper, Thomas R.",,811,,147,,,,2,,
"Casey Jr., Robert P.",,1,,,,,,,,
"Cassidy, William",,164,,2,,,,,,
"Cochran, Thad",,,,,,,,,,
"Collins, Susan M.",,296,1,80,2,,,16,,
"Coons, Christopher A.",,13,4,,,7,,3,2,
"Cornyn, John",,,,2,,,,,,
"Crapo, Michael D.",,,,,,,,1,,
"Cruz, Rafael E.",,1,,5,,,,4,,
"Daines, Steve",,,,1,,,,,,
"Duckworth, Ladda T.",,20,,2,,,,,,
"Enzi, Michael B.",,3,,2,,,,,,
"Feinstein, Dianne",,,,,,,,,,
"Hagerty IV, William F.",1,7,2,8,,3,,7,,
"Hickenlooper, John W.",,6,3,4,,6,,1,1,
"Hoeven, John",,9,66,28,,4,2,103,2,
"Hollen, Chris V.",,5,,2,,,,,,
"Inhofe, James M.",,24,9,89,,,,106,,1
"Johnson, Ron",,,1,,,,1,,,
"Kaine, Timothy M.",,1,,2,,,,,,
"Kennedy, John N.",,2,,,,,,,,
"King Jr., Angus S.",,51,,25,,,,1,,
"Loeffler, Kelly",4,42,84,85,,18,5,41,,
"Lummis, Cynthia M.",,1,,,,,,1,,
"Manchin III, Joseph",,10,,1,,,,1,,
"Marshall, Roger W.",,,,,,1,,,,
"McConnell Jr., A. M.",,17,,1,,2,,2,,
"Moran, Jerry",,167,,7,,,,,,
"Murray, Patty",,161,,,,,,,,
"Paul, Rand",,1,,,,,,,,
"Perdue Jr., David A.",3,2010,62,419,,29,,61,13,
"Peters, Gary C.",,117,,26,,,,,,
"Portman, Robert J.",,,5,,,,,4,,
"Reed, Jack",,,,,,,,,,
"Reed, John F.",,236,,4,,,,,,
"Roberts, Pat",,240,10,162,,,,46,,
"Rosen, Jacklyn S.",,5,,1,,,,,,
"Rounds, Mike",,1,,3,,2,1,3,,
"Scott, Rick",10,2,36,,,42,3,,76,
"Shaheen, Jeanne",,1,1,1,,,,,,
"Shelby, Richard C.",,,,,,,,,,
"Smith, Tina",,3,7,6,,5,,3,,
"Sullivan, Daniel S.",,14,,5,,1,,7,,
"Thune, John R.",,,,1,,,,,,
"Tillis, Thomas R.",,97,,2,,,,,,
"Toomey, Patrick J.",,115,1,78,,1,,2,1,
"Tuberville, Thomas H.",,204,8,49,,,,18,,
"Udall, Thomas S.",,2,,,,,,,,
"Warner, Mark R.",8,11,6,3,,8,,8,5,
"Warren, Elizabeth",,,,,,,,,,
"Whitehouse, Sheldon",,510,,163,,,,2,,
"Wicker, Roger F.",,5,,3,,,,,,
"Wyden, Ronald L.",,58,11,125,,1,,66,,
