amount	house	senate	input
Unknown		{'num_of_transactions': 465, 'sort_key': -1}	{'num_of_transactions': 465, 'sort_key': -1}
$5,000,001 - $25,000,000	{'num_of_transactions': 8, 'sort_key': 25000000}	{'num_of_transactions': 12, 'sort_key': 25000000}	{'num_of_transactions': 20, 'sort_key': 25000000}
$100,001 - $250,000	{'num_of_transactions': 509, 'sort_key': 250000}	{'num_of_transactions': 322, 'sort_key': 250000}	{'num_of_transactions': 831, 'sort_key': 250000}
$25,000,001 - $50,000,000		{'num_of_transactions': 2, 'sort_key': 50000000}	{'num_of_transactions': 2, 'sort_key': 50000000}
$250,001 - $500,000	{'num_of_transactions': 197, 'sort_key': 500000}	{'num_of_transactions': 133, 'sort_key': 500000}	{'num_of_transactions': 330, 'sort_key': 500000}
$50,000,000 +	{'num_of_transactions': 2, 'sort_key': 50000001}		{'num_of_transactions': 2, 'sort_key': 50000001}
$1,001 - $15,000	{'num_of_transactions': 9234, 'sort_key': 15000}	{'num_of_transactions': 5835, 'sort_key': 15000}	{'num_of_transactions': 15069, 'sort_key': 15000}
$1,000,001 - $5,000,000	{'num_of_transactions': 31, 'sort_key': 5000000}	{'num_of_transactions': 27, 'sort_key': 5000000}	{'num_of_transactions': 58, 'sort_key': 5000000}
$1,001 -	{'num_of_transactions': 242, 'sort_key': 1001}		{'num_of_transactions': 242, 'sort_key': 1001}
$15,000 - $50,000	{'num_of_transactions': 3, 'sort_key': 50000}		{'num_of_transactions': 3, 'sort_key': 50000}
$1,000,000 +	{'num_of_transactions': 28, 'sort_key': 1000001}		{'num_of_transactions': 28, 'sort_key': 1000001}
$50,001 - $100,000	{'num_of_transactions': 664, 'sort_key': 100000}	{'num_of_transactions': 539, 'sort_key': 100000}	{'num_of_transactions': 1203, 'sort_key': 100000}
$15,001 - $50,000	{'num_of_transactions': 2034, 'sort_key': 50000}	{'num_of_transactions': 1600, 'sort_key': 50000}	{'num_of_transactions': 3634, 'sort_key': 50000}
$500,001 - $1,000,000	{'num_of_transactions': 126, 'sort_key': 1000000}	{'num_of_transactions': 105, 'sort_key': 1000000}	{'num_of_transactions': 231, 'sort_key': 1000000}
Over $50,000,000		{'num_of_transactions': 1, 'sort_key': 50000001}	{'num_of_transactions': 1, 'sort_key': 50000001}
$1,000 - $15,000	{'num_of_transactions': 4, 'sort_key': 15000}		{'num_of_transactions': 4, 'sort_key': 15000}
