official	house	senate	input
Newman, Marie	98		98
Garbarino, Andrew	4		4
Langevin, James R.	56		56
Dingell, Debbie	8		8
Ross, Deborah K.	6		6
Schultz, Debbie W.	3		3
Buck, Kenneth R.	1		1
Blumenthal, Richard		1	16
Tillis, Thomas R.		2	33
Rounds, Mike		1	3
Spartz, Victoria	2		2
Crenshaw, Daniel	6		6
Bice, Stephanie	1		1
Smucker, Lloyd K.	3		3
Krishnamoorthi, S. R.	1		1
Amash, Justin	1		1
Crapo, Michael D.		1	1
Fleischmann, Charles J.	24		24
McHenry, Patrick T.	1		1
Burgess, Michael C.	3		3
Barrasso, John A.		1	1
Kelly, Mike	4		4
DelBene, Suzan K.	41		41
Pfluger, August L.	4		4
Collins, Susan M.		12	150
Hill, James F.	3		3
Peters, Gary C.		4	47
Cardin, Benjamin L.		1	7
Axne, Cynthia	58		58
Matsui, Doris O.	5		5
Smith, Tina		1	8
Trahan, Lori	1		1
Cohen, Steve	16		16
Case, Ed	3		3
Frankel, Lois	97		97
Gibbs, Bob	12		12
Meuser, Daniel	3		3
McKinley, David B.	49		49
Suozzi, Thomas	13		13
Holding, George	4		4
Pingree, Chellie	1		1
Brooks, Susan W.	4		4
Moulton, Seth	1		1
Thune, John R.		1	1
Cawthorn, David M.	1		1
Allen, Richard W.	12		12
Enzi, Michael B.		1	2
Higgins, Brian	1		1
Comer, James	3		3
Hickenlooper, John W.		1	7
Johnson, Ron		1	1
Yarmuth, John A.	34		34
Upton, Fred	6		6
Garcia, Mike	14		14
Hern, Kevin	120		120
Conaway, K. M.	80		80
Manning, Kathy	40		40
Kinzinger, Adam	8		8
Schrier, Kim	11		11
Green, Mark	183		183
Pelosi, Nancy	19		19
Welch, Peter	16		16
Scott, Rick		4	56
Greene, Marjorie T.	29		29
Whitehouse, Sheldon		19	231
Timmons, William R.	6		6
Marchant, Kenny	36		36
Graves, Garret	3		3
Maloney, Carolyn B.	2		2
Chabot, Steve	1		1
Clark, Katherine M.	81		81
Wicker, Roger F.		1	2
Warren, Elizabeth		1	1
Gonzalez, Anthony E.	2		2
Duckworth, Ladda T.		1	7
Lofgren, Zoe	61		61
Evans, Dwight	19		19
Sherrill, Mikie	53		53
Boozman, John		1	15
Fallon, Patrick	29		29
Price, David E.	5		5
Cisneros, Gilbert	261		261
Burchett, Tim	1		1
Loeffler, Kelly		7	93
Inhofe, James M.		6	76
Burr, Richard M.		2	32
Courtney, Joe	54		54
Mast, Brian	12		12
Coons, Christopher A.		1	10
Jacobs, Christopher L.	28		28
Keating, William R.	21		21
Grijalva, Raúl M.	1		1
Kennedy, Joseph P.	1		1
Trone, David	4		4
Roberts, Pat		13	159
Hollingsworth, Trey	14		14
Flores, Bill	1		1
Reed, Jack		1	1
Jeffries, Hakeem S.	2		2
Spanberger, Abigail	1		1
Moran, Jerry		4	58
Chu, Judy	1		1
Kaine, Timothy M.		1	1
Moore, Blake	37		37
Rogers, Harold D.	6		6
Cassidy, William		4	55
Gallagher, Michael J.	12		12
Blumenauer, Earl	46		46
Rice, Tom	3		3
Murray, Patty		4	53
Casey Jr., Robert P.		1	1
Morelle, Joseph D.	5		5
Rouzer, David C.	3		3
Long, Billy	9		9
Waltz, Michael	1		1
Kennedy, John N.		1	1
Moore, Felix B.	2		2
Reed, John F.		7	83
Cruz, Rafael E.		1	4
Pallone, Frank	3		3
Cochran, Thad		1	7
Joyce, David P.	15		15
Wyden, Ronald L.		7	87
Lee, Susie	206		206
Peters, Scott H.	33		33
Malinowski, Tom	42		42
Larson, John B.	11		11
Dunn, Neal P.	10		10
Phillips, Dean	171		171
Arenholz, Ashley H.	4		4
Rouda, Harley E.	2		2
Miller, Carol D.	14		14
Latta, Robert E.	1		1
Khanna, Rohit	99		99
McConnell Jr., A. M.		1	7
Hollen, Chris V.		1	2
Cox, TJ J.	1		1
Brooks, Mo	14		14
Shalala, Donna	189		189
Feinstein, Dianne		1	9
Luria, Elaine	1		1
Shelby, Richard C.		1	1
Banks, James E.	17		17
McEachin, Aston D.	2		2
Scott, Austin	25		25
Hagerty IV, William F.		1	9
Roe, David P.	6		6
Tuberville, Thomas H.		7	93
