industry,2018,2019,2020,2021
Advertising & Marketing Services,0,3,6,1
Advertising Agencies,0,5,5,0
Aerospace & Defense,0,13,105,64
Agricultural Inputs,0,1,1,2
Agriculture,0,3,14,1
Airlines,0,4,60,34
Apparel Manufacturing,0,0,6,2
Apparel Retail,0,0,0,1
Application Software,0,58,466,325
Asset Management,0,21,103,75
Auto & Truck Dealerships,0,0,0,7
Auto Manufacturers,0,0,8,10
Auto Parts,0,0,2,3
Autos,0,6,88,89
Banks,0,75,256,119
Banks--Diversified,0,0,0,1
Banks—Diversified,0,0,18,1
Banks—Regional,0,8,35,15
Beverages,0,0,1,0
Beverages - Alcoholic,0,9,29,14
Beverages - Non-Alcoholic,0,6,35,30
Beverages—Non-Alcoholic,0,1,6,4
Biotechnology,0,31,117,67
Brokers & Exchanges,0,6,116,109
Building Materials,0,2,13,7
Building Products & Equipment,0,0,10,11
Business Services,0,14,104,70
Capital Markets,0,0,0,2
Chemicals,0,23,99,68
Communication Equipment,0,6,51,19
Communication Services,0,19,130,112
Computer Hardware,0,30,226,173
Confectioners,0,0,0,1
Conglomerates,0,0,8,4
Congolmerates,0,0,2,0
Consulting & Outsourcing,0,7,29,25
Consulting Services,0,3,2,3
Consumer Electronics,0,0,1,8
Consumer Packaged Goods,0,35,122,74
Credit Services,0,7,97,114
Cryptocurrency,0,0,0,22
Diagnostics & Research,0,1,14,6
Discount Stores,0,0,0,1
Diversified Financial Services,0,0,0,1
Diversified Services,0,1,10,1
Drug Manufacturers,0,27,155,93
Drug Manufacturers - Specialty & Generic,0,0,1,1
Drug Manufacturers—General,0,10,18,13
Drug Manufacturers—Speciality and Generic,0,0,0,1
Drug Manufacturers—Specialty & Generic,0,1,26,20
Education,0,2,4,5
Electrical Equipment & Parts,0,0,10,9
Electronic Gaming & Multimedia,0,0,4,20
Employment Services,0,2,6,3
Energy,0,0,3,1
Engineering & Construction,0,7,30,17
Entertainment,0,18,88,95
Farm & Construction Machinery,0,1,9,39
Farm & Heavy Construction Machinery,0,9,8,5
Farm Products,0,0,1,0
Financial Conglomerates,0,1,1,1
Financial Data & Stock Exchanges,0,0,7,1
Financial Services,0,0,1,0
Food stores,0,0,2,0
Footwear & Accessories,0,2,2,3
Forest Products,0,1,2,5
Fund,0,46,441,256
"Furnishings, Fixtures & Appliances",0,1,1,2
Gambling,0,0,24,6
Gold,0,0,0,1
Grocery Stores,0,0,10,3
Hardware,0,0,0,3
Health Care Plans,0,9,55,45
Health Care Providers,0,6,29,19
Health Information Services,0,3,26,5
Healthcare Plans,0,1,1,3
Home Improvement Retail,0,0,2,4
Homebuilding & Construction,0,12,13,9
Household & Personal Products,0,7,2,5
IT Services,0,0,2,0
Industrial Distribution,0,3,26,4
Industrial Products,0,27,177,136
Information Technology Services,0,0,6,4
Infrastructure Operations,0,2,3,0
Insurance,0,12,66,65
Insurance - Life,0,2,22,19
Insurance - Property & Casualty,0,12,44,42
Insurance - Specialty,0,5,8,9
Insurance Brokers,0,0,0,4
Insurance—Diversified,0,0,4,4
Insurance—Life,0,7,6,10
Insurance—Property & Casualty,0,0,2,8
Insurance—Reinsurance,0,0,2,0
Insurance—Specialty,0,0,0,1
Integrated Freight & Logistics,0,0,3,0
Internet Content & Information,0,4,11,32
Internet Retail,0,1,0,17
Leisure,0,2,13,18
Lodging,0,5,6,3
Luxury Goods,0,3,12,1
Major Pharmaceutical Preparations,0,0,2,3
Manufacturing - Apparel & Furniture,0,17,35,24
Marine Shipping,0,0,2,1
Medical Devices,1,11,105,72
Medical Diagnostics & Research,0,18,114,66
Medical Distribution,0,0,4,8
Medical Instruments & Equipment,0,13,71,31
Medical Instruments & Supplies,0,2,8,5
Metals & Mining,0,13,21,33
Mortgage Finance,0,0,0,2
Oil & Gas - Drilling,0,2,0,2
Oil & Gas - E&P,0,13,39,37
Oil & Gas - Integrated,0,12,77,42
Oil & Gas - Midstream,0,4,230,223
Oil & Gas - Refining & Marketing,0,2,63,36
Oil & Gas - Services,0,13,39,28
Oil & Gas E&P,0,0,3,2
Oil & Gas Equipment & Services,0,0,4,8
Oil & Gas Integrated,0,4,10,5
Oil & Gas Midstream,0,0,23,23
Oil & Gas Refining & Marketing,0,0,2,0
Online Media,0,20,130,153
Other Industrial Metals & Mining,0,0,0,2
Packaged Foods,0,13,25,10
Packaging & Containers,0,5,50,23
Paper & Paper Products,0,0,0,5
Personal Services,0,0,18,10
Publishing,0,1,3,6
REITs,0,55,140,82
REIT—Diversified,0,0,1,1
REIT—Healthcare Facilities,0,0,6,0
REIT—Hotel & Motel,0,0,1,1
REIT—Retail,0,2,0,0
Railroads,0,0,2,2
Real Estate,0,0,1,0
Real Estate Services,0,1,30,39
Real Estate—Development,0,0,2,0
Real Estate—Diversified,0,0,2,0
Residential Construction,0,0,3,0
Resorts & Casinos,0,0,0,2
Restaurants,0,15,70,42
Retail - Apparel & Specialty,0,29,206,190
Retail - Defensive,0,11,137,78
Scientific & Technical Instruments,0,0,3,5
Security & Protection Services,0,0,0,4
Semiconductor Equipment & Materials,0,0,2,3
Semiconductors,0,27,278,178
Shell Companies,0,0,22,15
Software,0,2,6,6
Software - Application,0,0,2,2
Software—Application,0,11,33,45
Software—Infrastructure,0,3,30,35
Solar,0,0,2,0
Specialty Business Services,0,0,1,2
Specialty Chemicals,0,7,23,17
Specialty Industrial Machinery,0,7,49,22
Specialty Retail,0,0,4,10
Staffing & Employment Services,0,0,1,0
Steel,0,2,3,1
Telecom Services,0,0,18,17
Telecommunication Services,0,0,2,0
Telecommunications,0,0,2,0
Textile Manufacturing,0,0,1,0
Tobacco,0,0,6,0
Tobacco Products,0,4,29,16
Tools & Accessories,0,3,1,0
Transportation & Logistics,0,7,65,67
Travel & Leisure,0,13,61,60
Travel Services,0,2,22,20
Truck Manufacturing,0,0,3,3
Trust,0,2,3,4
Utilities - Independent Power Producers,0,1,7,10
Utilities - Regulated,0,15,173,78
Utilities - Regulated Water,0,0,1,0
Utilities—Diversified,0,0,5,0
Utilities—Regulated Electric,0,0,2,1
Utilities—Regulated Gas,0,0,5,3
Utilities—Regulated Water,0,0,2,0
Utilities—Renewable,0,3,6,2
Waste Management,0,2,22,3
