industry,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Advertising & Marketing Services,0,0,0,False,0,0,0,3,6,1
Advertising Agencies,0,0,0,0,0,0,0,5,4,0
Aerospace & Defense,0,0,15,12,8,19,33,50,133,67
Aerospace/Defense,0,0,2,0,0,0,0,0,0,0
Agricultural Inputs,0,0,0,0,0,0,0,3,2,2
Agriculture,0,0,0,1,3,8,21,8,14,1
Airlines,0,0,6,0,1,1,3,5,77,34
Apparel Manufacturing,0,0,0,0,1,0,0,2,6,2
Apparel Retail,0,0,0,0,0,0,0,0,0,False
Application Software,0,0,40,20,74,32,42,95,533,372
Asset Management,0,1,6,15,17,15,17,32,145,80
Auto & Truck Dealerships,0,0,0,0,0,0,0,0,0,8
Auto Manufacturers,0,0,0,0,0,0,0,0,9,10
Auto Parts,0,0,0,0,0,0,0,False,2,3
Automotive,0,0,0,False,0,0,0,0,0,0
Autos,0,0,11,5,7,28,41,10,105,96
Banking,0,0,False,0,0,0,0,0,0,0
Banks,0,0,27,35,43,70,72,97,304,139
Banks - Regional,0,0,0,0,0,1,0,0,0,0
Banks--Diversified,0,0,0,0,0,0,0,0,0,False
Banks—Diversified,0,0,0,0,0,0,0,0,17,1
Banks—Regional,0,0,0,0,0,1,1,11,38,15
Beverages,0,0,0,0,0,0,0,0,False,0
Beverages - Alcoholic,0,0,3,8,4,4,9,10,32,15
Beverages - Non-Alcoholic,0,0,6,3,3,8,10,20,43,30
Beverages – Alcoholic,0,0,0,0,0,1,0,False,0,0
Beverages—Brewers,0,0,0,0,0,1,0,False,0,0
Beverages—Non-Alcoholic,0,0,0,0,0,0,0,3,6,4
Biotechnology,0,0,14,22,33,37,29,42,137,70
Broadcasting,0,0,0,0,0,0,3,0,0,0
Brokers & Exchanges,0,0,8,2,3,9,12,12,134,109
Building Materials,0,0,0,3,5,1,11,3,17,7
Building Products & Equipment,0,0,0,0,0,0,0,0,10,11
Business Services,0,0,2,5,2,22,33,34,115,72
Capital Markets,0,0,0,0,0,0,0,0,0,1
Chemicals,2,4,13,8,36,61,26,50,143,73
Coal,0,0,False,0,0,0,0,0,0,0
Communication Equipment,0,0,2,15,7,10,21,15,68,32
Communication Services,0,0,23,9,11,34,16,45,165,119
Computer Hardware,0,0,23,24,28,31,42,58,295,199
Computer Software & Services,0,0,3,6,0,0,0,0,0,0
Confectioners,0,0,0,0,0,0,0,0,0,False
Conglomerates,0,0,0,0,False,0,0,0,8,4
Congolmerates,0,0,0,0,0,0,0,0,1,0
Consulting & Outsourcing,0,0,2,18,12,0,4,9,33,25
Consulting Services,0,0,0,0,0,0,0,3,2,2
Consumer Electronics,0,0,0,0,0,0,0,0,1,7
Consumer NonDurables,0,0,0,False,0,0,0,0,0,0
Consumer Packaged Goods,0,0,18,17,22,36,30,53,159,84
Credit Services,0,0,8,9,9,13,7,16,127,122
Cryptocurrency,0,0,0,0,0,0,0,0,0,22
Defense,0,0,0,5,0,0,0,0,0,0
Diagnostics & Research,0,0,0,0,0,0,0,1,13,6
Discount Stores,0,0,0,0,0,0,0,0,0,False
Diversified Financial Services,0,0,0,0,0,0,0,0,0,False
Diversified Services,0,0,0,4,0,6,0,1,10,1
Drug Manufacturers,0,0,13,22,35,71,41,40,201,99
Drug Manufacturers - Specialty & Generic,0,0,0,0,0,0,0,0,1,False
Drug Manufacturers—General,0,0,2,0,0,3,2,10,18,13
Drug Manufacturers—Speciality and Generic,0,0,0,0,0,0,0,0,0,False
Drug Manufacturers—Specialty & Generic,0,0,0,0,0,0,0,1,26,20
Education,0,0,False,0,0,0,0,2,4,5
Electric Utilities,0,0,0,0,0,0,0,0,False,0
Electrical Equipment & Parts,0,0,0,0,0,0,0,5,11,9
Electronic Components,0,0,0,0,0,1,0,False,0,0
Electronic Gaming & Multimedia,0,0,0,0,0,False,0,0,4,20
Electronics,0,0,2,3,1,False,0,0,0,0
Employment Services,0,0,0,0,0,False,0,2,6,3
Energy,0,0,3,3,1,0,0,0,3,1
Energy & Utilities,0,0,0,False,0,0,0,0,0,0
Engineering & Construction,0,0,0,2,2,5,0,8,31,19
Entertainment,0,0,17,48,40,56,117,75,172,99
Farm & Construction Machinery,0,0,3,6,4,2,3,2,18,39
Farm & Heavy Construction Machinery,0,0,0,0,0,0,0,9,8,4
Farm Products,0,0,0,0,0,0,0,0,False,0
Financial Conglomerates,0,0,0,0,0,0,0,1,False,1
Financial Data & Stock Exchanges,0,0,0,0,0,0,0,0,7,False
Financial Services,0,0,0,0,0,0,0,0,False,0
Food Distribution,0,0,0,0,False,0,0,0,0,0
Food stores,0,0,0,0,0,0,0,0,1,0
Footwear & Accessories,0,0,0,0,0,0,0,2,2,2
Forest Products,0,0,2,0,0,0,4,1,2,5
Fund,0,1,42,43,28,20,25,67,531,300
"Furnishings, Fixtures & Appliances",0,0,0,0,0,0,0,1,1,1
Gambling,0,0,0,0,0,0,0,0,24,6
Gold,0,0,0,0,0,0,0,0,0,False
Grocery Stores,0,0,0,0,0,0,0,0,9,3
Hardware,0,0,0,0,0,0,0,0,0,2
Health Care Equipment & Supplies,0,0,0,0,0,0,1,0,0,0
Health Care Plans,0,0,9,3,8,12,14,19,64,48
Health Care Providers,0,0,0,0,0,0,2,6,30,21
Health Information Services,0,0,0,0,0,0,0,3,26,5
Health Services,0,0,0,3,0,2,0,0,0,0
Healthcare Plans,0,0,0,0,0,0,0,1,1,2
Home Improvement Retail,0,0,0,0,0,0,0,0,2,3
Homebuilding & Construction,0,0,0,0,0,1,0,12,16,9
Household & Personal Products,0,0,0,0,0,4,0,8,2,5
IT Services,0,0,0,0,0,0,0,0,1,0
Industrial Distribution,0,0,1,0,3,0,2,5,30,4
