official,Advertising & Marketing Services,Aerospace & Defense,Aerospace/Defense,Agricultural Inputs,Agriculture,Airlines,Apparel Manufacturing,Application Software,Asset Management,Auto & Truck Dealerships,Auto Manufacturers,Auto Parts,Automotive,Autos,Banking,Banks,Banks - Regional,Banks—Regional,Beverages - Alcoholic,Beverages - Non-Alcoholic,Beverages – Alcoholic,Beverages—Brewers,Beverages—Non-Alcoholic,Biotechnology,Broadcasting,Brokers & Exchanges,Building Materials,Building Products & Equipment,Business Services,Chemicals,Coal,Communication Equipment,Communication Services,Computer Hardware,Computer Software & Services,Conglomerates,Consulting & Outsourcing,Consumer NonDurables,Consumer Packaged Goods,Credit Services,Cryptocurrency,Defense,Diversified Services,Drug Manufacturers,Drug Manufacturers—General,Drug Manufacturers—Specialty & Generic,Education,Electric Utilities,Electrical Equipment & Parts,Electronic Components,Electronic Gaming & Multimedia,Electronics,Employment Services,Energy,Energy & Utilities,Engineering & Construction,Entertainment,Farm & Construction Machinery,Food Distribution,Forest Products,Fund,Gambling,Health Care Equipment & Supplies,Health Care Plans,Health Care Providers,Health Information Services,Health Services,Homebuilding & Construction,Household & Personal Products,Industrial Distribution,Industrial Products,Information Technology Services,Infrastructure Operations,Insurance,Insurance - Life,Insurance - Property & Casualty,Insurance - Specialty,Insurance—Diversified,Insurance—Life,Insurance—Property & Casualty,Insurance—Specialty,Internet,Internet Content & Information,Internet Retail,Leisure,Luxury Goods,Manufacturing - Apparel & Furniture,Media,Medical Devices,Medical Diagnostics & Research,Medical Distribution,Medical Instruments & Equipment,Medical Instruments & Supplies,Metals & Mining,Oil & Gas - Drilling,Oil & Gas - E&P,Oil & Gas - Integrated,Oil & Gas - Midstream,Oil & Gas - Refining & Marketing,Oil & Gas - Services,Oil & Gas E&P,Oil & Gas Integrated,Oil & Gas Midstream,Oil & Gas Refining & Marketing,Oil and Gas,"Oil, Gas, & Consumable Fuels",Online Media,Other Industrial Metals & Mining,Other Precious Metals & Mining,Packaged Foods,Packaging & Containers,Personal Services,Publishing,REITs,Real Estate,Real Estate Services,Restaurants,Retail,Retail - Apparel & Specialty,Retail - Defensive,Scientific & Technical Instruments,Security & Protection Services,Semiconductors,Shell Companies,Software—Application,Software—Infrastructure,Specialty Chemicals,Specialty Industrial Machinery,Specialty Retail,Specialty Telecommunications,Steel,Telecom Services,Telecommunications,Tobacco,Tobacco Products,Transportation & Logistics,Travel & Leisure,Travel Services,Truck Manufacturing,Trust,Utilities,Utilities - Independent Power Producers,Utilities - Regulated,Utilities--Regulated Electric,Utilities—Renewable,Waste Management
"Bennet, Michael F.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
"Blunt, Roy D.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
"Booker, Cory A.",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boozman, John",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cantwell, Maria E.",,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Capito, Shelley M.",,13,,,,1,,20,6,,,,,4,,39,,3,2,5,2,2,,9,,9,,1,6,11,,8,9,5,,,1,,18,2,,,,16,4,,,,,2,,,,,,,,1,,,4,,,1,,,,,6,1,10,1,,,2,4,,3,1,,,,1,,,1,5,,8,1,,3,1,,1,4,9,5,3,3,,5,,,,,3,,,4,,,,2,,,3,,6,6,2,,17,,,,1,6,,,,4,,,2,7,6,,,,,,12,,,
"Cardin, Benjamin L.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"Carper, Thomas R.",,8,,1,1,,,12,30,,,,,1,,5,,1,,1,,,,4,,,,,4,19,,6,3,12,,,,,8,3,,,,6,,1,,,,,,2,1,2,,1,2,,,,118,1,,3,,,,,,1,2,1,,,2,2,,,,,,,3,,1,,6,,2,5,,3,,4,1,,2,4,3,1,,,,,,,1,,1,,1,3,,11,,2,4,,,1,,1,16,,2,3,,,,,,,,1,2,1,,,,4,1,1,5,,1,
"Casey Jr., Robert P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"Cassidy, William",,1,,,,,,10,9,,,,,2,,2,,,,,,,,4,,,,,,8,,6,12,10,,,,,6,,,,,7,,,,,,,,,,,,,6,2,,,3,,,6,,,,,,2,6,,,,2,,,,,,,,,,,,4,,8,,,,,,,4,7,,1,3,,1,,,,,,,,,,,,4,,,4,,6,7,,,4,,,,,,,,,,,,,4,,,,,,,3,,,
