industry,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Advertising & Marketing Services,0,0,0,1,0,0,0,0,0,0
Aerospace & Defense,0,0,15,12,8,19,33,37,28,4
Aerospace/Defense,0,0,3,0,0,0,0,0,0,0
Agricultural Inputs,0,0,0,0,0,0,0,2,2,0
Agriculture,0,0,0,1,3,8,21,6,0,0
Airlines,0,0,6,0,1,1,3,1,18,0
Apparel Manufacturing,0,0,0,0,1,0,0,3,0,0
Application Software,0,0,40,20,74,32,42,37,67,48
Asset Management,0,1,6,15,17,15,17,11,42,6
Auto & Truck Dealerships,0,0,0,0,0,0,0,0,0,2
Auto Manufacturers,0,0,0,0,0,0,0,0,2,0
Auto Parts,0,0,0,0,0,0,0,1,0,0
Automotive,0,0,0,1,0,0,0,0,0,0
Autos,0,0,11,5,7,28,41,4,17,8
Banking,0,0,1,0,0,0,0,0,0,0
Banks,0,0,27,35,43,70,72,22,48,21
Banks - Regional,0,0,0,0,0,2,0,0,0,0
Banks—Regional,0,0,0,0,0,1,1,3,3,1
Beverages - Alcoholic,0,0,3,8,4,4,9,1,3,2
Beverages - Non-Alcoholic,0,0,6,3,3,8,10,14,8,1
Beverages – Alcoholic,0,0,0,0,0,1,0,1,0,0
Beverages—Brewers,0,0,0,0,0,1,0,1,0,0
Beverages—Non-Alcoholic,0,0,0,0,0,0,0,2,0,1
Biotechnology,0,0,14,22,33,37,29,11,20,4
Broadcasting,0,0,0,0,0,0,4,0,0,0
Brokers & Exchanges,0,0,8,2,3,9,12,6,18,1
Building Materials,0,0,0,3,5,1,11,1,4,1
Building Products & Equipment,0,0,0,0,0,0,0,0,1,0
Business Services,0,0,2,5,2,22,33,20,11,3
Chemicals,2,4,13,8,36,61,26,27,44,6
Coal,0,0,1,0,0,0,0,0,0,0
Communication Equipment,0,0,2,15,7,10,21,9,17,14
Communication Services,0,0,23,9,11,34,16,26,35,8
Computer Hardware,0,0,23,24,28,31,42,28,69,27
Computer Software & Services,0,0,3,7,0,0,0,0,0,0
Conglomerates,0,0,0,0,1,0,0,0,0,0
Consulting & Outsourcing,0,0,2,18,12,0,4,2,4,1
Consumer NonDurables,0,0,0,1,0,0,0,0,0,0
Consumer Packaged Goods,0,0,18,17,22,36,30,18,37,11
Credit Services,0,0,8,9,9,13,7,9,30,9
Cryptocurrency,0,0,0,0,0,0,0,0,0,1
Defense,0,0,0,6,0,0,0,0,0,0
Diversified Services,0,0,0,4,0,7,0,0,0,0
Drug Manufacturers,0,0,13,22,35,71,41,13,46,7
Drug Manufacturers—General,0,0,2,0,0,3,2,0,0,1
Drug Manufacturers—Specialty & Generic,0,0,0,0,0,0,0,0,1,0
Education,0,0,1,0,0,0,0,0,0,0
Electric Utilities,0,0,0,0,0,0,0,0,1,0
Electrical Equipment & Parts,0,0,0,0,0,0,0,5,2,0
Electronic Components,0,0,0,0,0,1,0,1,0,0
Electronic Gaming & Multimedia,0,0,0,0,0,1,0,0,0,0
Electronics,0,0,2,3,1,1,0,0,0,0
Employment Services,0,0,0,0,0,1,0,0,0,0
Energy,0,0,3,3,2,0,0,0,0,0
Energy & Utilities,0,0,0,1,0,0,0,0,0,0
Engineering & Construction,0,0,0,2,2,5,0,1,1,3
Entertainment,0,0,17,48,40,56,117,57,84,5
Farm & Construction Machinery,0,0,3,6,4,2,3,1,10,0
Food Distribution,0,0,0,0,1,0,0,0,0,0
Forest Products,0,0,2,0,0,0,4,0,0,1
Fund,0,1,42,43,28,20,25,21,90,45
Gambling,0,0,0,0,0,0,0,0,0,1
Health Care Equipment & Supplies,0,0,0,0,0,0,2,0,0,0
Health Care Plans,0,0,9,3,8,12,14,10,9,4
Health Care Providers,0,0,0,0,0,0,2,0,1,3
Health Information Services,0,0,0,0,0,0,0,1,0,0
Health Services,0,0,0,3,0,3,0,0,0,0
Homebuilding & Construction,0,0,0,0,0,1,0,0,4,0
Household & Personal Products,0,0,0,0,0,4,0,2,0,0
Industrial Distribution,0,0,1,0,3,0,2,2,4,1
Industrial Products,0,0,23,14,19,28,20,8,20,14
Information Technology Services,0,0,0,0,1,0,1,0,0,1
Infrastructure Operations,0,0,0,0,0,0,3,4,1,0
Insurance,0,0,4,1,0,1,2,1,20,2
Insurance - Life,0,0,6,1,7,8,4,2,15,0
Insurance - Property & Casualty,0,0,2,3,4,4,5,1,9,0
Insurance - Specialty,0,0,2,0,0,0,0,0,0,2
Insurance—Diversified,0,0,0,0,3,3,4,2,10,1
Insurance—Life,0,0,0,0,0,0,0,1,0,0
Insurance—Property & Casualty,0,0,0,0,0,0,0,0,0,1
Insurance—Specialty,0,0,3,2,0,0,0,0,0,0
Internet,0,0,4,0,0,0,0,0,0,0
Internet Content & Information,0,0,0,0,0,0,0,3,6,1
Internet Retail,0,0,0,0,0,0,0,0,0,2
Leisure,0,0,1,1,1,0,0,0,0,2
Luxury Goods,0,0,0,1,0,1,0,0,0,0
Manufacturing - Apparel & Furniture,0,0,12,12,16,26,16,5,13,4
Media,0,0,0,13,0,0,0,0,0,0
Medical Devices,0,0,0,6,10,10,20,6,6,2
Medical Diagnostics & Research,0,0,4,7,17,11,8,11,6,6
Medical Distribution,0,0,6,1,3,2,0,0,3,0
Medical Instruments & Equipment,0,0,5,19,30,8,6,4,3,3
Medical Instruments & Supplies,0,0,0,0,0,0,0,1,0,0
Metals & Mining,0,0,1,1,1,1,0,0,6,44
Oil & Gas - Drilling,0,0,2,1,0,1,0,0,0,0
Oil & Gas - E&P,0,0,7,33,13,17,29,23,11,15
Oil & Gas - Integrated,0,0,6,6,5,15,21,14,29,3
Oil & Gas - Midstream,0,0,4,33,46,24,48,61,55,3
Oil & Gas - Refining & Marketing,0,0,2,2,2,0,8,5,7,0
Oil & Gas - Services,0,0,7,8,4,10,6,3,4,0
Oil & Gas E&P,0,0,0,0,0,0,0,0,1,0
Oil & Gas Integrated,0,0,0,0,1,1,4,2,3,1
Oil & Gas Midstream,0,0,0,0,0,0,2,4,5,0
Oil & Gas Refining & Marketing,0,0,0,1,0,0,0,0,0,0
Oil and Gas,0,0,0,0,3,0,0,0,0,0
"Oil, Gas, & Consumable Fuels",0,0,0,0,0,1,0,0,0,0
Online Media,0,0,23,5,22,15,16,5,24,14
Other Industrial Metals & Mining,0,0,0,0,0,1,0,0,1,0
Other Precious Metals & Mining,0,0,0,0,0,0,0,0,0,1
Packaged Foods,0,0,2,0,2,3,3,3,7,0
Packaging & Containers,0,0,3,6,0,8,12,16,11,0
Personal Services,0,0,0,0,0,5,6,2,2,1
Publishing,0,0,1,0,0,0,0,0,0,0
REITs,0,0,9,4,11,16,3,5,20,10
Real Estate,0,0,3,1,0,0,0,0,0,1
Real Estate Services,0,0,0,1,0,0,0,0,2,1
Restaurants,0,0,7,6,10,14,8,3,20,1
Retail,0,0,0,1,8,14,0,0,0,0
Retail - Apparel & Specialty,0,0,19,20,15,45,42,24,69,17
Retail - Defensive,0,0,3,7,10,32,28,15,55,4
Scientific & Technical Instruments,0,0,0,0,0,1,0,1,0,0
Security & Protection Services,0,0,0,0,1,0,2,1,3,0
