amount,"$1,001 -","$1,001 - $15,000","$100,001 - $250,000","$15,001 - $50,000","$50,001 - $100,000"
"Axne, Cynthia",0,60,0,0,0
"Beyer, Donald S.",0,105,0,6,0
"Booker, Cory A.",0,2,0,0,0
"Brooks, Mo",0,4,0,1,0
"Brooks, Susan W.",0,1,0,0,0
"Cantwell, Maria E.",0,4,0,0,0
"Capito, Shelley M.",0,False,0,0,0
"Carper, Thomas R.",0,3,0,0,0
"Cassidy, William",0,15,0,0,0
"Cohen, Steve",0,2,0,1,0
"Collins, Susan M.",0,17,0,False,0
"Crenshaw, Daniel",0,False,0,0,0
"Curtis, John",0,False,0,0,0
"Flores, Bill",0,False,0,0,0
"Garcia, Mike",0,1,0,2,0
"Gianforte, Greg",0,8,0,9,5
"Gonzalez, Anthony E.",0,0,0,0,False
"Gottheimer, Josh",0,100,0,7,0
"Hagerty IV, William F.",0,0,0,False,1
"Hickenlooper, John W.",0,0,False,0,0
"Hoeven, John",0,0,2,2,4
"Jacobs, Christopher L.",0,3,0,1,0
"Keating, William R.",0,3,0,0,0
"King Jr., Angus S.",0,6,0,0,0
"Lofgren, Zoe",0,21,0,1,0
"Long, Billy",0,0,0,0,False
"Marshall, Roger W.",0,13,0,0,0
"Meijer, Peter",0,35,2,11,4
"Moran, Jerry",0,7,0,0,0
"Pallone, Frank",0,False,0,0,0
"Perdue Jr., David A.",0,183,0,26,2
"Perlmutter, Ed",0,21,0,0,0
"Peters, Gary C.",0,False,0,0,0
"Phillips, Dean",0,88,0,2,0
"Reed, John F.",0,1,0,0,0
"Ross, Deborah K.",0,3,0,6,0
"Schrader, Kurt",0,8,0,0,0
"Scott, Austin",0,4,0,0,0
"Sessions, Pete",0,9,1,0,0
"Sherrill, Mikie",3,10,0,5,0
"Tillis, Thomas R.",0,29,0,0,0
"Timmons, William R.",0,1,0,0,0
"Tuberville, Thomas H.",0,11,0,1,2
"Upton, Fred",0,1,0,0,0
"Welch, Peter",0,False,0,0,0
"Whitehouse, Sheldon",0,66,0,14,0
"Wyden, Ronald L.",0,2,0,2,0
