name,count,color
"Moran, Jerry (R-KS)",8,#FF0000
"Hagerty IV, William F. (R-TN)",2,#FF0000
"Tuberville, Thomas H. (R-AL)",15,#FF0000
"Hickenlooper, John W. (D-CO)",1,#0000FF
"Whitehouse, Sheldon (D-RI)",81,#0000FF
"King Jr., Angus S. (I-ME)",7,#800080
"Wyden, Ronald L. (D-OR)",5,#0000FF
"Cassidy, William (R-LA)",16,#FF0000
"Hoeven, John (R-ND)",9,#FF0000
"Reed, John F. (D-RI)",2,#0000FF
"Perdue Jr., David A. (R-GA)",212,#FF0000
"Collins, Susan M. (R-ME)",18,#FF0000
"Cantwell, Maria E. (D-WA)",5,#0000FF
"Capito, Shelley M. (R-WV)",1,#FF0000
"Peters, Gary C. (D-MI)",1,#0000FF
"Carper, Thomas R. (D-DE)",4,#0000FF
"Tillis, Thomas R. (R-NC)",30,#FF0000
"Booker, Cory A. (D-NJ)",3,#0000FF
