industry,2014,2015,2016,2017,2018,2019,2020,2021
Application Software,13,13,57,0,0,4,61,42
Asset Management,0,0,0,0,0,1,17,4
Banks,0,0,0,0,0,10,68,8
Banks—Regional,0,0,0,0,0,0,2,0
Brokers & Exchanges,0,0,0,0,0,2,20,12
Capital Markets,0,0,0,0,0,0,0,1
Communication Equipment,0,15,4,0,0,0,4,4
Computer Hardware,7,8,20,0,0,7,39,10
Computer Software & Services,3,6,0,0,0,0,0,0
Credit Services,0,0,0,0,0,0,27,21
Diversified Services,0,1,0,6,0,0,0,0
Electronics,0,2,False,0,0,0,0,0
Financial Conglomerates,0,0,0,0,0,False,0,0
Information Technology Services,0,0,False,0,0,0,0,0
Insurance,0,0,0,0,0,5,16,7
Insurance - Life,0,0,0,0,0,0,3,0
Insurance - Property & Casualty,0,0,0,0,0,7,17,7
Insurance—Diversified,0,0,0,0,0,0,0,2
Insurance—Life,0,0,0,0,0,0,1,2
Insurance—Property & Casualty,0,0,0,0,0,0,1,0
Internet,2,0,0,0,0,0,0,0
Leisure,0,False,0,0,0,0,2,0
Media,0,False,0,0,0,0,0,0
Oil & Gas - Drilling,False,0,0,0,0,0,0,0
Oil & Gas - E&P,6,24,5,1,0,0,2,18
Oil & Gas - Integrated,4,1,3,1,2,4,13,13
Oil & Gas - Midstream,2,30,44,0,0,0,1,6
Oil & Gas - Refining & Marketing,2,2,2,0,0,1,False,7
Oil & Gas - Services,1,7,4,2,1,2,3,1
Oil & Gas E&P,0,0,0,0,0,0,3,0
Oil & Gas Equipment & Services,0,0,0,0,0,0,1,0
Oil & Gas Integrated,0,0,1,0,0,0,8,1
Oil & Gas Midstream,0,0,0,0,0,0,0,False
Oil & Gas Refining & Marketing,0,0,0,0,0,0,1,0
Oil and Gas,0,0,2,0,0,0,0,0
Online Media,2,1,14,0,0,1,14,13
Retail,0,1,0,13,0,0,0,0
Semiconductors,6,10,12,0,0,4,20,34
Software—Application,0,0,0,0,0,0,2,6
Software—Infrastructure,0,0,0,0,0,0,0,False
Telecommunications,0,False,0,0,0,0,0,0
