industry,input
Application Software,191
Computer Hardware,92
Banks,87
Semiconductors,87
Oil & Gas - Midstream,84
Oil & Gas - E&P,57
Credit Services,49
Online Media,46
Oil & Gas - Integrated,42
Brokers & Exchanges,35
Insurance - Property & Casualty,32
Insurance,29
Communication Equipment,28
Asset Management,23
Oil & Gas - Services,22
Oil & Gas - Refining & Marketing,15
Retail,15
Oil & Gas Integrated,11
Computer Software & Services,10
Software—Application,9
Diversified Services,8
Oil & Gas E&P,4
Insurance—Life,4
Insurance - Life,4
Oil and Gas,3
Electronics,3
Leisure,3
Internet,3
Insurance—Diversified,3
Banks—Regional,3
Capital Markets,2
Insurance—Property & Casualty,2
Oil & Gas Equipment & Services,2
Oil & Gas Refining & Marketing,2
Information Technology Services,1
Telecommunications,1
Media,1
Oil & Gas - Drilling,1
Oil & Gas Midstream,1
Financial Conglomerates,1
Software—Infrastructure,1
