committee,input
"Committee on Health, Education, Labor, and Pensions",11
Subcommittee on Children and Families,7
Subcommittee on Primary Health and Retirement Security,7
Committee on Indian Affairs,9
Senate Committee on Appropriations,11
"Agriculture, Rural Development, Food, and Drug Administration, and Related Agencies Committee",2
"Commerce, Justice, Science, and Related Agencies",5
Defense,3
Financial Services and General Government Subcommittee,1
"Labor, Health, and Human Services, Education, and Related Agencies Committee",3
"State, Foreign Operations, and Related Programs Committee",2
"Committee on Banking, Housing, and Urban Affairs",11
"Housing, Transportation, and Community Development Committee",2
Financial Institutions and Consumer Protection Committee,3
"Securities, Insurance, and Investment Subcommittee",2
Senate Veterans' Affairs Committee,7
"Committee on Commerce, Science, and Transportation",14
Committee on Appropriations,5
Committee on Environment and Public Works,12
Committee on Veterans' Affairs,3
Indian Affairs Committee,7
Appropriations Committee,14
Subcommittee on Department of Defense,4
"Subcommittee on Departments of Labor, Health, and Human Services, and Education, and Related Agencies",4
Subcommittee on Financial Services and General Government,2
Subcommittee on Legislative Branch,2
"Subcommittee on State, Foreign Operations, and Related Programs",2
"Banking, Housing, and Urban Affairs Committee",6
Subcommittee on Economic Policy,1
"Subcommittee on Housing, Transportation, and Community Development",4
"Subcommittee on Securities, Insurance, and Investment",3
"Commerce, Science, and Transportation Committee",7
"Subcommittee on Aviation Operations, Safety, and Security",6
"Subcommittee on Communications, Technology, and the Internet",6
"Subcommittee on Consumer Protection, Product Safety, and Insurance",3
"Subcommittee on Space, Science, and Competitiveness",3
"Subcommittee on Surface Transportation, and Merchant Marine Infrastructure, Safety, and Security",5
Veterans' Affairs Committee,6
"Subcommittee on Transportation, Housing and Urban Development, and Related Agencies",6
Subcommittee on Department of Homeland Security,2
"Subcommittee on Agriculture, Rural Development, Food, and Drug Administration, and Related Agencies",6
"Subcommittee on National Security, and International Trade, and Finance",1
Subcommittee on Financial Institutions and Consumer Protection,3
Homeland Security and Governmental Affairs Committee,7
Small Business and Entrepreneurship Committee,7
Special Committee on Aging,8
Committee on Foreign Relations,4
"Subcommittee on Western Hemisphere, Transnational Crime, Civilian Security, Democracy, Human Rights, and Global Women's Issues",2
"Subcommittee on Near East, South Asia, Central Asia, and Counterterrorism",3
"Subcommittee on State Department, and USAID Management, International Operations, and Bilateral International Development",2
"Subcommittee on East Asia, The Pacific, and International Cybersecurity Policy",1
Energy and Water Development Subcommittee,2
"Interior, Environment, and Related Agencies Committee",3
"Military Construction, Veterans Affairs, and Related Agencies Committee",4
Committee on Rules and Administration,7
"National Security, and International Trade, and Finance Committee",1
Subcommittee on Employment and Workplace Safety,5
"Committee on Agriculture, Nutrition, and Forestry",8
"Commodities, Risk Management, and Trade",2
Subcommittee on Rural Development and Energy,4
"Subcommittee on Conservation, Climate, Forestry, and Natural Resources",4
Senate Committee on Armed Services,10
Emerging Threats and Capabilities,2
Personnel Committee,2
Strategic Forces,3
Committee on Small Business and Entrepreneurship,8
"Aviation Safety, Operations, and Innovation Committee",2
"Communications, Media, and Broadband Committee",2
Space and Science,1
"Tourism, Trade, and Export Promotion Committee",2
Committee on Energy and Natural Resources,18
Energy,5
"Public Lands, Forests, and Mining",3
Water and Power,2
Committee on the Judiciary,9
Subcommittee on the Constitution,3
Subcommittee on Crime and Terrorism,3
"Subcommittee on Federal Courts, Oversight, Agency Action, and Federal Rights",3
"Subcommittee on Privacy, Technology, and the Law",5
Senate Committee on Budget,5
"Clean Air, Climate, and Nuclear Safety",1
"Fisheries, Water, and Wildlife",1
Transportation and Infrastructure Committee,4
Committee on Finance,15
Commission on Security and Cooperation in Europe Committee,1
Senate Caucus on International Narcotics Control Committee,1
Committee on Aging,6
Committee on the Budget,5
Budget Committee,8
Environment and Public Works Committee,9
Subcommittee on Clean Air and Nuclear Safety,6
Subcommittee on Transportation and Infrastructure,6
"Subcommittee on Fisheries, Water, and Wildlife",4
"Health, Education, Labor, and Pensions Committee",5
Judiciary Committee,8
"Subcommittee on Oversight, Federal Rights, and Agency Action",1
Subcommittee on Water and Wildlife,3
Subcommittee on Oversight,4
Subcommittee on Primary Health and Aging,1
Bankruptcy and the Courts subcommittee,1
Aging,1
Joint Committee on Printing,3
Committee on Intelligence,13
Airland,3
SeaPower,3
Committee on Armed Services,7
Senate Select Committee on Intelligence,1
Armed Services Committee,13
Subcommittee on Personnel,3
Subcommittee on SeaPower,4
Subcommittee on Strategic Forces,7
