official,input
"Perdue Jr., David A.",212
"Beyer, Donald S.",112
"Gottheimer, Josh",108
"Phillips, Dean",91
"Whitehouse, Sheldon",81
"Axne, Cynthia",61
"Meijer, Peter",53
"Tillis, Thomas R.",30
"Gianforte, Greg",23
"Lofgren, Zoe",23
"Perlmutter, Ed",22
"Sherrill, Mikie",19
"Collins, Susan M.",18
"Cassidy, William",16
"Tuberville, Thomas H.",15
"Marshall, Roger W.",14
"Sessions, Pete",11
"Ross, Deborah K.",10
"Hoeven, John",9
"Schrader, Kurt",9
"Moran, Jerry",8
"King Jr., Angus S.",7
"Brooks, Mo",6
"Wyden, Ronald L.",5
"Cantwell, Maria E.",5
"Jacobs, Christopher L.",5
"Scott, Austin",5
"Carper, Thomas R.",4
"Garcia, Mike",4
"Cohen, Steve",4
"Keating, William R.",4
"Booker, Cory A.",3
"Hagerty IV, William F.",2
"Reed, John F.",2
"Timmons, William R.",2
"Brooks, Susan W.",2
"Upton, Fred",2
"Hickenlooper, John W.",1
"Capito, Shelley M.",1
"Peters, Gary C.",1
"Gonzalez, Anthony E.",1
"Long, Billy",1
"Welch, Peter",1
"Pallone, Frank",1
"Curtis, John",1
"Crenshaw, Daniel",1
"Flores, Bill",1
