official,input
"Moran, Jerry",0.32
"Hagerty IV, William F.",2.0
"Tuberville, Thomas H.",15.0
"Hickenlooper, John W.",1.0
"Whitehouse, Sheldon",5.4
"King Jr., Angus S.",0.78
"Wyden, Ronald L.",0.12
"Cassidy, William",1.23
"Hoeven, John",0.82
"Reed, John F.",0.06
"Perdue Jr., David A.",35.33
"Collins, Susan M.",0.72
"Cantwell, Maria E.",0.22
"Capito, Shelley M.",0.05
"Peters, Gary C.",0.08
"Carper, Thomas R.",0.13
"Tillis, Thomas R.",4.29
"Booker, Cory A.",0.33
"Gottheimer, Josh",21.6
"Gonzalez, Anthony E.",0.33
"Beyer, Donald S.",16.0
"Schrader, Kurt",0.69
"Long, Billy",0.09
"Meijer, Peter",53.0
"Brooks, Mo",0.55
"Phillips, Dean",30.33
"Axne, Cynthia",20.33
"Garcia, Mike",2.0
"Jacobs, Christopher L.",2.5
"Perlmutter, Ed",1.47
"Gianforte, Greg",5.75
"Welch, Peter",0.07
"Marshall, Roger W.",2.8
"Sessions, Pete",0.48
"Cohen, Steve",0.27
"Sherrill, Mikie",6.33
"Lofgren, Zoe",0.85
"Pallone, Frank",0.03
"Ross, Deborah K.",10.0
"Curtis, John",0.2
"Crenshaw, Daniel",0.33
"Timmons, William R.",0.67
"Scott, Austin",0.45
"Brooks, Susan W.",0.25
"Keating, William R.",0.36
"Upton, Fred",0.06
"Flores, Bill",0.1
