official,Energy,Financial Services,Services,Technology
"Axne, Cynthia",0,60,0,0
"Beyer, Donald S.",0,0,0,111
"Booker, Cory A.",0,0,0,2
"Brooks, Mo",0,0,0,5
"Brooks, Susan W.",1,0,0,0
"Cantwell, Maria E.",0,0,0,4
"Capito, Shelley M.",False,0,0,0
"Carper, Thomas R.",3,0,0,0
"Cassidy, William",15,0,0,0
"Cohen, Steve",0,0,0,3
"Collins, Susan M.",17,0,0,0
"Crenshaw, Daniel",False,0,0,0
"Curtis, John",False,0,0,0
"Flores, Bill",False,0,0,0
"Garcia, Mike",0,0,0,3
"Gianforte, Greg",22,0,0,0
"Gonzalez, Anthony E.",0,0,0,False
"Gottheimer, Josh",0,105,2,0
"Hagerty IV, William F.",1,0,0,0
"Hickenlooper, John W.",False,0,0,0
"Hoeven, John",8,0,0,0
"Jacobs, Christopher L.",2,0,0,2
"Keating, William R.",3,0,0,0
"King Jr., Angus S.",6,0,0,0
"Lofgren, Zoe",0,0,0,22
"Long, Billy",False,0,0,0
"Marshall, Roger W.",0,0,0,13
"Meijer, Peter",8,0,0,44
"Moran, Jerry",0,7,0,0
"Pallone, Frank",False,0,0,0
"Perdue Jr., David A.",99,0,18,94
"Perlmutter, Ed",0,5,0,16
"Peters, Gary C.",0,0,0,False
"Phillips, Dean",0,90,0,0
"Reed, John F.",0,0,1,0
"Ross, Deborah K.",0,0,0,9
"Schrader, Kurt",8,0,0,0
"Scott, Austin",4,0,0,0
"Sessions, Pete",0,0,0,10
"Sherrill, Mikie",0,0,0,18
"Tillis, Thomas R.",5,0,4,20
"Timmons, William R.",0,1,0,0
"Tuberville, Thomas H.",14,0,0,0
"Upton, Fred",1,0,0,0
"Welch, Peter",False,0,0,0
"Whitehouse, Sheldon",0,0,0,80
"Wyden, Ronald L.",4,0,0,0
