ticker,input
AAPL,48
MSFT,41
FEYE,32
NVDA,21
XOM,20
FB,19
WFC,19
OXY,18
BRK.B,17
KN,17
SCHW,15
MA,15
WFM,14
WPZ,14
WPX,14
ACN,14
TDOC,14
CVX,13
PYPL,13
SLB,12
WMB,12
PAA,12
QCOM,12
GOOG,12
IBM,11
PGR,11
SPLK,11
MKL,11
CGNX,10
SQ,10
V,10
JPM,10
USB,9
COP,9
ORCL,9
GOOGL,9
CSCO,8
WOOF,7
EPD,7
BEN,7
ASML,7
SE,6
GLW,6
CY,6
CDNS,6
MKTX,6
FLIR,6
ETP,5
LRCX,5
RNWK,5
HAL,5
KMI,5
QLIK,5
ADBE,5
TSM,5
NTRS,5
BX,5
SNE,5
CLNE,5
BAC,4
PSX,4
VLO,4
ENTG,4
GEL,4
AM,4
ETE,4
DVN,4
MS,4
AMD,4
IFNNY,4
INTC,4
L,4
SPGI,4
HMN,4
BBVA,4
CB,4
BK,3
MCHP,3
RDS-B,3
ENB,3
DPM,3
TWTR,3
LLTC,3
SSYS,3
PANW,3
LNKD,3
ALIZY,3
PNGAY,3
LUKOY,3
SAP,3
UBER,3
ADS,3
CMA,3
TFC,3
SYF,3
UBSI,3
COF,3
ITUB,3
PI,3
SBCF,3
WBS,3
ESGR,3
GS,3
AMAT,3
BPL,2
MPLX,2
CERN,2
TRGP,2
VLP,2
GPRO,2
NICE,2
NOG,2
OKE,2
CHKP,2
DASTY,2
NTAP,2
AIG,2
HIG,2
IVZ,2
OCFC,2
XP,2
COIN,2
SSL,2
ABCB,2
CATY,2
EBSB,2
PPBI,2
FRFHF,2
NXPI,2
SIVB,2
SU,2
SNOW,2
VOPKY,2
NTOIY,2
REPYY,2
TOT,2
CFG,2
BKEP,1
NS,1
BRY,1
MPC,1
FTV,1
VMW,1
XER.BE,1
MMP,1
NBL,1
AR,1
JCOM,1
TYPE,1
TNGO,1
SWI,1
SQI,1
SPSC,1
SMTC,1
SGY,1
POWI,1
PLT,1
PLKI,1
OMCL,1
NSR,1
MFRM,1
LOCK,1
HLX,1
FET,1
EPAY,1
DRQ,1
DIOD,1
CVLT,1
CTRL,1
CTCT,1
CRZO,1
AMSG,1
ABCO,1
KEYS,1
BTE,1
ENLC,1
PGH,1
HFC,1
XLNX,1
EC,1
RIG,1
SYMC,1
ESTC,1
SF,1
ATVI,1
AVGO,1
XEC,1
FANG,1
DXC,1
JBL,1
MTCH,1
MSI,1
OKTA,1
ST,1
SNAP,1
SNPS,1
YNDX,1
ADTN,1
SANM,1
WTFC,1
ALLY,1
CME,1
DTM,1
PRA,1
ACGL,1
JEF,1
ADI,1
ADSK,1
TXN,1
HSBC,1
APH,1
IS,1
CRM,1
CRWD,1
ICE,1
SFST,1
BAND,1
CDEV,1
EOG,1
LPRO,1
SPN,1
BP,1
E,1
EQNR,1
GLPEY,1
IPXHY,1
MITSY,1
OMVKY,1
TS,1
WOPEY,1
AMG,1
AFL,1
C,1
DFS,1
FITB,1
HBAN,1
KEY,1
LNC,1
MTB,1
PBCT,1
PNC,1
PFG,1
PRU,1
TRV,1
ZION,1
AAGIY,1
