Difference,input
31,24
12,19
18,29
22,26
14,43
37,8
157,6
107,5
21,32
29,27
8,19
28,62
25,19
9,28
15,20
16,19
243,1
27,32
40,6
20,26
35,51
11,21
401,1
24,18
1,8
19,33
26,31
17,20
23,18
30,21
6,14
4,5
7,18
5,11
13,53
41,14
34,9
32,21
2,2
3,9
33,18
36,5
42,7
43,5
63,3
148,1
141,2
140,1
114,1
113,1
112,1
122,1
111,1
106,1
105,1
98,2
84,3
83,2
147,1
134,1
128,1
119,1
93,1
90,1
87,2
86,1
85,2
80,2
76,1
69,3
48,2
10,10
64,3
53,1
67,1
582,1
44,5
39,7
297,1
603,3
452,1
899,2
966,1
871,2
872,1
619,2
977,1
940,3
647,1
911,3
534,3
568,4
345,2
470,3
702,2
302,1
261,1
920,3
319,2
288,3
760,2
71,1
49,4
58,1
54,2
45,17
0,2
59,2
47,2
156,1
176,1
55,2
38,1
66,1
62,1
Average,56.94
