transaction_date,input
2021/12/21,3
2021/12/29,1
2021/11/22,1
2021/10/28,1
2021/08/30,3
2021/08/02,3
2021/02/16,2
2021/04/07,1
2021/06/25,1
2020/08/18,1
2020/08/21,1
2020/06/04,1
2020/05/07,2
2020/04/06,2
2020/03/09,1
2019/12/31,2
2019/11/05,1
2019/11/04,1
2018/12/07,1
2019/01/25,1
2018/10/17,1
2018/04/25,1
2017/11/28,1
2017/11/07,1
2017/08/17,1
2016/07/05,1
2017/06/16,1
2017/06/19,1
2017/05/18,1
2017/05/15,1
2017/05/12,1
2017/05/11,1
2017/04/24,1
2017/03/14,1
2017/03/10,1
2017/03/08,1
2017/03/01,1
2017/02/23,1
2017/02/10,1
2017/02/09,1
2017/02/06,1
2017/02/01,1
2017/01/09,1
2016/12/30,1
2016/12/16,2
2016/12/15,1
2016/12/13,1
2016/12/12,1
2016/11/28,1
2016/11/15,1
2016/11/29,1
2016/11/25,1
2016/11/18,1
2016/11/11,1
2016/11/10,1
2016/11/09,1
2016/10/31,1
2016/10/26,1
2016/10/24,1
2016/10/21,1
2016/10/19,1
2016/10/12,1
2016/09/28,1
2016/09/21,1
2016/09/15,1
2016/09/13,1
2016/09/12,1
2016/09/01,1
2016/08/05,2
2016/08/15,1
2016/08/11,1
2016/08/10,1
2016/08/09,1
2016/08/08,1
2016/07/29,1
2016/07/26,1
2016/08/04,1
2016/08/01,1
2016/07/27,1
2016/07/21,1
2016/07/19,1
2016/07/18,1
2016/07/15,1
2016/07/14,1
2016/07/13,1
2016/07/12,1
2016/07/06,1
2016/06/30,1
2016/06/29,1
2016/06/28,1
2016/06/27,1
2016/06/24,1
2016/05/24,1
2016/06/07,1
2016/05/18,1
2016/05/02,1
2016/04/12,2
2016/04/19,1
2016/04/26,2
2016/05/04,1
2016/04/22,2
2016/04/28,1
2016/03/31,2
2016/04/27,1
2016/04/21,1
2016/04/20,1
2016/04/11,1
2016/03/30,1
2016/03/24,1
2016/03/22,1
2016/02/25,1
2016/02/23,1
2016/02/22,1
2016/02/17,1
2016/02/16,2
2016/02/12,1
2016/02/11,1
2016/02/10,1
2016/02/09,2
2016/02/08,1
2016/02/05,1
2016/02/03,1
2016/02/01,2
