industry,transaction_date,number_of_transactions
Banks,2020/04/02,14
Application Software,2021/02/16,9
Oil & Gas - E&P,2021/02/16,8
Semiconductors,2021/02/16,6
Computer Software & Services,2015/02/13,6
Online Media,2021/02/16,5
Oil & Gas - Midstream,2016/09/13,5
Oil & Gas Integrated,2020/11/13,4
Credit Services,2020/03/19,4
Computer Hardware,2016/01/27,4
Oil & Gas - Services,2015/02/20,4
Insurance - Property & Casualty,2021/11/11,3
Brokers & Exchanges,2021/03/17,3
Oil & Gas E&P,2020/11/13,3
Oil & Gas - Integrated,2020/04/06,3
Asset Management,2020/04/02,3
Insurance - Life,2020/04/02,3
Insurance,2021/12/21,2
Retail,2017/06/16,2
Oil and Gas,2016/04/21,2
Communication Equipment,2015/04/24,2
Insurance—Life,2021/12/28,1
Capital Markets,2021/12/21,1
Insurance—Diversified,2021/09/15,1
Software—Application,2021/02/17,1
Oil & Gas Equipment & Services,2020/11/13,1
Oil & Gas Refining & Marketing,2020/11/13,1
Leisure,2020/11/06,1
Banks—Regional,2020/07/30,1
Insurance—Property & Casualty,2020/01/28,1
Oil & Gas - Refining & Marketing,2019/12/31,1
Diversified Services,2017/03/01,1
Electronics,2015/07/10,1
Internet,2014/07/07,1
