official,transaction_date,number_of_transactions
"Phillips, Dean",2020/04/02,34
"Meijer, Peter",2021/02/16,32
"Tillis, Thomas R.",2015/02/13,28
"Sherrill, Mikie",2020/02/20,14
"Gianforte, Greg",2020/11/13,13
"Gottheimer, Josh",2020/10/16,9
"Beyer, Donald S.",2020/07/14,9
"Moran, Jerry",2021/12/21,7
"Tuberville, Thomas H.",2021/02/16,6
"Perdue Jr., David A.",2016/11/18,6
"Ross, Deborah K.",2021/04/27,5
"Lofgren, Zoe",2020/03/23,5
"Cassidy, William",2016/03/31,5
"Axne, Cynthia",2020/03/19,4
"Whitehouse, Sheldon",2016/04/26,4
"Collins, Susan M.",2015/02/20,4
"Cantwell, Maria E.",2014/06/06,4
"Marshall, Roger W.",2020/09/15,3
"Perlmutter, Ed",2020/04/22,3
"Cohen, Steve",2020/03/26,3
"Keating, William R.",2021/03/17,2
"Schrader, Kurt",2021/03/16,2
"Jacobs, Christopher L.",2020/09/08,2
"King Jr., Angus S.",2020/08/18,2
"Wyden, Ronald L.",2020/04/06,2
"Hoeven, John",2019/11/04,2
"Booker, Cory A.",2014/08/08,2
"Carper, Thomas R.",2014/02/27,2
"Hagerty IV, William F.",2021/12/29,1
"Scott, Austin",2021/06/14,1
"Sessions, Pete",2021/05/04,1
"Garcia, Mike",2020/12/10,1
"Timmons, William R.",2020/06/29,1
"Brooks, Susan W.",2020/04/06,1
"Upton, Fred",2020/03/26,1
"Brooks, Mo",2020/01/02,1
"Reed, John F.",2017/06/19,1
