ticker,transaction_date,number_of_transactions
BRK.B,2021/12/21,2
XOM,2020/04/06,2
AAPL,2016/04/26,2
IS,2021/12/31,1
BKEP,2021/12/29,1
NS,2021/12/29,1
XP,2021/12/22,1
USB,2021/12/21,1
BAC,2021/12/21,1
BK,2021/12/21,1
ITUB,2021/12/21,1
COIN,2021/12/21,1
COF,2021/12/09,1
MA,2021/11/23,1
V,2021/11/23,1
OXY,2021/11/22,1
MKTX,2021/11/12,1
MKL,2021/11/11,1
CVX,2021/10/28,1
PI,2021/10/04,1
MCHP,2021/08/30,1
AMAT,2021/08/09,1
NXPI,2021/08/09,1
SIVB,2021/07/09,1
DTM,2021/07/01,1
CDEV,2021/06/29,1
PGR,2021/06/24,1
PNGAY,2021/06/15,1
ALIZY,2021/06/10,1
SF,2021/06/08,1
CLNE,2021/06/08,1
TDOC,2021/05/07,1
CRWD,2021/04/27,1
CRM,2021/04/19,1
LPRO,2021/04/05,1
SU,2021/03/17,1
ESTC,2021/03/05,1
OCFC,2021/02/26,1
BX,2021/02/23,1
CHKP,2021/02/17,1
DASTY,2021/02/17,1
IFNNY,2021/02/17,1
LUKOY,2021/02/17,1
SAP,2021/02/17,1
TSM,2021/02/17,1
YNDX,2021/02/17,1
ATVI,2021/02/16,1
ADBE,2021/02/16,1
AMD,2021/02/16,1
GOOG,2021/02/16,1
AVGO,2021/02/16,1
CDNS,2021/02/16,1
XEC,2021/02/16,1
FANG,2021/02/16,1
DXC,2021/02/16,1
INTC,2021/02/16,1
JBL,2021/02/16,1
MTCH,2021/02/16,1
MSI,2021/02/16,1
NTAP,2021/02/16,1
OKTA,2021/02/16,1
ST,2021/02/16,1
SNAP,2021/02/16,1
SNPS,2021/02/16,1
UBER,2021/02/16,1
SPGI,2021/02/10,1
SCHW,2021/02/09,1
ALLY,2021/02/05,1
SYF,2021/02/05,1
CFG,2020/12/18,1
MS,2020/12/16,1
ACGL,2020/12/15,1
ASML,2020/11/13,1
BP,2020/11/13,1
E,2020/11/13,1
EQNR,2020/11/13,1
GLPEY,2020/11/13,1
IPXHY,2020/11/13,1
MITSY,2020/11/13,1
OMVKY,2020/11/13,1
TS,2020/11/13,1
WOPEY,2020/11/13,1
SNOW,2020/11/06,1
SBCF,2020/10/23,1
ABCB,2020/10/16,1
